#Aplicación Presupuetaria,Programa,,Fecha,CIF,Tercero,Concepto,Importe
Material informático no inventariable,920,22002,2014-02-21,A08747388,SEMICONDUCTORES Y SISTEMAS S.A.,"Renovacion 2014,10licencias  A utoCad Map 3D",5966
"Prensa, revistas, libros y otros",931,22001,2014-02-21,S2826046A,INSTITUTO DE ESTUDIOS FISCALES,Suscripción Año 2014. Presupue sto y Gasto Público.,81.73
Productos alimenticios,920,22105,2014-02-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota Servicio BOT 20l Agua y 11L. Alcald?a.,32.33
Productos alimenticios,920,22105,2014-02-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota Servicio bot.20L.Archivo  Municipal.,24.63
Productos alimenticios,920,22105,2014-02-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Cuota Servicio, BOT20L AGUA y Vasos 500U. Policía Municipal.",99.44
Productos alimenticios,920,22105,2014-02-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Cuota Servicio, BOT20L AGUA y Vasos. Inform?tica.",96.62
Productos alimenticios,920,22105,2014-02-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Cuota Servicio, bot20L Agua. R ecaudaci?n Municipal.",24.63
Productos alimenticios,920,22105,2014-02-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","cuota Servicio, BOT20L Agua. y  Vasos 500U. SAC.",132.31
Productos alimenticios,920,22105,2014-02-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Cuota Servicio, BOT20L. Plusva lía.",73.43
Productos alimenticios,920,22105,2014-02-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Cuota Servicio, BOT20L.AGUA.C. C. Cabo Blanco.",38.15
Productos alimenticios,920,22105,2014-02-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota Servicio. BOT20l.Agua. J uventud Arona.,24.63
Productos alimenticios,920,22105,2014-02-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota Servicio. BOT20L.AGUA. U rbanismo.,43.38
Actividades Socioculturales,339,22609,2014-02-22,B38490991,PATEA TUS MONTES S.L.,"Actividad Senderismo Agua Garc ía, El Sauzal, Tacoronte.",154.08
Repar. conserv. y man. elementos de transporte,132,21400,2014-02-24,B38233912,SERVICIOS E LEON S.L.,Reparación Vehículo TF0837BY P olicia Local.,227.48
Postales,920,22201,2014-02-25,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia Catas tro Notf.,11.67
Postales,920,22201,2014-02-25,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia Plusv alía.,12.17
Postales,920,22201,2014-02-25,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia Renta s.,3.22
Postales,920,22201,2014-02-25,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia Renta s.,21.85
Productos alimenticios,920,22105,2014-02-25,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Cuota Servicio, BOT AGUA20l, V asos 500U. Plusvalía.",36.12
Productos alimenticios,920,22105,2014-02-25,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Cuota Servicio, BOT AGUA20l, V asos 500U. Plusvalía.",119.06
Productos alimenticios,920,22105,2014-02-25,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Cuota Servicio, Bot20L Agua. S AC Las Galletas.",38.15
"Reparación, man. y conserv. elementos de transport",150,21400,2014-02-26,B38788287,"TALLER JUAN GOMEZ, S.L.","Reparacion Vehiculo TF-7654-AL , Mitsubishi L300",40.44
Actividades Socioculturales,339,22609,2014-02-27,B38443073,YAIZA BUS S.L.,Servicio Transporte IES Ichasa gua-Arona Casco y Regreso.,170
Emisoras Policía Local,132,62603,2014-02-27,B35226166,"TELYCAN, S.L.","Suministro Terminales Tetra y Otros Sistemas Explotacion Pol icía Local, Exp. 2/12-CARSU.",131319.83
Tributos de las Entidades Locales,161,22502,2014-02-27,Q8850002J,CONSEJO INSULAR DE AGUAS DE TENERIFE,"Liquidación Año 2013 Canon Pro tección y Mejora Medio Recepto r,  Mercadillo del Agricultor  Valle S.Lorenzo.Exp.1615-EDAR",17.63
Tributos de las Entidades Locales,161,22502,2014-02-27,Q8850002J,CONSEJO INSULAR DE AGUAS DE TENERIFE,Liquidacion Canon Destinado a la Protección y Mejora del Med io Receptor.,9871.62
Actividades Socioculturales,339,22609,2014-02-28,B38398038,TRANSALEX BUS S.L.,Servicio Guagua Excursión Agua  García. Proyecto: Pateando Te nerife.,339.9
Actividades Socioculturales,339,22609,2014-02-28,B38398038,TRANSALEX BUS S.L.,Servicio Transporte a la First  Lego Leagua. Los Cristianos. Juventud.,154.5
Actividades Socioculturales,339,22609,2014-02-28,B38443073,YAIZA BUS S.L.,"Servicio Transporte Alumnos Lo s Cristianos-Arona y Regreso. Actividad ""Conoce tu Municipio "".",170
Aguas depuradas para riego,161,22114,2014-02-28,Q3800517I,BALTEN BALSAS DE TENERIFE,"1º Bimestre Consumo Agua Depur ada, Ctra Las Rosas (1), Lectu ra 15684-15729",25.01
Aguas depuradas para riego,161,22114,2014-02-28,Q3800517I,BALTEN BALSAS DE TENERIFE,"1º Bimestre Consumo Agua Depur ada, Palm Mar, Lectura 404978- 405303",180.6
Aguas depuradas para riego,161,22114,2014-02-28,Q3800517I,BALTEN BALSAS DE TENERIFE,"1ºBimestre 2014, Consumo Agua Depurada,en Guargacho Bajo, Le ctura:18556-18614",32.23
Aguas depuradas para riego,161,22114,2014-02-28,Q3800517I,BALTEN BALSAS DE TENERIFE,"1ºBimestre Consumo Agua Depur ada, El Mojon, Lectura 1066166 -1089110",11563.78
Aguas depuradas para riego,161,22114,2014-02-28,Q3800517I,BALTEN BALSAS DE TENERIFE,"1ºBimestre Consumo Agua Depur ada, Enlace de Guaza, Lectura 1692-1941",138.37
Combustibles y carburantes,150,22103,2014-02-28,A38047684,ESTACION SURAMERICAS S.A.,Carburante Febrero 2014.,2350.29
Combustibles y carburantes,150,22103,2014-02-28,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Carburante Febrero 2014-Manten imiento,446.15
Combustibles y carburantes,150,22103,2014-02-28,B38983318,"PICAMOLINOS, S.L.",Carburante Febrero 2014 Vehícu los Policia Local.,309.02
Combustibles y carburantes,150,22103,2014-02-28,B38983318,"PICAMOLINOS, S.L.",Carburante Febrero 2014.,1457.35
Combustibles y carburantes,912,22103,2014-02-28,B38983318,"PICAMOLINOS, S.L.",Carburante Febrero 2014.,1457.35
Combustibles y carburantes,920,22103,2014-02-28,B38983318,"PICAMOLINOS, S.L.",Carburante Febrero 2014.,1457.35
Combustibles y carburantes.,130,22103,2014-02-28,A38047684,ESTACION SURAMERICAS S.A.,Carburante Febrero 2014.,2350.29
Combustibles y carburantes.,130,22103,2014-02-28,A38087367,CLAUDIO ALFONSO E HIJOS S.A.,Carburante Febrero 2014 Vehícu los Policia local.,163.67
Combustibles y carburantes.,130,22103,2014-02-28,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Carburante Febrero 2014 Vehícu los de la Policia Local.,45
Combustibles y carburantes.,130,22103,2014-02-28,B38983318,"PICAMOLINOS, S.L.",Carburante Febrero 2014 Vehícu los Policia Local.,309.02
Combustibles y carburantes.,130,22103,2014-02-28,B38983318,"PICAMOLINOS, S.L.",Carburante Febrero 2014.,1457.35
Combustibles y carburantes.,130,22103,2014-02-28,B76585801,"VILLASARA MULTISERVICIOS, S.L.",Carburante Febrero 2014,1017.66
Combustibles y carburantes.,170,22103,2014-02-28,B38983318,"PICAMOLINOS, S.L.",Carburante Febrero 2014.,1457.35
Festejos y Actos Populares,338,22610,2014-02-28,B38381653,SUMINISTRO DE OFICINA OFIPAPEL S.L.,Material Libreria Cabalgata de  Reyes.,34.17
Fiestas del Municipio,338,22611,2014-02-28,B38338331,"TRANSPORTES PALUPER, S.L.","Traslados varios: Americas-Aro na-Aeropuerto Norte y Regreso,  Cristianos-Arona-regreso, San  Antonio Abad",1040.3
Limpieza y Aseo,920,22700,2014-02-28,B35745926,RALONS SERVICIOS S.L.,"Servicio Febrero 2014 Limpieza  Centro Educativos y Dependenc ias Municipales,Expte 1/10-Cas v",139226.13
Limpieza y Aseo,920,22700,2014-02-28,B35745926,RALONS SERVICIOS S.L.,Servicio Limpieza Febrero 2014  C.C. Cabo Blanco.,207.15
Mantenimiento Integral del Litoral,173,22730,2014-02-28,U76534924,UTE LITORAL ARONA,"Servicio Febrero 2014 Gestion del Litoral, Exp 2/10-casp",20961.41
Ordinario no inventariable,920,22000,2014-02-28,B38381653,SUMINISTRO DE OFICINA OFIPAPEL S.L.,Facturación Febrero 2014 Mater ial Oficina.,752.69
Ordinario no inventariable,920,22000,2014-02-28,B38648960,URBAN EXPRESS MENSAJEROS,Papel a Todo Color para SICER,4108.8
Plan de Promoción Económica,433,22614,2014-02-28,A38022182,RADIO CLUB DE CANARIAS S.A.,"Cuñas Radio 40 Principales, Di al tfsur, y Radio Club-Comerci o San Valentin",592.78
Plan de Promoción Económica,433,22614,2014-02-28,B38530655,LA OPINION DE TENERIFE S.L.U.,Publicacion Campaña Navidad En ero,321
Postales,920,22201,2014-02-28,A83052407,SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS S.A.,Facturación febrero 2014.,10713.33
Postales,920,22201,2014-02-28,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia Multa s.,59.84
Postales,920,22201,2014-02-28,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia Renta s.,3.56
Postales,920,22201,2014-02-28,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia Renta s.,7.66
Productos alimenticios,920,22105,2014-02-28,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuotas Servicio Varias,57.78
Publicidad y Propaganda,920,22602,2014-02-28,A38017844,EDITORIAL LEONCIO RODRIGUEZ S.A.,Anuncio Relación de Vehículos en depósito Municipal.,577.8
"Reparaciones, man. y conserv. infraestructuras y b",155,21000,2014-02-28,B38794327,AUTO GRUAS CABELLO S.L.U.,Traslado Bordillos las America s a Cabo Blanco,74.28
Servicio de Atención Telefónica,925,22720,2014-02-28,B62916077,KONECTA BTO S.L.,Servicio Febrero 2014 Atención  010 y 092,34814.74
Servicio de Mantenimiento Eléctrico de Edificios,342,22716,2014-02-28,A28010478,IMESAPI S.A.,"Certificacion Febrero 2014""Ser vicio Mantenimiento  Inst Elec tricas Espacios Publicos, Depe ndencias Admin""",126296.48
Servicio de Mantenimiento Eléctrico de Edificios,920,22716,2014-02-28,A28010478,IMESAPI S.A.,"Certificacion Febrero 2014""Ser vicio Mantenimiento  Inst Elec tricas Espacios Publicos, Depe ndencias Admin""",126296.48
Servicio de Vigilancia y Socorrismo en Playas,173,22736,2014-02-28,B62137252,PRO ACTIVA SERVEIS AQUATICS S.L.,"Contratación Servicio Vigilanc ia, Salvamento y Asistencia en  Playas Turisticas Arona.08/02 /2014 al 28/02/2014.",8089.2
Servicio Mantenimiento Alumbrado Público,165,22712,2014-02-28,A28010478,IMESAPI S.A.,"Certificacion Febrero 2014""Ser vicio Mantenimiento  Inst Elec tricas Espacios Publicos, Depe ndencias Admin""",126296.48
Servicio Mantenimiento Jardines Municipales,171,22741,2014-02-28,U76535509,UTE ZONAS VERDES ARONA,"Servicio Febrero 2014,Gestion Zonas Verdes de Arona,Expte 4/ 10-carsv",360787.77
Servicio Recogida de Papel Cartón,162,22710,2014-02-28,U38732830,UTE CLUSA-MCCSA,"Servicio Febrero 2014, Recogid a, Transporte de Residuos Pape l y Carton de Arona",17504.89
Servicio Recogida RSU y Lim. Viaria,162,22709,2014-02-28,U76525534,UTE ARONA,"Servicio Febrero 2014 Gestion de Residuos, Expte 1/10-casp",510586.6
Servicio Recogida RSU y Lim. Viaria,162,22709,2014-02-28,U76525534,UTE ARONA,Servicio Febrero 2014 Limpieza  Viaria,467947.15
Arrendamientos de Material de Transporte,132,20400,2014-03-01,A91001438,ALPHABET ESPAÑA FLEET MANAGEMENT S.A.U.,"Renting Marzo 2014 Vehiculos P olicía Local, Expte 3/09-cspsu",11492.78
Asistencia Médico-Farmacéutica,221,16008,2014-03-01,A50004209,"DKV SEGUROS Y REASEGUROS, S.A.E,","Primas Marzo 2014 Póliza de Sa lud, Expte 6/12- casv",16875
Fiestas del Municipio,338,22611,2014-03-01,B76506419,ON LIFE FM S.L.U.,"Inserción Programa Carnaval 20 14. Publicación ""Con el café"".",267.5
Locomoción del personal no directivo,931,23120,2014-03-01,A10005510,VIAJES HALCON S.A.,"Billetes Tenerife-Madrid y Reg reso. Mª José Martín Santos, L orena López Figueroa y Mercede s Martin Risco. Curso Contab.",441.78
Recogida y acogida de animales.,313,22704,2014-03-03,N0044040D,AKTION TIER MENSCHEN FUR TIERE EV,"Servicio 01/02/14-28/02/14, Ac ogida, Mantenimiento y Estanci a de Perros Abandonados",3388.28
Seguridad,920,22701,2014-03-03,B76587641,SERVICIOS E INVERSIONES TF S.L.,Servicio Febrero 2014 Vigilanc ia SAC,1464.98
Vestuario,920,22104,2014-03-03,B38840336,CONSUL & CONSUL REPRESENTACIONES S.L.,Polo M/C Superior 65/35+ Serig rafia- Operarios Mantenimiento,133.49
"Desinfectantes, raticidas",313,22115,2014-03-05,B38589842,MAXIMO PESTANO SANIDAD AMBIENTAL S.L.,Servicio Desinsectación y Desr atización Vías y Espacios Publ icos. Marzo 2014.,3852
Plan de Barrios,151,60135,2014-03-05,B73089542,ECOCIVIL ELECTROMUR GE S.L.,"Certificación 1 ""Rehabilitació n de la Florida Alta"" Expte 3/ 12-CCPO.",35847.62
Servicio de mantenimiento de vías y edificios,155,22713,2014-03-05,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Febrero 2014"" Ma nte y Conservacion de Ed. Muni cipales y Vìa Publicas"" Expte7 /09-casv",194173.79
Servicio de mantenimiento de vías y edificios,320,22713,2014-03-05,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Febrero 2014"" Ma nte y Conservacion de Ed. Muni cipales y Vìa Publicas"" Expte7 /09-casv",194173.79
Servicio de mantenimiento de vías y edificios,330,22713,2014-03-05,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Febrero 2014"" Ma nte y Conservacion de Ed. Muni cipales y Vìa Publicas"" Expte7 /09-casv",194173.79
Servicio de mantenimiento de vías y edificios,342,22713,2014-03-05,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Febrero 2014"" Ma nte y Conservacion de Ed. Muni cipales y Vìa Publicas"" Expte7 /09-casv",194173.79
Servicio de mantenimiento de vías y edificios,920,22713,2014-03-05,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Febrero 2014"" Ma nte y Conservacion de Ed. Muni cipales y Vìa Publicas"" Expte7 /09-casv",194173.79
Atenciones protocolarias y representativas,912,22601,2014-03-06,B38454781,DRAYCA SUR SERVICIOS S.L.,"Cuadro Pintadera Canaria""Visit a  Alcalde de Tacoronte""",50
Energía eléctrica,320,22100,2014-03-06,A81948077,ENDESA ENERGIA S.A.U.,Facturación Febrero 2014 Cod. Agrupación 1220930.,7602.85
Fiestas del Municipio,338,22611,2014-03-06,B18244301,OFILINGUA S.L.,Traducción al Ruso Programació n Carnaval Arona 2014.,54.8
Fiestas del Municipio,338,22611,2014-03-06,B38757159,HERNANDEZ CABRERA E HIJAS S.L.,"Loneta Tintura joyper, Confecc ion , Articulos Costura ,Hilo- Carnaval de Arona",112.22
Fiestas del Municipio,338,22611,2014-03-06,B38757159,HERNANDEZ CABRERA E HIJAS S.L.,"Malla T10 A T16 y Mallas Talla s P,M,G,S-Carnaval de Arona",235.08
Fiestas del Municipio,338,22611,2014-03-06,B38757159,HERNANDEZ CABRERA E HIJAS S.L.,"Punto Serpiente Amarillo, Mart e, Fiesta Coctel Negro, Momo p vc, Velvet Negro y Oro, Formos a, Animalia Negro,Carnaval Aro",760.06
Material informático no inventariable,920,22002,2014-03-06,B35307693,"QWERTY SISTEMAS, S.L.","LP HP LASE JET CP4025/4525 Car t Negro, Expte 1/13-CARSU",756.15
"Prensa, revistas, libros y otras publicaciones",920,22001,2014-03-06,A38017844,EDITORIAL LEONCIO RODRIGUEZ S.A.,"Suscripción de Lunes a Domingo , desde 19/01/14 hasta 18/01/1 5.",655.2
Energía eléctrica,312,22100,2014-03-07,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Febrero 2014, Codi go Agrupacion  1221398",54910.02
Energía eléctrica,340,22100,2014-03-07,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Febrero 2014, Codi go Agrupacion  1221398",54910.02
Energía eléctrica,920,22100,2014-03-07,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Febrero 2014, Codi go Agrupacion  1221398",54910.02
Energía eléctrica,920,22100,2014-03-07,B82846825,ENDESA ENERGIA XXI S.L.,"Facturacion Febrero 2014, Codi go Agrupacion 0476131",107.63
Locomoción de Miembros de Órganos de Gobierno,912,23100,2014-03-07,A10005510,VIAJES HALCON S.A.,"Billete Avión a Berlín, Asiste ncia a Feria ITB 04-07/03/2014 .",887.66
"Prensa, revistas, libros y otras publicaciones",920,22001,2014-03-07,A58417346,WOLTERS KLUWER ESPAÑA S.A.,Suscripción Práctica Urbanisti ca periodo 03-2014 a 02-2015. Secretaria General.,301
Productos alimenticios,912,22105,2014-03-07,A38010856,AGUAS DE VILAFLOR S.A.,"Suministro Botellines Agua 33c l, unidades 1120-Protocolo",183.96
Productos alimenticios,920,22105,2014-03-07,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 5 Botellones  Agua y 1 Caja Vasos-Policia l os Cristianos",56.63
"Reparación, man. y conserv. elementos de transport",150,21400,2014-03-07,B38788287,"TALLER JUAN GOMEZ, S.L.",Cambio Escobillas L/Parabrisas  Vehículo TF7654AL.,9.82
Mantenimiento Aire Acondicionado,920,21304,2014-03-09,B38929592,"SOLCLIMA DISTRIBUCIONES TENERIFE SUR, S.L.","1 Trimestre del Contrato, Audi torio Infanta Leonor",499.69
Mantenimiento Aire Acondicionado,920,21304,2014-03-09,B38929592,"SOLCLIMA DISTRIBUCIONES TENERIFE SUR, S.L.",1 Trimestre del Contrato. C.Cu ltural de Cabo Blanco,499.69
Mantenimiento Aire Acondicionado,920,21304,2014-03-09,B38929592,"SOLCLIMA DISTRIBUCIONES TENERIFE SUR, S.L.",1 Trimestre del Contrato. C.Cu ltural la Camella,499.69
Mantenimiento Aire Acondicionado,920,21304,2014-03-09,B38929592,"SOLCLIMA DISTRIBUCIONES TENERIFE SUR, S.L.",1 Trimestre del Contrato.CPD C .Cultural los Cristianos,337.05
Actividades Socioculturales,339,22609,2014-03-10,B76546225,"MAC IMPRESIONS, S.L.",Serigrafia de laterales de Car pa-Concejalia de Juventud,370.8
Energía eléctrica,150,22100,2014-03-10,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Febrero 2014, Codi go Agrupacion 1223040.",18040.24
Energía eléctrica,150,22100,2014-03-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Febrero 2014 Cod. Agrupacion 0477319,407.54
Energía eléctrica,150,22100,2014-03-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Febrero 2014 Cod. Agrupación 0477416.,710.91
Energía eléctrica,312,22100,2014-03-10,A81948077,ENDESA ENERGIA S.A.U.,Facturación Febrero 2014 Cod. Agrupación 1222733,2884.29
Energía eléctrica,312,22100,2014-03-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Febrero 2014 cod. Agrupación 0477361,2110.75
Energía eléctrica,312,22100,2014-03-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Febrero 2014 cod. Agrupación 0477376,472.81
Energía eléctrica,320,22100,2014-03-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Febrero 2014 cod. Agrupación 0477361,2110.75
Energía eléctrica,340,22100,2014-03-10,A81948077,ENDESA ENERGIA S.A.U.,Facturación Febrero 2014 Cod. Agrupación 1223055,12770.99
Energía eléctrica,920,22100,2014-03-10,B82846825,ENDESA ENERGIA XXI S.L.,"Consumo Electrico Cr General T f-2, Esq. Cjon Toscal ,V.S.l, Periodo16/01/2014-14/02/2014, COD. AGRUP. 0375135.",106.04
Energía eléctrica,920,22100,2014-03-10,B82846825,ENDESA ENERGIA XXI S.L.,"Facturacion en Cl Verona Asoma da, Bomba Asomada los Cristian os, Periodo: 28/10/2013-24/12/ 2013",25.92
Energía eléctrica,920,22100,2014-03-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Febrero 2014 Cod. Agrupación 0477416.,710.91
Energía eléctrica,920,22100,2014-03-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación febrero 2014 Cod.A grupación 0477401.,20804.07
Locomoción del Personal,494,23120,2014-03-10,A10005510,VIAJES HALCON S.A.,"Billete Avión Mónica García De lgado. Tenerife-Madrid-Regreso  (09/03/2014-10/03/2014), Proy ecto Urban Arona.",182.84
Mantenimiento Aire Acondicionado,920,21304,2014-03-10,B38929592,"SOLCLIMA DISTRIBUCIONES TENERIFE SUR, S.L.","1 Trimestre del Contrato,C.Cul tural V.S. Lorenzo",499.69
Mantenimiento Aire Acondicionado,920,21304,2014-03-10,B38929592,"SOLCLIMA DISTRIBUCIONES TENERIFE SUR, S.L.",1 Trimestre del Contrato. CPD C.Cultural las Galletas,499.69
Primas de seguros,150,22401,2014-03-10,A28141935,"MAPFRE FAMILIAR, CIA. SEGUROS Y REASEGUROS S.A.",Recibo Póliza Seguro Vehículo 3140CFK. Periodo 06/03/2014 -   06/03/2015,388.65
Primas de seguros,150,22401,2014-03-10,A28141935,"MAPFRE FAMILIAR, CIA. SEGUROS Y REASEGUROS S.A.",Recibo póliza Vehículo 2073CFJ  Periodo del 06/03/2014 - 06/0 3/2015.,393.9
Tributos de las Entidades Locales,161,22502,2014-03-10,Q8850002J,CONSEJO INSULAR DE AGUAS DE TENERIFE,Servicio Febrero 2014 Depuraci ón y Vertido.,137413.3
Tributos de las Entidades Locales,161,22502,2014-03-10,Q8850002J,CONSEJO INSULAR DE AGUAS DE TENERIFE,Servicio Febrero 2014 Desalaci ón.,176557.73
"Desinfectantes, raticidas",313,22115,2014-03-11,B28984094,SOLUCIONES TECNICAS NCH ESPAÑOLA S.L.,Healthy Hands Aloe Vera- Depen dencia de Policia local,237.43
Servicio Mantenimiento Jardines Municipales,171,22741,2014-03-11,U76535509,UTE ZONAS VERDES ARONA,"Certificación Enero 2014 Servi cio Gestión Zonas Verdes, Expt e 4/2010-carsv",358345.1
Fiestas del Municipio,338,22611,2014-03-12,B38534392,TINTORERIA LOS PRINCIPES S.L.,Limpieza Telas y Material Fies tas San Antonio 2014,685.74
Plan de Promoción Económica,433,22614,2014-03-12,B38534392,TINTORERIA LOS PRINCIPES S.L.,Mantel Feria de ArtesanIa,250.38
Postales,920,22201,2014-03-12,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 12/03 /14, Multas 571",47.26
"Prensa, revistas, libros y otras publicaciones",920,22001,2014-03-12,A81962201,ARANZADI EDITORIAL,Base Datos Aranzadi contrataci on -Secretaria,1412
"Suministros de repuestos de maquinaria, utillaje",130,22111,2014-03-12,B38617148,"AUTOMOVILES VALLE DE GUIMAR, S.L.",1 Manguito- Policia local 8629 -CDV,76.41
Actividades Socioculturales,339,22609,2014-03-13,B38443073,YAIZA BUS S.L.,"Servicio Transporte Alumnos IE S Cabo Blanco-Arona Casco y Re greso. Actividad ""Conoce tu Mu nicipio"".",170
Festejos y Actos Populares,338,22610,2014-03-13,B38534392,TINTORERIA LOS PRINCIPES S.L.,"Limpieza Telas, Manteles y Ves tuario de Cabalgata de Reyes 2 014.",1457.63
Ordinario no inventariable,920,22000,2014-03-13,B38081790,THE RED PEN S.L.,500 Notificaciones de Correos,422.65
Postales,920,22201,2014-03-13,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 13/03 /2014, Rentas 573",89.22
Postales,920,22201,2014-03-13,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia 13/03 /2014-Recaudacion Notifi,39.78
Repar. conserv. y man. elementos de transporte,132,21400,2014-03-13,B38905774,FRANELIPAL S.L.,"Desmontar Moto Completa , Repa rar Pl?sticos, Preparar y Colo car Accesorios y Pintar, Escut er 6212-DWD",652.7
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2014-03-13,A38099263,COMERCIAL FJV S.A.,Amasadora Elect.Vadem. Cemente rio.,337.05
Energía eléctrica,920,22100,2014-03-14,B82846825,ENDESA ENERGIA XXI S.L.,"Suministro en Gral TF-28, Esq- cjon Toscal ,V.S.lorenzo, Peri odo: 14/02/14-14/03/14,Codigo Agrupacion 0375952",95.63
Locomoción de Miembros de Órganos de Gobierno,912,23100,2014-03-14,B38075115,VIAJES SOLYSUR S.L.,"Billete de Avion .D,Francisco Niño Rodriguez, TFN-BCN",91.48
"Prensa, revistas, libros y otras publicaciones",920,22001,2014-03-14,A81962201,ARANZADI EDITORIAL,"Gasto Suplido Compra Libro tho mso reuters ""Encomienda Gestio n""",86.54
"Prensa, revistas, libros y otros",912,22001,2014-03-14,B28659902,REVISTA EL ALCALDE,Suscripción Anual Revista El A lcalde 2014.,57.7
Vestuario,130,22104,2014-03-14,B38798278,SOLUCIONES EXTREME CANARIAS S.L.,15 RiÑoneras porta-armas Multi pak GK- Policia Local,1035
Atenciones protocolarias y representativas,912,22601,2014-03-17,B38390589,SOUND BLACK S.L.,"Sonido Encuentro ""Visita con G ente del Municipio de Tacoront e""",192.6
Estudios y Trabajos Técnicos,920,22706,2014-03-17,G28783991,"FEMP, FEDERACION ESPAÑOLA DE MUNICIPIOS Y PROV.",Cuota 2014 Red Española Ciudad es por el Clima.,300
Postales,920,22201,2014-03-17,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 17/03 /14, Recaudacion",59.67
Postales,920,22201,2014-03-17,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 17/03 /2014, Multas 574",8.46
Plan de Promoción Económica,433,22614,2014-03-18,G38035192,C.I.T. SUR,"Servicio Azafata para Campaña de Dinamizacion Canarias Folk Fest, Enero 2014 al 15 Marzo 2 014",624
Estudios y Trabajos Técnicos,920,22706,2014-03-19,B06290241,"PREVING CONSULTORES, S.L.","Servicio Vigilancia de la Salu d Octubre, Noviembre y Diciemb re 2013, Expte. 2/10-CASV.",3146
Fiestas del Municipio,338,22611,2014-03-19,A38010856,AGUAS DE VILAFLOR S.A.,"Suministro Agua PET 1,5L.",11.18
Fiestas del Municipio,338,22611,2014-03-19,A38010856,AGUAS DE VILAFLOR S.A.,Suministro Agua PET 33cl.,413.6
Fiestas del Municipio,338,22611,2014-03-19,B38757159,HERNANDEZ CABRERA E HIJAS S.L.,"Goma Eva, Elastico, Velcro, Ci nta, Piedras, Formosa etc-Carn aval de Arona",123.75
Locomoción de Miembros de Órganos de Gobierno,912,23100,2014-03-19,B62880992,NT INCOMING S.L.,Billete de D.Francisco Niño Ro driguez. Feria MITT en Moscú.  Barcelona-Moscú.,852
