#Aplicación Presupuestaria,Programa,,Fecha,CIF,Tercero,Concepto,Importe
Servicio Recogida RSU y Lim. Viaria,1621,22709,2015-02-28,U76525534,UTE ARONA,Servicio Febrero 2015- Gestion  Residuos,526207.83
Servicio Recogida RSU y Lim. Viaria,1621,22709,2015-02-28,U76525534,UTE ARONA,Servicio Febrero 2015- Limpiez a Viaria,475611.37
Telefónicas,912,22204,2015-02-28,A82018474,"TELEFONICA DE ESPAÑA, S.A.U.",FACTURACION PERSONALIZADA MOD LIDAD: CARGO UNICO - IGIC  FEBRERO 2015,3461.49
Telefónicas,920,22204,2015-02-28,A82018474,"TELEFONICA DE ESPAÑA, S.A.U.",FACTURACION PERSONALIZADA MOD LIDAD: CARGO UNICO - IGIC  FEBRERO 2015,3461.49
Teléfonos,130,22204,2015-02-28,A82018474,"TELEFONICA DE ESPAÑA, S.A.U.",FACTURACION PERSONALIZADA MOD LIDAD: CARGO UNICO - IGIC  FEBRERO 2015,3461.49
Teléfonos,330,22204,2015-02-28,A82018474,"TELEFONICA DE ESPAÑA, S.A.U.",FACTURACION PERSONALIZADA MOD LIDAD: CARGO UNICO - IGIC  FEBRERO 2015,3461.49
Arrendamientos de Material de Transporte,132,20400,2015-03-01,A91001438,ALPHABET ESPAÑA FLEET MANAGEMENT S.A.U.,"Renting Marzo 2015-Alquiler de  13 Vehiculos para la Policia  local , Exte 3/09-cspsu",11492.78
Asistencia Médico-Farmacéutica,221,16008,2015-03-01,A50004209,"DKV SEGUROS Y REASEGUROS, S.A.E,","Seguro de SALUD ""DKV Mundisal d"", póliza 37/041/01952_x000D_ Emis ón correspondiente al periodo  2015/03, Expte 6/12-casv",16800
Informáticas,920,22203,2015-03-01,A81962201,ARANZADI EDITORIAL,BD 2015-Aranzadi Vision,5881.97
Plan de Formación Interno Empleados Públicos,920,22616,2015-03-01,G76619931,CLUB DEPORTIVO ARONSHOT,"Servicio Marzo 2015, Practicas  Tiro Policia Local",1926
"Prensa, revistas, libros y otras publicaciones",920,22001,2015-03-01,A79216651,EDICIONES FRANCIS LEFEBVRE S.A.,QMemento Plus Social . Recurso s Humanos,1378.58
"Prensa, revistas, libros y otras publicaciones",920,22001,2015-03-01,A81962201,ARANZADI EDITORIAL,Agrupacion Revista Esp. Dcho. dministrat- Secretaria Arama,277.75
"Prensa, revistas, libros y otras publicaciones",920,22001,2015-03-01,A81962201,ARANZADI EDITORIAL,Renovacion 2015-Bd ´Contrataci on,1426.12
Primas de seguros,150,22401,2015-03-01,A28007748,ALLIANZ  COMPAÑIA DE SEGUROS Y REASEGUROS S.A.,"Poliza Vehiculo con Matricula TF7654-AL ,Periodo: 01/03/2015 -01/03/2016",654.03
Telefónicas,912,22204,2015-03-01,A78923125,"TELEFONICA MOVILES ESPAÑA, S.A.","Movistar-Servicio Llamadas 18/ 01-17/02, , Contrato Corporat  ivo Tarifa Unica, Extensiones   moviles 85",1331.13
Telefónicas,912,22204,2015-03-01,A78923125,"TELEFONICA MOVILES ESPAÑA, S.A.","Movistar-Servicio Llamadas 18/ 01-17/02-, Contrato Corporati  v Tarifa unica,Extension fijas G 235",150.54
Telefónicas,920,22204,2015-03-01,A78923125,"TELEFONICA MOVILES ESPAÑA, S.A.","Movistar-Servicio Llamadas 18/ 01-17/02, , Contrato Corporat  ivo Tarifa Unica, Extensiones   moviles 85",1331.13
Telefónicas,920,22204,2015-03-01,A78923125,"TELEFONICA MOVILES ESPAÑA, S.A.","Movistar-Servicio Llamadas 18/ 01-17/02-, Contrato Corporati  v Tarifa unica,Extension fijas G 235",150.54
Teléfonos,130,22204,2015-03-01,A78923125,"TELEFONICA MOVILES ESPAÑA, S.A.","Movistar-Servicio Llamadas 18/ 01-17/02, , Contrato Corporat  ivo Tarifa Unica, Extensiones   moviles 85",1331.13
Teléfonos,130,22204,2015-03-01,A78923125,"TELEFONICA MOVILES ESPAÑA, S.A.","Movistar-Servicio Llamadas 18/ 01-17/02-, Contrato Corporati  v Tarifa unica,Extension fijas G 235",150.54
Teléfonos,330,22204,2015-03-01,A78923125,"TELEFONICA MOVILES ESPAÑA, S.A.","Movistar-Servicio Llamadas 18/ 01-17/02-, Contrato Corporati  v Tarifa unica,Extension fijas G 235",150.54
Energía eléctrica,340,22100,2015-03-02,A81948077,ENDESA ENERGIA S.A.U.,C 999352030046 CONS 01/02/15- 8/02/15,6395.9
Energía eléctrica,920,22100,2015-03-02,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,26.38
Energía eléctrica,920,22100,2015-03-02,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,57.81
Festejos y Actos Populares,338,22610,2015-03-02,B38492237,HIT RADIO CANARIAS S.L.,28 Cuñas Cabalgata Reyes Magos  de Arona. Concejalía de Fiest as.,239.68
Fiestas del Municipio,338,22611,2015-03-02,B38492237,HIT RADIO CANARIAS S.L.,28 Cuñas Romeria San Antonio A bad. Concejalia de Fiestas.,149.8
Fiestas del Municipio,338,22611,2015-03-02,B38621850,FERRETERIA HERMALAY S.L.,Material para Sardina del Carn aval. Concejalía de Fiestas,73.25
Fiestas del Municipio,338,22611,2015-03-02,B76659879,PRENSA INSULAR,"1 Página Completa de Publicida d a color de 254x334 MM, mes M arzo 2015.Concejalía de Fiesta s ""Carnaval 2015"".",856
Plan de Promoción Económica,433,22614,2015-03-02,B38492237,HIT RADIO CANARIAS S.L.,Campaña San Valentin- Promocio n Ec,256.8
Plan de Promoción Económica,433,22614,2015-03-02,B76659879,PRENSA INSULAR,"2 Faldon a color de 254 x76,6,  mes Marzo 2015.Concejalía de Promoción Econmica.",428
Productos alimenticios,920,22105,2015-03-02,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Cuota de Servicio, 3 Botellone s Agua, 1 Caja Vasos-policia l ocal",44.27
Productos alimenticios,920,22105,2015-03-02,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Cuota de Servicio,.6 Botellone s Agua, Sac los Cristianos",50.13
Repar. conserv. y man. elementos de transporte,132,21400,2015-03-02,B38963542,LLAVE SUR Y LEGARA S.L.,"Copia llave para Chip,Honda 15 48-DWG, Policia Local",53.5
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2015-03-02,B38662748,COMERCIAL MIGUEL GOMEZ GONZALEZ S.L.,"PDO FACTURA Nº A/141731.Taladr o 710 W. Bobina  papel  Mecáni co Gofr, Codo latón  y Reducci ón latón. Policía Local.",113
Seguridad,920,22701,2015-03-02,B76587641,SERVICIOS E INVERSIONES TF S.L.,Servicio Febrero 2015 Vigilanc ia,1464.98
Combustibles y carburantes,920,22103,2015-03-03,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,15.81
"Desinfectantes, raticidas",311,22115,2015-03-03,B38589842,MAXIMO PESTANO SANIDAD AMBIENTAL S.L.,Servicio Marzo 2015 Desratizac i?n y Desinsectaci?n de V?as y  Espacio p?blicos Municipio Ar ona,3852
Energía eléctrica,150,22100,2015-03-03,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,526.22
Energía eléctrica,150,22100,2015-03-03,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,898.67
Energía eléctrica,150,22100,2015-03-03,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,971.45
Energía eléctrica,150,22100,2015-03-03,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1375.53
Energía eléctrica,150,22100,2015-03-03,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1679.07
Energía eléctrica,150,22100,2015-03-03,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,2328.28
Energía eléctrica,320,22100,2015-03-03,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,914.69
Energía eléctrica,340,22100,2015-03-03,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,791.72
Energía eléctrica,340,22100,2015-03-03,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1094.32
Energía eléctrica,340,22100,2015-03-03,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1185.99
Energía eléctrica,340,22100,2015-03-03,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,3521.91
Energía eléctrica,340,22100,2015-03-03,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,34.79
Energía eléctrica,340,22100,2015-03-03,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,114.86
Energía eléctrica,920,22100,2015-03-03,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1091.18
Energía eléctrica,920,22100,2015-03-03,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1391.52
Energía eléctrica,920,22100,2015-03-03,B82846825,ENDESA ENERGIA XXI S.L.,Potencia         P1,2.88
Estudios y Trabajos Técnicos,920,22706,2015-03-03,B38863734,"ITOP MANAGEMENT CONSULTING, S.L.",70% Pres.Desarrollo APP Arona  para Ayuntamiento de Arona,12924
Fiestas del Municipio,338,22611,2015-03-03,B38621850,FERRETERIA HERMALAY S.L.,Material para la Sardina del C arnaval. Concejalía de Fiestas,65.71
Ordinario no inventariable,130,22000,2015-03-03,B38081790,THE RED PEN S.L.,"20 Talonarios de 25- Acta por Infraccion, Policia local",235.4
Plan de Promoción Económica,433,22614,2015-03-03,B38853990,SOUND CANARIAS S.L.U.,Alquiler montaje de sonido-ilu minación para Pre-Cabalgata de  Reyes Magos de Arona. Conceja lía de Promoción Económica y E,524.3
Postales,920,22201,2015-03-03,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia 03/03 /2015- Multas 666,43.55
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2015-03-03,B38889911,"INVERSIONES MARTIN DORTA, S.L.","Manillon pulido brillo 297IRON W, Cierre Caja y Candado- Sac y Colegio de Arona",19.76
Atenciones protocolarias y representativas,912,22601,2015-03-04,B38454781,DRAYCA SUR SERVICIOS S.L.,"2 Cuadros Pintadera Canaria"" R econocimiento a Pedro García A guado y Francisco Castaño""",100
Energía eléctrica,150,22100,2015-03-04,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,2001.21
Energía eléctrica,340,22100,2015-03-04,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,999.66
Energía eléctrica,340,22100,2015-03-04,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1188.86
Energía eléctrica,920,22100,2015-03-04,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,305.25
Energía eléctrica,920,22100,2015-03-04,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,391.56
Energía eléctrica,920,22100,2015-03-04,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1205.06
Energía eléctrica,920,22100,2015-03-04,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1427.24
Energía eléctrica,920,22100,2015-03-04,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,147.18
Fiestas del Municipio,338,22611,2015-03-04,B18244301,OFILINGUA S.L.,"Traduccion de la Programacion del Carnaval de Arona 2015(Ale man, Frances, Ingles, Italiano )-Concejalia Fiestas",232
Fiestas del Municipio,338,22611,2015-03-04,B38621850,FERRETERIA HERMALAY S.L.,Adquisición de Señales.(Sardin a del Carnaval). Concejalía de  Fiestas.,486.85
Fiestas del Municipio,338,22611,2015-03-04,B38621850,FERRETERIA HERMALAY S.L.,Material para la Sardina del C arnaval. Concejalía de Fiestas .,109.13
Rehab. pav. de calzada núcleo Los Cristianos,453,60816,2015-03-04,B38909461,"TRANSPORTES MESA LA FORTALEZA, S.L.","Certificacion 1, Mejora Nucleo s Urbanos de V. S.Lorenzo  (C/ Vera de Abajo, El Colegio y  Casas de Abajo, Ex 1/13-csp",60953.47
"Reuniones, conferencia y cursos",924,22606,2015-03-04,B38460713,AREA RURAL TEGUESTE SLU,"Escuela Formaciòn Ciudadana ""T ller 3 Fortaleciendo Nuestra I nteligencia Emocional y Relaci onal- Participación Ciudadana.",267.5
Energía eléctrica,920,22100,2015-03-05,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,265.38
Energía eléctrica,920,22100,2015-03-05,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,288.25
Energía eléctrica,920,22100,2015-03-05,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,381.77
Energía eléctrica,920,22100,2015-03-05,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,390.15
Energía eléctrica,920,22100,2015-03-05,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,428.96
Energía eléctrica,920,22100,2015-03-05,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,473.48
Energía eléctrica,920,22100,2015-03-05,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,490.75
Energía eléctrica,920,22100,2015-03-05,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,552.39
Energía eléctrica,920,22100,2015-03-05,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,559.88
Energía eléctrica,920,22100,2015-03-05,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,571.46
Energía eléctrica,920,22100,2015-03-05,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,602.19
Energía eléctrica,920,22100,2015-03-05,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,704.78
Energía eléctrica,920,22100,2015-03-05,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,841.44
Energía eléctrica,920,22100,2015-03-05,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,900.05
Energía eléctrica,920,22100,2015-03-05,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1022.92
Energía eléctrica,920,22100,2015-03-05,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1138.72
Energía eléctrica,920,22100,2015-03-05,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1152.19
Energía eléctrica,920,22100,2015-03-05,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1231.52
Energía eléctrica,920,22100,2015-03-05,A81948077,ENDESA ENERGIA S.A.U.,Potencia         P1,55.82
Energía eléctrica,920,22100,2015-03-05,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,56.59
Energía eléctrica,920,22100,2015-03-05,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,92.11
Energía eléctrica,920,22100,2015-03-05,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,64.61
Material Convenios Fomento Empleo,241,22612,2015-03-05,B38621850,FERRETERIA HERMALAY S.L.,Adquisicion 2 Bases Multienchu fe. Promocion Economica.,26
"Prensa, revistas, libros y otras publicaciones",920,22001,2015-03-05,A58417346,WOLTERS KLUWER ESPAÑA S.A.,"(A97) PRACTICA URBANISTICA, Se cretaria General",315
Repar. conserv. y man. elementos de transporte,132,21400,2015-03-05,B38905774,FRANELIPAL S.L.,Reparación  Renault Megane 288 7-FZC,1204.23
"Suministros de material electrónico, eléctrico y t",920,22112,2015-03-05,B38341624,AUDIOVISUALES ALONSO & ALONSO S.L.,2 Microfonos  Delegado y 1 Mic rofono Presidente- Protocolo,973.7
Energía eléctrica,150,22100,2015-03-06,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,142.62
Energía eléctrica,150,22100,2015-03-06,A81948077,ENDESA ENERGIA S.A.U.,FACTURACION DEL CONSUMO         P1,260.14
Energía eléctrica,320,22100,2015-03-06,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,815.62
Energía eléctrica,340,22100,2015-03-06,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,441.64
Energía eléctrica,340,22100,2015-03-06,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,514.35
Energía eléctrica,340,22100,2015-03-06,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,612.85
Energía eléctrica,340,22100,2015-03-06,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,964.92
Energía eléctrica,340,22100,2015-03-06,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1172.33
Energía eléctrica,340,22100,2015-03-06,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,12.46
Energía eléctrica,920,22100,2015-03-06,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,193.66
Energía eléctrica,920,22100,2015-03-06,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,377.44
Energía eléctrica,920,22100,2015-03-06,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,614.56
Energía eléctrica,920,22100,2015-03-06,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,807.4
Energía eléctrica,920,22100,2015-03-06,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,986.78
Energía eléctrica,920,22100,2015-03-06,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1281.14
Energía eléctrica,920,22100,2015-03-06,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1606.37
Energía eléctrica,920,22100,2015-03-06,A81948077,ENDESA ENERGIA S.A.U.,FACTURACION DEL CONSUMO         P1,267.56
Energía eléctrica,920,22100,2015-03-06,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,73.96
Energía eléctrica,920,22100,2015-03-06,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,95.97
Energía eléctrica,920,22100,2015-03-06,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,211.27
Fiestas del Municipio,338,22611,2015-03-06,A38010856,AGUAS DE VILAFLOR S.A.,"Botellines 33 cl, 3336uni,Bote llas de 8 litros, 10 unid, Vas os, Botellas 1,5 l, 42 unid- C oncejalia Fiestas",687.7
Fiestas del Municipio,338,22611,2015-03-06,A38104022,HOTELES REVERON S.A.,"Catering Presentacion Candidat as 06/03/15, Escenario del Car naval los Cristianos- Fiestas",488.06
Fiestas del Municipio,338,22611,2015-03-07,G76530492,ASOCIACION SOCIOCULTURAL LOS ARTISTAS,"Coordinacion y Organizacion de  la Zonacentro Cultural Carnav al de Arona 2015,5 DJ, EL 14,1 5 Y 16-03/15-Carnaval Arona",1500
Actividades Socioculturales,3271,22609,2015-03-09,B38757159,HERNANDEZ CABRERA E HIJAS S.L.,"Material Diverso Merceria-  Co ncejalia Juventud, Taller Haga moslo Juntos",162.69
Energía eléctrica,320,22100,2015-03-09,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,10.3
Energía eléctrica,320,22100,2015-03-09,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,14.03
Energía eléctrica,320,22100,2015-03-09,B82846825,ENDESA ENERGIA XXI S.L.,Potencia         P1,5.58
Energía eléctrica,920,22100,2015-03-09,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,226.14
Energía eléctrica,920,22100,2015-03-09,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,457.18
Energía eléctrica,920,22100,2015-03-09,A81948077,ENDESA ENERGIA S.A.U.,FACTURACION DEL CONSUMO         P1,411.76
Energía eléctrica,920,22100,2015-03-09,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,633.42
Energía eléctrica,920,22100,2015-03-09,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,73.62
Energía eléctrica,920,22100,2015-03-09,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,226.73
Energía eléctrica,920,22100,2015-03-09,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,315.58
Energía eléctrica,920,22100,2015-03-09,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,541.16
Fiestas del Municipio,338,22611,2015-03-09,B38621850,FERRETERIA HERMALAY S.L.,Adquisición Pintura y Spray pa ra Sardina del Carnaval. Conce jalía de Fiestas,54.01
Ordinario no inventariable,920,22000,2015-03-09,A81460669,Q-MATIC SISTEMAS S.A.,Rollo de Ticket Negro Sin logo  Para TP31xX v2. Informática.,618.46
Publicidad y propaganda,170,22602,2015-03-09,B76506419,ON LIFE FM S.L.U.,Campaña dia mundial del Medio Ambiente 23 Mayo al 5 de Junio  2015.Concejalia Medio Ambient e.,880
Repar. conserv. y man. elementos de transporte,132,21400,2015-03-09,B38233912,SERVICIOS E LEON S.L.,Averia Sirena- 1513-DWG,53.5
Repar. mant. y cons. Equipos para procesos informa,920,21600,2015-03-09,A28017895,EL CORTES INGLES S.A.,"Lampara Vivitec  l2636, Inform atica",255
Servicio Mantenimiento Jardines Municipales,171,22741,2015-03-09,B38709614,"GARDEN IKA, S.L.",Por el tratamiento fitosanita io para la quema de malas hie bas  de las zonas mencionadas en el informe de servicio de,19241.23
Energía eléctrica,150,22100,2015-03-10,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,178.14
Energía eléctrica,150,22100,2015-03-10,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,184.38
Energía eléctrica,150,22100,2015-03-10,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,234.61
Energía eléctrica,150,22100,2015-03-10,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,606.65
Energía eléctrica,150,22100,2015-03-10,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1809.02
Energía eléctrica,320,22100,2015-03-10,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,503.25
Energía eléctrica,320,22100,2015-03-10,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,817.68
Energía eléctrica,320,22100,2015-03-10,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,822.75
Energía eléctrica,340,22100,2015-03-10,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,422.46
Energía eléctrica,920,22100,2015-03-10,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,394.97
Energía eléctrica,920,22100,2015-03-10,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,463.3
Energía eléctrica,920,22100,2015-03-10,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1087.88
Energía eléctrica,920,22100,2015-03-10,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,47.69
Energía eléctrica,920,22100,2015-03-10,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,54.33
Energía eléctrica,920,22100,2015-03-10,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,106
Energía eléctrica,920,22100,2015-03-10,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,152.73
Energía eléctrica,920,22100,2015-03-10,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,783.84
Energía eléctrica,920,22100,2015-03-10,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,1166.81
Energía eléctrica,920,22100,2015-03-10,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,1175.52
Energía eléctrica,920,22100,2015-03-10,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,1369.59
Energía eléctrica,920,22100,2015-03-10,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,1646.02
Energía eléctrica,920,22100,2015-03-10,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,1996.66
Fiestas del Municipio,338,22611,2015-03-10,B38621850,FERRETERIA HERMALAY S.L.,Pintura y utensilios para Esce nario Carnaval de Los Cristian os. Concejalia de Fiestas,267.4
Plan de Promoción Económica,433,22614,2015-03-10,B38436499,TECNISUR TENERIFE S.L.,Cuota Campaña Publicitaria Rad io Remate Final 2015,112.35
Plan de Promoción Económica,433,22614,2015-03-10,B38492237,HIT RADIO CANARIAS S.L.,Campaña Remate Rebajas Cuñas- Promocion Ec,359.52
"Reparación, man. y conserv. elementos de transport",150,21400,2015-03-10,B38233912,SERVICIOS E LEON S.L.,Bateria- Suzuki 5224-DHJ,62.6
Servicio Mantenimiento Jardines Municipales,171,22741,2015-03-10,B38709614,"GARDEN IKA, S.L.",SEGÚN PRESUPUESTO: C3876/14-C PÍTULO Tala palmeras en pisci a Municipal de Los Cristianos  01.01.01 Tala de palmeras  P,18725
Energía eléctrica,150,22100,2015-03-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,203.72
Energía eléctrica,150,22100,2015-03-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,277.55
Energía eléctrica,150,22100,2015-03-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,348.29
Energía eléctrica,150,22100,2015-03-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1233.07
Energía eléctrica,320,22100,2015-03-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,583.99
Energía eléctrica,340,22100,2015-03-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,233.01
Energía eléctrica,920,22100,2015-03-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,320.85
Energía eléctrica,920,22100,2015-03-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,343.96
Energía eléctrica,920,22100,2015-03-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,381.62
Energía eléctrica,920,22100,2015-03-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,504.28
Energía eléctrica,920,22100,2015-03-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,532.71
Energía eléctrica,920,22100,2015-03-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,643.87
Energía eléctrica,920,22100,2015-03-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,2245.06
Energía eléctrica,920,22100,2015-03-11,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,46.94
Energía eléctrica,920,22100,2015-03-11,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,89.79
Energía eléctrica,920,22100,2015-03-11,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,1377.53
Energía eléctrica,920,22100,2015-03-11,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,1448.13
Energía eléctrica,920,22100,2015-03-11,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,1739.45
Energía eléctrica,920,22100,2015-03-11,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,2489.47
Plan de Promoción Económica,433,22614,2015-03-11,B38436499,TECNISUR TENERIFE S.L.,Cuota Campaña Publicitaria Rad io Navidad 2014- Promocion Ec,502.9
"Reparación, man. y conserv. elementos de transport",150,21400,2015-03-11,B38788287,"TALLER JUAN GOMEZ, S.L.",Reparación Vehículo TF7654-AL.,201.86
"Reuniones, conferencia y cursos",924,22606,2015-03-11,B38460713,AREA RURAL TEGUESTE SLU,"Escuela Formacion Ciudadania "" Taller 4 Fortaleciendo Nuest ra Inteligencia Emocional y Re lacional- Participaci?n Ciudad",267.5
Energía eléctrica,150,22100,2015-03-12,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,298.68
Energía eléctrica,150,22100,2015-03-12,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,749.82
