#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2024ko Hasierako kreditua,2024ko Behin-betiko kreditua,O
022302,1515,64310,R,PIIE- Energia-komunitateak eta plaka fotovoltaikoak Zaramagan,0,121202.07,36360.62
022302,1515,64311,,PIIE-Zaramagako komunitate energetikoak eta plaka fotovoltaikoak,0,0,0
022302,1691,12000,,Funtzionarioen oinarrizko ordainsariak,23318.81,23318.81,0
022302,1691,12100,,Funtzionarioen ordainsari osagarriak,32596,32596,0
022302,1691,14100,,Bestelako langileak,15932,15932,0
022302,1691,16000,,"Gizarte Segurantza, enpresaren kontura",30419,30419,0
022302,1691,16500,,"Elkarkidetzako kuotak, Udalaren kontura",1888,1888,0
0224,1514,12000,,Funtzionarioen oinarrizko ordainsariak,372440.13,372440.13,0
0224,1514,12100,,Funtzionarioen ordainsari osagarriak,491743,491743,0
0224,1514,14100,,Bestelako langileak,180042,180042,0
0224,1514,16000,,"Gizarte Segurantza, enpresaren kontura",320720,320720,0
0224,1514,16500,,"Elkarkidetzako kuotak, Udalaren kontura",17805,17805,0
0320,1301,11000,,Kabineteko behin-behineko langileen ordainsariak,35682,35682,93911.64
0320,1301,12000,,Funtzionarioen oinarrizko ordainsariak,48902.38,48902.38,26374.34
0320,1301,12100,,Funtzionarioen ordainsari osagarriak,67320,67320,29389.05
0320,1301,14100,,Bestelako langileak,0,0,44837.04
0320,1301,16000,,"Gizarte Segurantza, enpresaren kontura",34280,34280,47075.39
0320,1301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",1662,1662,1662.22
0330,1301,12000,,Funtzionarioen oinarrizko ordainsariak,413631.63,413631.63,459005.77
0330,1301,12100,,Funtzionarioen ordainsari osagarriak,560970,560970,604842.63
0330,1301,14100,,Bestelako langileak,73339,73339,164369.16
0330,1301,16000,,"Gizarte Segurantza, enpresaren kontura",324547,324547,379735.85
0330,1301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",17184,17184,18877.12
0340,1351,21102,,Larrialdi eta elurteetako gastuak,75000,75000,19429.8
0340,1351,21102,R,Larrialdi eta elurteetako gastuak,0,18147.39,18147.39
0340,1351,21300,,Ibilgailuak konpontzea,75000,75000,113308.9
0340,1351,22701,,Jaietako gastu operatibo sanitarioak,18000,18000,22526.9
0340,1361,12000,,Funtzionarioen oinarrizko ordainsariak,1856953.91,1856953.91,1826455.06
0340,1361,12100,,Funtzionarioen ordainsari osagarriak,3693330,3693330,3578105.02
0340,1361,14100,,Bestelako langileak,518280,518280,740934.63
0340,1361,16000,,"Gizarte Segurantza, enpresaren kontura",2540662,2540662,2495844.16
0340,1361,16500,,"Elkarkidetzako kuotak, Udalaren kontura",73509,73509,72705.5
0340,1361,21900,,Ekipoak berritzea eta erostea,75000,75000,61982.66
0340,1361,22105,,Jantziak eta uniformeak,150000,150000,129476.04
0340,1361,22105,R,Jantziak eta uniformeak,0,77957.88,77957.88
0340,1361,22106,,Esku-hartzearen ondoren deskutsatzeko jantziak,0,184760,0
0340,1361,22111,,Tresna eta lanabesak,25000,25000,10958
0340,1361,22199,,Bestelako hornikuntzak,20000,20000,35422.58
0340,1361,22699,,Bestelako hainbat gastu,20000,20000,21895.08
0340,1361,62400,,Ibilgailuak,107500,132500,0
0340,1361,62901,,Ekipoak erostea,45000,20000,19522.44
0340,1361,62901,R,Ekipoak erostea,0,36381.75,36381.75
0340,1361,62902,,Esku-hartzearen ondoren deskutsatzeko ekipoak eskuratzea,0,115240,12828.18
0350,1321,12000,,Funtzionarioen oinarrizko ordainsariak,6497454.53,7529298.71,6959018.51
0350,1321,12100,,Funtzionarioen ordainsari osagarriak,13918974,14254323.36,13860186.5
0350,1321,16000,,"Gizarte Segurantza, enpresaren kontura",7831152,8605035.14,7976658.55
0350,1321,16500,,"Elkarkidetzako kuotak, Udalaren kontura",337474,337474,354397.96
0350,1321,20501,,TETRA irratikomunikazio sistemaren rentinga,10000,10000,8344.57
0350,1321,21001,,Andre Maria Zuriaren jaietako segurtasuna,10000,10000,13193.44
0350,1321,21300,,Ibilgailuak konpontzea,70000,60000,50640.82
0350,1321,21900,,Ekipoak berritzea eta erostea,190000,40000,28036.52
0350,1321,21900,A,Ekipoak berritzea eta erostea,0,18211.73,0
0350,1321,21900,R,Ekipoak berritzea eta erostea,0,9480.35,9480.35
0350,1321,21905,,Segurtasun scannerra eta USPa onik zaintzea,7500,7500,2591.32
0350,1321,22105,,Jantziak eta uniformeak,220000,220000,18073.44
0350,1321,22111,,Tresna eta lanabesak,20000,8238.46,9152.13
0350,1321,22122,,Drogak eta alkohola atzematea,63000,63000,7320.53
0350,1321,22199,,Bestelako hornikuntzak,0,0,11248.15
0350,1321,22624,,Gaueko garabi-zerbitzua,90000,90000,39949.76
0350,1321,22624,R,Gaueko garabi-zerbitzua,0,8466,7018
0350,1321,22699,,Bestelako hainbat gastu,70000,70000,83593.51
0350,1321,22699,A,Bestelako hainbat gastu,0,12261.4,0
0350,1321,22699,R,Bestelako hainbat gastu,0,82943.55,23150.35
0350,1321,62400,,Ibilgailuak,130000,130000,35880
0350,1321,62400,R,Ibilgailuak,0,115230.88,59750
0350,1321,62501,,Altzariak,42000,42000,0
0350,1321,62901,,Ekipoak eta instalazioak erostea,20000,81761.54,3269.37
0350,1321,62901,A,Ekipoak eta instalazioak erostea,0,241751.02,134146.65
0360,1331,12000,,Funtzionarioen oinarrizko ordainsariak,283981.33,283981.33,303532.73
0360,1331,12100,,Funtzionarioen ordainsari osagarriak,353152,353152,404559.16
0360,1331,14100,,Bestelako langileak,164812,164812,251194.89
0360,1331,16000,,"Gizarte Segurantza, enpresaren kontura",295566,295566,323873.32
0360,1331,16500,,"Elkarkidetzako kuotak, Udalaren kontura",16912,16912,18292.39
0360,1331,20200,,Aparkalekuak mantendu eta arautzea,240000,240000,239986.4
0360,1331,21005,,TAO agenteen aldagela,10000,10000,10093.85
0360,1331,21050,,Seinaleztapena onik zaintzea,125000,125000,53796.49
0360,1331,21050,A,Seinaleztapena onik zaintzea,0,509.18,0
0360,1331,21050,R,Seinaleztapena onik zaintzea,0,83629.03,83485.17
0360,1331,21910,,Trafikoa kontrolatzeko sistema mantentzea,1532000,1532000,1480238.59
0360,1331,60101,A,EU-TAO eremua handitzea,0,2164.69,2026.75
0360,1331,60107,,Zirkulazioa kontrolatzeko sistema,150000,150000,0
0360,1331,60107,A,Zirkulazioa kontrolatzeko sistema,0,2194.14,0
0360,1331,60107,R,Zirkulazioa kontrolatzeko sistema,0,149435,0
0360,1331,60108,,Emisioi gutxiko eremua,60000,60000,0
0360,1331,60109,,Trafikoarentzako aukeren azterketa,15000,15000,14520
0360,1331,60143,,Bide segurtasuna hiriaren zabalpenetan,95000,95000,54364.26
0360,1331,60143,A,Bide segurtasuna hiriaren zabalpenetan,0,193.73,0
0360,1331,61108,,Eu-Trafikoa eta udal-aparkalekuak kudeatzeko inbertsioak,0,736329.48,467386.07
0360,1331,61108,R,Eu-Trafikoa eta udal-aparkalekuak kudeatzeko inbertsioak,0,67927.59,67927.59
0360,1331,62703,A,EU-Emisio gutxiko eremua,0,741351.27,42202.53
0360,1331,62901,,Tresneria erostea,15000,15000,13437.07
0360,4412,77000,,Taxi elektrikoak erosteko dirulaguntza,40000,40000,20000
0360,4413,62701,A,BEIaren kotxetegiak,0,11192.45,0
0410,0111,33201,,Epe luzeko maileguen interesak,2239652.36,2800852.36,2800330.05
0410,0111,93300,,Epe luzeko maileguen amortizazioa,12930475.07,12930475.07,12930472.59
0410,1513,73102,,Ingurugiro Gaietarako Ikastegiari,150000,150000,0
0410,1513,73310,,21. Zabalguneari,1550000,969575.21,442605.68
0410,1513,73310,A,21. Zabalguneari,0,480000,480000
0410,1513,73310,R,21. Zabalguneari,0,374000,374000
0410,1515,43308,R,"PIIE-21 Zabalguneari, Zaramagako hurbileko bulegoa",0,914500,0
0410,1515,73312,,Piie - 21 zabalguneari zaramaga zaharberritzeko laguntzak,1500000,1500000,593170.52
0410,1515,73312,R,Piie - 21 zabalguneari zaramaga zaharberritzeko laguntzak,0,14979632.13,6851519.63
0410,1515,73313,,PIIE- 21  Zabalgunea. Bizitegi erakinen digitalizazioa eta monitorizazioa Zaramagan,559765.37,156421.43,0
0410,1515,73313,R,PIIE- 21  Zabalgunea. Bizitegi erakinen digitalizazioa eta monitorizazioa Zaramagan,0,150000,0
0410,1515,73314,,PIIE- 21 Zabalgunea. Komunitate energetikoak,162312.5,1,0
0410,1621,22502,,7/2022 Legearen zabortegi-hondakinen gaineko zerga,100000,50000,49398.12
0410,1722,22601,,Biosferaren erreserbak Gasteiz eta Araba Erdialdea,50000,50000,22889.99
0410,1722,22700,,Biosferaren erreserbak Gasteiz eta Araba Erdialdea,0,580000,580000
0410,1722,43102,,Ingurugiro Gaietarako Ikastegiari,2900000,2900000,2900000
0410,1722,61100,,Eko-barruti ekintzaileko inbertsioak,0,30000,30000
0410,2381,22675,,Udal-Aurrkontua genero-ikuspegiarekin egiteko laguntza teknikoa,20000,20000,18029
0410,4411,43300,,"Ekarpena, TUVISAri",18296551.33,16596551.33,16415328.51
0410,4411,43301,,"Ekarpena, TUVISAri garraioaren konpentsazioa. Udala",2110346.01,2110346.01,1813222.92
0410,4411,43302,,"Ekarpena, TUVISAri garraioaren konpentsazioa. Administrazio Orokorra",703448.67,703448.67,703448.67
0410,4411,43303,,"Ekarpena, TUVISAri garraioaren konpentsazioa. Eusko Jaurlaritza",703448.67,703448.67,703448.67
0410,4411,73300,,TUVISAri,886000,886000,886000
0410,4411,73309,,TUVISAri autobusak erosteko,4000000,4000000,4000000
0410,9202,16205,,Bizi-asegurua - langileen istripuak,864000,864000,986395.81
0410,9202,16206,,Aseguru korporatiboak,6000,6000,2978.6
0410,9204,62629,,"Sistema informatikoa, udal inbentarioa",20000,20000,0
0410,9205,20301,,Ibilgailuen rentinga,380000,392000,325349.72
0410,9205,21300,,Ibilgailuak konpontzea,220000,220000,216269.87
0410,9205,22104,,Erregaiak,390000,391000,329712.16
0410,9205,22404,,Ibilgailuen aseguruak,110957.81,116957.81,106599.85
0410,9205,62400,,Ibilgailuak,100000,100000,79978.21
0410,9206,21400,,Altzariak konpontzea,2000,2000,191.18
0410,9206,21500,,Ekipoak mantentzeko kontratuak,175000,175000,124584.98
0410,9206,21500,R,Ekipoak mantentzeko kontratuak,0,1005.52,1005.52
0410,9206,22001,,"Ohikoa, inbentariatu ezina",211750,211750,183344.41
0410,9206,22122,,Kopiagintzako renting kontratuak,105179.02,105179.02,0
0410,9206,62318,,Erreprografiako inbertsioak,30000,30000,21659
0410,9206,62501,,Altzariak,15000,30000,22935.45
0410,9206,62505,,Udal sailetako hainbat erosketa,12000,12000,8394.38
0410,9207,20100,,Lokal eta eraikinak alokatzea,4000000,4098485.25,4087280.76
0410,9207,22110,,Kopiagintza-gastuak,35000,35000,33137.45
0410,9207,22402,,Erantzukizun zibileko aseguruak,345000,345000,232966.61
0410,9207,22407,,Bizitza- eta istripu-asegurua,40000,64000,52931.7
0410,9207,22600,,Ondasunen erregistro-gastuak,10000,10000,6814.91
0410,9207,22707,R,Hornidura-sarearen okupazioaren inbentarioa,0,18029,0
0410,9207,22732,,Zerbitzuak emateko kontratuak,68200,68200,39991.09
0410,9207,22733,,Helburu estrategikoekin lerrokatutako aurrekontuen laguntza teknikoa,18150,18150,0
0410,9207,62900,,Ezbeharrengatiko berritzeak,1,120001,106858.9
0410,9211,62298,,"Inbertsioak, San Martin",15000,15000,16263.61
0410,9211,62299,,Segurtasuneko san martin inbertsioak cpd,25000,25000,23609.52
0410,9211,62299,R,Segurtasuneko san martin inbertsioak cpd,0,34222.08,34222.08
0410,9213,22102,,Ur-hornidura eta hondar-urak araztea,1500000,1877198.49,1877198.49
0410,9213,22103,,Ur hornikuntza zatikatzea - AMVISArekin hitzarmena,680000,680000,680000
0410,9271,41800,,EUDELi,318937.55,331452.25,327548.75
0410,9311,22499,,Ondarearen gaineko erantzukizunarengatiko kalte-ordaina,100000,160000,188166.61
0410,9319,12000,,Funtzionarioen oinarrizko ordainsariak,77031.7,77031.7,87490.49
0410,9319,12100,,Funtzionarioen ordainsari osagarriak,130216,130216,135733.56
0410,9319,13000,,Lan-kontratudun langile finkoen ordainsariak,62201,62201,60198.31
0410,9319,14100,,Bestelako langileak,0,0,12493.66
0410,9319,16000,,"Gizarte Segurantza, enpresaren kontura",66219,66219,69561.13
0410,9319,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3020,3020,1357.3
0410,9321,22776,,Isunen Ataleko zerbitzuak,148799.75,148799.75,148799.75
0410,9331,22401,,Udal eraikin eta lokalen aseguruak,535000,543000,354266.73
0410,9331,22499,,Kalte-ordainak - Ondare-erantzukizuna,0,0,0
0410,9331,22601,,Auzo-komunitateetako gastuak,400000,460000,566051.62
0410,9331,22631,,AIREF tasa,6838.52,6838.52,7619.4
0410,9331,22760,,Erloju publikoak mantentzea,20500,20500,21217.46
0410,9331,64900,,Industria jabegoa,1000,1000,0
0410,9341,36100,,"Interesak, zor ez ziren sarrerak itzultzean",30000,246280.1,243195.95
0410,9341,36101,,Diru-sarrerei loturiko finantza-gastuak,50000,50000,61323.47
0410,9341,36102,,Berandutze interesak,60000,110000,116771.72
0410,9341,36900,,Bestelako finantza-gastuak,60651,60651,24611.95
0411,9321,12000,,Funtzionarioen oinarrizko ordainsariak,54312.76,54312.76,53992.47
0411,9321,12100,,Funtzionarioen ordainsari osagarriak,80411,80411,73103.79
0411,9321,14100,,Bestelako langileak,52092,52092,50036.78
0411,9321,16000,,"Gizarte Segurantza, enpresaren kontura",49325,49325,47083.59
0411,9321,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3325,3325,3324.44
0414,9312,12000,,Funtzionarioen oinarrizko ordainsariak,84247.72,84247.72,53209.38
0414,9312,12100,,Funtzionarioen ordainsari osagarriak,112097,112097,58880.05
0414,9312,16000,,"Gizarte Segurantza, enpresaren kontura",49004,49004,32881.65
0414,9312,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3325,3325,3324.44
0415,9323,12000,,Funtzionarioen oinarrizko ordainsariak,98817.9,98817.9,100788.91
0415,9323,12100,,Funtzionarioen ordainsari osagarriak,160435,160435,161688.7
0415,9323,16000,,"Gizarte Segurantza, enpresaren kontura",55659,55659,54050.07
0415,9323,16500,,"Elkarkidetzako kuotak, Udalaren kontura",2500,2500,3642.66
0416,9341,12000,,Funtzionarioen oinarrizko ordainsariak,66974.21,66974.21,91563.56
0416,9341,12100,,Funtzionarioen ordainsari osagarriak,94101,94101,136899.9
0416,9341,14100,,Bestelako langileak,86449,86449,103916.12
0416,9341,16000,,"Gizarte Segurantza, enpresaren kontura",64377,64377,77466.09
0416,9341,16500,,"Elkarkidetzako kuotak, Udalaren kontura",6293,6293,6648.88
0417,9322,12000,,Funtzionarioen oinarrizko ordainsariak,90355.72,90355.72,90208.33
0417,9322,12100,,Funtzionarioen ordainsari osagarriak,127915,127915,119326.05
0417,9322,14100,,Bestelako langileak,58835,58835,39584
0417,9322,16000,,"Gizarte Segurantza, enpresaren kontura",63363,63363,57132.75
0417,9322,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3325,3325,3324.44
0418,9319,12000,,Funtzionarioen oinarrizko ordainsariak,1091429.67,1091429.67,1021700.52
0418,9319,12100,,Funtzionarioen ordainsari osagarriak,1359032,1359032,1318007.48
0418,9319,14100,,Bestelako langileak,291614,291614,396140.23
0418,9319,16000,,"Gizarte Segurantza, enpresaren kontura",825435,825435,804114.76
0418,9319,16500,,"Elkarkidetzako kuotak, Udalaren kontura",58835,58835,60180.71
0421,9314,12000,,Funtzionarioen oinarrizko ordainsariak,112573.43,112573.43,110390.77
0421,9314,12100,,Funtzionarioen ordainsari osagarriak,158162,158162,148078.8
0421,9314,14100,,Bestelako langileak,57859,57859,108310.99
0421,9314,16000,,"Gizarte Segurantza, enpresaren kontura",81749,81749,97342.87
0421,9314,16500,,"Elkarkidetzako kuotak, Udalaren kontura",1358,1358,193.9
0810,4301,11000,,Kabineteko behin-behineko langileen ordainsariak,59721.11,59721.11,214.38
0810,4301,12000,,Funtzionarioen oinarrizko ordainsariak,59221,59221,179426.19
0810,4301,12100,,Funtzionarioen ordainsari osagarriak,87903,87903,223177.42
0810,4301,14100,,Bestelako langileak,510,510,0
0810,4301,16000,,"Gizarte Segurantza, enpresaren kontura",45509,45509,100131.13
0810,4301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",4987,4987,9973.32
0810,4321,42304,,Europako merkatuetan sustatzeko hitzarmena-Merkataritza Ganbera,0,10000,8000
0810,4321,42304,A,Europako merkatuetan sustatzeko hitzarmena-Merkataritza Ganbera,0,4000,4000
0810,4321,42304,R,Europako merkatuetan sustatzeko hitzarmena-Merkataritza Ganbera,0,2000,2000
0810,4331,22704,,Umbra babestea,19000,0,0
0810,4331,22712,,Film Office bultzatzea,5000,5000,5642.01
0810,4331,22797,,Toki garapenerako bulegoa: Dinamizazio Ekonomikoa,208000,181980,137627.29
0810,4331,22797,R,Toki garapenerako bulegoa: Dinamizazio Ekonomikoa,0,2433.29,2433.29
0810,4331,47104,,Toki garapenerako bulegoa: ekitaldiak erakartzeko laguntzak,130000,130000,78000.02
0810,4331,47104,R,Toki garapenerako bulegoa: ekitaldiak erakartzeko laguntzak,0,67712.48,43944.86
0810,4331,48113,,Hitzarmena: Turium,0,0,0
0810,4331,48113,R,Hitzarmena: Turium,0,7500,7500
0810,4334,85107,,Parke teknologikoaren kapital-zabalkuntza,0,52600,34465
0817,4334,85107,,Parke teknologikoaren kapital-zabalkuntza,52600,0,0
0819,4301,12000,,Funtzionarioen oinarrizko ordainsariak,234957.46,234957.46,199429.96
0819,4301,12100,,Funtzionarioen ordainsari osagarriak,285755,285755,244631.94
0819,4301,14100,,Bestelako langileak,77794,77794,202175.37
0819,4301,16000,,"Gizarte Segurantza, enpresaren kontura",181037,181037,193254.21
0819,4301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",8982,8982,6284.45
0820,4301,12000,,Funtzionarioen oinarrizko ordainsariak,169004.13,169004.13,198690.75
0820,4301,12100,,Funtzionarioen ordainsari osagarriak,193778,193778,221419.77
0820,4301,14100,,Bestelako langileak,81355,81355,103185.39
0820,4301,16000,,"Gizarte Segurantza, enpresaren kontura",129665,129665,139779.06
0820,4301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",11518,11518,12749.24
0820,4301,22603,,Next Generation proiektuak seinaleztatzea,0,40000,10995.07
0820,4314,22701,R,EU-Merkataritza-zentro irekiak eta sedentarioak ez diren merkatuak indartzeko ekintzak,0,18089.5,18089.49
0820,4321,22707,R,EU-Adimen turistikoko sistemaren bideragarritasunari buruzko azterlana,0,14734.59,14099
0820,4321,22708,R,"Adimen turistikoko sistema, II. fasea",0,126000,0
0820,4321,22750,R,EU-Proiektuak kudeatzeko sistema,0,18119.75,18119.75
0820,4321,22751,R,EU-Turismo-bulegoaren kudeaketa integraleko sistema,0,0,0
0820,4321,22752,R,EU-Bisitarien fluxuen monitorizazioa,0,62000,60379
0820,4321,62610,,Eu-next generation proiektuen seinaleztapena,0,79388.16,76487.81
0821,1623,22705,R,EU-Inbertsioak poltsen kontsumoa murrizteko eta poliestirenoa trinkotzeko,0,233685.15,182568.6
0821,1623,22711,R,"EU-Jasangarritasuna handitzeko soluzioak, ontzi arinak bilduz eta aholkularitza energetikoa emanez",0,0,0
0821,4221,22683,,Jundiz eko-industriala,0,0,3656.22
0821,4221,22683,R,Jundiz eko-industriala,0,11516.76,11513.76
0821,4221,22714,,Basaldea,0,0,25529.78
0821,4221,22716,,Ekintzailetza zirkularra,40000,20000,0
0821,4221,22763,,Ekonomia zirkularra,45000,45000,43768.87
0821,4221,22764,R,EU-Ekonomia zirkularrean gaitzeko programaren diseinua,0,18148.79,14553.58
0821,4221,22779,,Industriari eta enpresei laguntzea,90000,90000,66966.96
0821,4221,22779,A,Industriari eta enpresei laguntzea,0,928.61,0
0821,4221,22779,R,Industriari eta enpresei laguntzea,0,13269.76,11892.17
0821,4221,62952,,Industrialdeak mantentzea,150000,170754.7,21115.42
0821,4221,62952,A,Industrialdeak mantentzea,0,292425.52,292425.52
0821,4221,62952,R,Industrialdeak mantentzea,0,12746.48,12746.48
0821,4331,12000,,Funtzionarioen oinarrizko ordainsariak,174501,174501,179416.09
0821,4331,12100,,Funtzionarioen ordainsari osagarriak,210557.82,210557.82,199395.47
0821,4331,14100,,Bestelako langileak,113654,113654,71992.52
0821,4331,16000,,"Gizarte Segurantza, enpresaren kontura",144910,144910,129050.66
0821,4331,16500,,"Elkarkidetzako kuotak, Udalaren kontura",5937,5937,6292.69
0821,4331,22677,,Ekintzaileentzako laguntza,213600,162600,103002.1
0821,4331,22677,A,Ekintzaileentzako laguntza,0,6322.25,90.75
0821,4331,22677,R,Ekintzaileentzako laguntza,0,31942.59,5395.99
0821,4331,22678,,Babes-kontratua: Mazoka,0,40000,40000
0821,4331,22712,,Enpresa-mintegien kudeaketa,25000,25000,29041.87
0821,4331,22713,R,"EU-Ekonomia zirkularra, bisitarien sentsibilizazioa (PSTD, II. fasea)",0,50000,0
0821,4331,22714,A,EU-Ekonomia zirkularraren arloko sentsibilizazio-kanpaina,0,22249.67,16877.16
0821,4331,22716,,EU-Ekonomia zirkularra eta karbono maila txikikoa,0,0,14234.02
0821,4331,22716,A,EU-Ekonomia zirkularra eta karbono maila txikikoa,0,34390.01,30873.46
0821,4331,22769,,Festval - Fila 2 babestea,190000,190000,190000
0821,4331,22770,,F2pcampus Katoid Techno babestea,5000,5000,0
0821,4331,41900,,Ekintzailetzari laguntzeko EHU-rekiko hitzarmena,5000,5000,5000
0821,4331,47002,,Ekarpena BIC,75000,75000,74461
0821,4331,47102,,Sorkuntzarekin lotutako industrientzako enplegu-laguntzak,150000,105000,77000
0821,4331,47102,A,Sorkuntzarekin lotutako industrientzako enplegu-laguntzak,0,6000,6000
0821,4331,47102,R,Sorkuntzarekin lotutako industrientzako enplegu-laguntzak,0,23002,16346.6
0821,4331,47107,,Hitzarmena: Ajebask- Prestakuntza eta mintegia,15000,15000,12000
0821,4331,47107,R,Hitzarmena: Ajebask- Prestakuntza eta mintegia,0,3000,3000
0821,4331,47131,,Hitzarmena: Euskal Irudigileak,15000,15000,12000
0821,4331,47131,R,Hitzarmena: Euskal Irudigileak,0,3000,1668.94
0821,4331,47135,,"Hitzarmena: DIGA, Arabako diseinu grafikoaren profesionalen elkartea",0,10000,10000
0821,4331,47138,,"Hitzarmena: Apika, Arabako ikus-entzunezkoen ekoizleen elkartea",0,20000,20000
0821,4331,47141,,Hitzarmena: Abycine,0,15000,15000
0821,4331,47142,,Hitzarmena: Hibridalab,0,15000,0
0821,4331,48150,,Hitzarmena: SECOT elkartearekin,3000,3600,2400
0821,4331,48150,R,Hitzarmena: SECOT elkartearekin,0,600,126.35
0821,4331,48175,,"Hitzarmena VIA-rekin, pasaiari-jarduera bultzatzeko",520000,520000,260000
0821,4331,48175,A,"Hitzarmena VIA-rekin, pasaiari-jarduera bultzatzeko",0,240000,239892.69
0821,4331,48175,R,"Hitzarmena VIA-rekin, pasaiari-jarduera bultzatzeko",0,300000,0
0821,4331,48180,,VIArentzako transferentziak,60000,60000,60000
0821,4331,48905,,"Hitzarmena: Prestaturik, berrerabili",30000,30000,24000
0821,4331,48905,R,"Hitzarmena: Prestaturik, berrerabili",0,6000,4847.97
0821,4331,48943,,Enpresen Gizarte Erantzukizunari buruzko Foroa,4000,4000,4000
0821,4331,48946,,Hitzarmena: SMYE (Emakumeak eta enpresaburuak gara),0,3000,3000
0821,4331,48947,,Hitzarmena: AMPEA (Arabako emakume profesional eta enpresaburuen elkartea),0,3000,3000
0821,4331,48948,,Hitzarmena: Fstudent,0,10000,10000
0821,4331,48949,,Ekintzaileentzako bekak,90000,90000,88600
0821,4331,48950,,Autonomoentzako Txekea,100000,196000,124800
0821,4331,48967,,Enpresak sortzeko eta sendotzeko laguntzak,190000,190000,176058.86
0821,4331,48968,,Hiri Laborategia,3000,3000,0
0821,4331,48985,,Itun Berdea sariak,6000,6000,6000
0821,4331,48986,,"Hitzarmena, Merkataritza Ganberarekin - enpresa txikiei laguntzea",32000,32000,32000
0821,4331,48996,,Hitzarmena: Arco n1,9200,9200,4600
0821,4331,48996,R,Hitzarmena: Arco n1,0,4600,4600
0821,4331,60902,,Mintegiko inbertsioak - Basaldea proiektua,100000,78034.28,71462.04
0821,4331,60902,R,Mintegiko inbertsioak - Basaldea proiektua,0,96315.25,96251.01
0821,4331,62601,,Mintegietako berrikuntza eta ekipamenduak,120000,120000,94039.91
0821,4331,62601,R,Mintegietako berrikuntza eta ekipamenduak,0,57910.55,57910.55
0822,4312,61406,,Merkatuetan obrak egitea,60000,60000,31191.38
0822,4314,12000,,Funtzionarioen oinarrizko ordainsariak,65466,65466,70849.35
0822,4314,12100,,Funtzionarioen ordainsari osagarriak,81378.68,81378.68,86816.55
0822,4314,14100,,Bestelako langileak,86405,86405,122280.1
0822,4314,16000,,"Gizarte Segurantza, enpresaren kontura",66223,66223,90997.66
0822,4314,16500,,"Elkarkidetzako kuotak, Udalaren kontura",1781,1781,5580.31
0822,4314,20200,,Makineria eta instalazioak alokatzea,94000,94000,91761.91
0822,4314,22700,,Eguberrietako argiztapena,165000,165000,152611.37
0822,4314,22700,R,Eguberrietako argiztapena,0,16443.9,16443.9
0822,4314,22701,,Merkataritza-lokalak dinamizatzeko plana,30000,80000,0
0822,4314,22702,,Merkataritza-lokalen dinamizazioa,300000,100000,0
0822,4314,22702,A,EU-Merkataritza-establezimenduen mapa interaktiboa,0,12463,12463
0822,4314,22703,A,"EU-Konpondu proiektua, sentsibilizazio-kanpaina",0,7116,7114.8
0822,4314,22765,,Tokiko merkataritzaren zabalkunde kanpaina,45000,41428.94,16596.9
0822,4314,22770,R,EU-Txikizkako merkataritzaren sektorean espezializatutako think tank bat definitu eta martxan jartzea,0,60000,54117.25
0822,4314,22771,,“Urban Commerce” jardunaldia,45000,43789.9,44806.29
0822,4314,22773,,Azokak,60000,60000,72724.4
0822,4314,22773,R,Azokak,0,21642.59,21642.59
0822,4314,22798,,Merkataritza dinamizatzea,170000,158956.7,87402.71
0822,4314,22798,R,Merkataritza dinamizatzea,0,65703,65703
0822,4314,22799,,Merkataritzan belaunaldien arteko ordezkapena bermatzeko plana,200000,200000,0
0822,4314,42301,,"Arabako Merkataritza Ganberarekiko hitzarmena, erakusleihoak",8000,8000,8000
0822,4314,48904,,Hitzarmena: City Wine,20000,20000,16000
0822,4314,48904,R,Hitzarmena: City Wine,0,4000,0
0822,4314,48926,,Hitzarmena: Gasteiz On elkartea,250800,300960,240768
0822,4314,48926,R,Hitzarmena: Gasteiz On elkartea,0,60160,60160
0822,4314,48963,,Hitzarmena: Erdi Aroko hiriguneko Merkatarien Elkartea,98000,98000,78400
0822,4314,48963,R,Hitzarmena: Erdi Aroko hiriguneko Merkatarien Elkartea,0,19600,19600
0822,4314,48964,,Denda txikientzako laguntzak,560000,563571.06,429065.19
0822,4314,48965,,Hitzarmena: Merkataritza Enpresaburuen Elkartea,45000,45000,36000
0822,4314,48965,R,Hitzarmena: Merkataritza Enpresaburuen Elkartea,0,9000,9000
0822,4314,48966,,Hitzarmena: Gorbeia kaleko Merkatarien Elkartea,16000,16000,12800
0822,4314,48966,R,Hitzarmena: Gorbeia kaleko Merkatarien Elkartea,0,3800,3800
0822,4314,48969,,Lokalak dinamizatzeko laguntzak,0,200000,49409.09
0822,4314,62250,,Merkataritzako enpresa-mintegia.,0,40000,0
0822,4314,62632,R,EU-Pickgeo location tresna teknologikoa,0,27000,27000
0823,2381,22279,,GPS: Orientabide profesionala berdintasunean,30000,30000,22553.51
