#Orgánico,Funcional,Económico,R,Denominación Aplicación,Crédito Inicial 2023,Crédito Inicial 2023
0810,4301,12000,,Retribuciones basicas de funcionarios,1676.0,1676.0
0810,4301,12100,,Retribuciones complementarias funcionarios,4763.0,4763.0
0810,4301,14100,,Otro personal,54538.0,54538.0
0810,4301,16000,,Seguridad social a cargo del ayuntamiento,28269.0,28269.0
0810,4301,16500,,Cuotas elkarkidetza a cargo ayuntamiento,3243.0,3243.0
0810,4331,22704,,Patrocinio umbra,19000.0,19000.0
0810,4331,22712,,Impulso film office,5000.0,5000.0
0810,4331,22797,,Oficina desarrollo local: dinamización económica,523000.0,523000.0
0810,4331,47104,,Oficina desarrollo local promoción de ciudad,130000.0,130000.0
0810,4331,48113,,Convenio turium,25000.0,25000.0
0817,4334,85107,,Ampliacion de capital del parque tecnologico,52600.0,52600.0
0819,4301,12000,,Retribuciones basicas de funcionarios,218945.0,218945.0
0819,4301,12100,,Retribuciones complementarias funcionarios,265337.0,265337.0
0819,4301,14100,,Otro personal,83505.0,83505.0
0819,4301,16000,,Seguridad social a cargo del ayuntamiento,166267.0,166267.0
0819,4301,16500,,Cuotas elkarkidetza a cargo ayuntamiento,11167.0,11167.0
0820,4301,12000,,Retribuciones basicas de funcionarios,162694.0,162694.0
0820,4301,12100,,Retribuciones complementarias funcionarios,174132.0,174132.0
0820,4301,14100,,Otro personal,56904.0,56904.0
0820,4301,16000,,Seguridad social a cargo del ayuntamiento,112873.0,112873.0
0820,4301,16500,,Cuotas elkarkidetza a cargo ayuntamiento,9730.0,9730.0
0821,4221,22683,,Jundiz eco industrial,50000.0,50000.0
0821,4221,22714,,Basaldea,60000.0,60000.0
0821,4221,22763,,Economía circular,60000.0,60000.0
0821,4221,22779,,Apoyo a industrias y empresas,95000.0,95000.0
0821,4221,62952,,Mantenimiento zonas industriales,100000.0,100000.0
0821,4331,12000,,Retribuciones basicas de funcionarios,177618.0,177618.0
0821,4331,12100,,Retribuciones complementarias funcionarios,198198.0,198198.0
0821,4331,14100,,Otro personal,90660.0,90660.0
0821,4331,16000,,Seguridad social a cargo del ayuntamiento,149204.0,149204.0
0821,4331,16500,,Cuotas elkarkidetza a cargo ayuntamiento,6486.0,6486.0
0821,4331,22677,,Apoyo a emprendedores,200000.0,200000.0
0821,4331,22712,,Gestion centros de empresas,35000.0,35000.0
0821,4331,22769,,Patrocinio festval - fila 2,190000.0,190000.0
0821,4331,22770,,Patrocinio f2 campus katoid techno,10000.0,10000.0
0821,4331,41900,,Convenio ehu-upv apoyo emprendimiento,5000.0,5000.0
0821,4331,47002,,Aportacion bic,75000.0,75000.0
0821,4331,47102,,Ayudas industrias creativas y audiovisuales,150000.0,150000.0
0821,4331,47107,,Convenio ajebask-formacion y semillero,15000.0,15000.0
0821,4331,47131,,Conv. euskal irudigileak/ilustradores de euskadi,15000.0,15000.0
0821,4331,48150,,Convenio asoc. seniors españoles para la cooperación técnica  - secot,3000.0,3000.0
0821,4331,48175,,Convenio via potenciar actividades del pasaje,500000.0,500000.0
0821,4331,48180,,Transferencias a via,60000.0,60000.0
0821,4331,48905,,Convenio prestaturik reutiliza,30000.0,30000.0
0821,4331,48943,,Foro responsabilidad social de la empresa,4000.0,4000.0
0821,4331,48949,,Becas al emprendimiento,90000.0,90000.0
0821,4331,48967,,Ayudas a la creación y consolidación de empresas,190000.0,190000.0
0821,4331,48985,,Premios pacto verde,9000.0,9000.0
0821,4331,48986,,Convenio cámara apoyo pequeñas empresas,32000.0,32000.0
0821,4331,48996,,Convenio arco n1,9200.0,9200.0
0821,4331,60902,,Inversiones semillero proy.basaldea,190000.0,190000.0
0821,4331,62601,,Reformas y equipamientos en semilleros,160000.0,160000.0
0822,4312,61406,,Obras en mercados,60000.0,60000.0
0822,4314,12000,,Retribuciones basicas de funcionarios,66768.0,66768.0
0822,4314,12100,,Retribuciones complementarias funcionarios,71721.0,71721.0
0822,4314,14100,,Otro personal,106116.0,106116.0
0822,4314,16000,,Seguridad social a cargo del ayuntamiento,80742.0,80742.0
0822,4314,16500,,Cuotas elkarkidetza a cargo ayuntamiento,3127.0,3127.0
0822,4314,20200,,Arrendamiento de maquinaria e instalaciones,94000.0,94000.0
0822,4314,22700,,Iluminación navideña,165000.0,165000.0
0822,4314,22765,,Campaña promoción comercio local,50000.0,50000.0
0822,4314,22771,,Jornada urban commerce,45000.0,45000.0
0822,4314,22773,,Mercados,60000.0,60000.0
0822,4314,22798,,Dinamización comercial,170000.0,170000.0
0822,4314,22799,,Vitoria-gasteiz veg friendly,20000.0,20000.0
0822,4314,42301,,Conv.camara comercio escaparatismo,8000.0,8000.0
0822,4314,48904,,Convenio city wine,20000.0,20000.0
0822,4314,48926,,Convenio asociación gasteiz on,250800.0,250800.0
0822,4314,48963,,Convenio asoc.comercios casco medieval,98000.0,98000.0
0822,4314,48964,,Ayudas al comercio y hostelería,560000.0,560000.0
0822,4314,48965,,Convenio asoc.empresarios comercio,45000.0,45000.0
0822,4314,48966,,Convenio asoc.comerciantes calle gorbea,16000.0,16000.0
0823,2381,22279,,Gps orientación profesional en igualdad,30000.0,30000.0
0823,2411,12000,,Retribuciones basicas de funcionarios,520190.0,520190.0
0823,2411,12100,,Retribuciones complementarias funcionarios,620356.0,620356.0
0823,2411,13000,,Retribuciones personal laboral fijo,1544270.0,1544270.0
0823,2411,14100,,Otro personal,99835.0,99835.0
0823,2411,16000,,Seguridad social a cargo del ayuntamiento,918070.0,918070.0
0823,2411,16500,,Cuotas elkarkidetza a cargo ayuntamiento,23336.0,23336.0
0823,2411,20100,,Arrendamiento locales y edificios,131000.0,131000.0
0823,2411,22770,,P.r.zaramaga aportacion lanbide cap 1,376353.0,376353.0
0823,2411,22771,,P.r.zaramaga aportacion lanbide cap 2,89983.0,89983.0
0823,2411,22772,,P.r.zaramaga aportacion ayto cap 1,76170.0,76170.0
0823,2411,22773,,P.r.zaramaga aportacion ayto cap 2,2500.0,2500.0
0823,2411,22774,,Otros planes empleo cap 2,161710.0,161710.0
0823,2411,22775,,Proyecto piloto inclusión ayto cap2,42475.0,42475.0
0823,2411,22776,,Proyecto piloto inclusion ayto cap 1,50245.0,50245.0
0823,2411,22777,,Proyecto piloto inclusion lanbide cap 1-2,236512.0,236512.0
0823,2411,22778,,Primera experiencia aportación ayto cap 1,472855.0,472855.0
0823,2411,22785,,Plan de empleo comarcal aportación lanbide,1001349.5,1001349.5
0823,2411,22786,,Plan de empleo comarcal aportación ayto (cap 1),173059.0,173059.0
0823,2411,22790,,Primera experiencia aportacion lanbide,517310.2,517310.2
0823,2411,22791,,Impulso al empleo colectivos prioritarios,119403.04,119403.04
0823,2411,22793,,Acciones de orientación y empleo,40800.0,40800.0
0823,2411,22795,,Formación,400000.0,400000.0
0823,2411,22796,,Formación logística,642000.0,642000.0
0823,2411,22797,,Plan de empleo vitoria-gasteiz,269545.0,269545.0
0823,2411,22798,,Proyecto oikos,75000.0,75000.0
0823,2411,47128,,Convenio sea empleo araba,72400.0,72400.0
0823,2411,48015,,Plan comarcal aportación lanbide,1520634.5,1520634.5
0823,2411,48020,,Plan comarcal - aportación municipal a la contratación,410000.0,410000.0
0823,2411,48171,,Convenio fundación secretariado gitano,42000.0,42000.0
0823,2411,48966,,Conv.apoyo al proy.saregune,60000.0,60000.0
0823,2411,48967,,Ayudas a la contratación- estabilidad empleo,600000.0,600000.0
0823,2411,62298,,Adecuacion instalaciones,175000.0,175000.0
0823,2411,62299,,Instalaciones de empleo y formación,20000.0,20000.0
0823,2411,62519,,Adquisición equipos formativos,20000.0,20000.0
0823,2411,62600,,Adquisición equipos informáticos instalac.empleo y formacion,20000.0,20000.0
0823,2411,62631,,Adquisicion equipos logistica,200000.0,200000.0
0823,4331,47136,,Ayudas proyectos economía circular,90000.0,90000.0
0823,4331,48043,,Convenio escuela de ventas,10000.0,10000.0
0823,4331,48994,,Convenio adsis/caritas/egibide proyecto hazia,100000.0,100000.0
0824,4321,12000,,Retribuciones basicas de funcionarios,163680.0,163680.0
0824,4321,12100,,Retribuciones complementarias funcionarios,200980.0,200980.0
0824,4321,14100,,Otro personal,47536.0,47536.0
0824,4321,16000,,Seguridad social a cargo del ayuntamiento,128254.0,128254.0
0824,4321,16500,,Cuotas elkarkidetza a cargo ayuntamiento,9489.0,9489.0
0824,4321,22776,,"Gestión p. europa, villasuso y oficina turismo",580000.0,580000.0
0824,4321,62513,,Mobiliario palacios y congresos,60000.0,60000.0
0824,4321,62609,,Equipos tecnicos palacio europa y villasuso,41600.0,41600.0
0826,3411,22603,,Patrocinio publitario saski baskonia sad,157300.0,157300.0
0826,4321,12000,,Retribuciones basicas de funcionarios,24307.0,24307.0
0826,4321,12100,,Retribuciones complementarias funcionarios,25651.0,25651.0
0826,4321,16000,,Seguridad social a cargo del ayuntamiento,12894.0,12894.0
0826,4321,22733,,Acciones competitividad sector,5000.0,5000.0
0826,4321,22772,,Patrocinio semana pintxo alaves,12000.0,12000.0
0826,4321,22774,,Patrocinio miniature pintxos congres,15000.0,15000.0
0826,4321,22777,,Dinamización turística,220000.0,220000.0
0826,4321,22779,,Promoción turística ciudad,250000.0,250000.0
0826,4321,22780,,Gastos merchandising oficina turismo,40000.0,40000.0
0826,4333,48172,,Convenio fundación catedral santa maría,32000.0,32000.0
0910,2210,22734,,Regularización seguridad social,100000.0,100000.0
0910,2381,22760,,Acciones para la igualdad de género,15375.0,15375.0
0910,9202,12000,,Retribuciones basicas de funcionarios,191998.93,191998.93
0910,9202,12100,,Retribuciones complementarias funcionarios,238978.0,238978.0
0910,9202,12104,,Complemento específico análisis de funcionales,1.0,1.0
0910,9202,16000,,Seguridad social a cargo del ayuntamiento,100751.0,100751.0
0910,9202,16007,,Aportacion complemento especifico a funcionarios,290560.0,290560.0
0910,9202,16104,,Retribuciones segun sentencia,14997.1,14997.1
0910,9202,16105,,Indemnizaciones por cese,75000.0,75000.0
0910,9202,16204,,Seguro de vida-autoseguro,145800.0,145800.0
0910,9202,16220,,Indemnizaciones por daños,1000.0,1000.0
0910,9202,16500,,Cuotas elkarkidetza a cargo ayuntamiento,11517.0,11517.0
0910,9202,22001,,Ordinario no inventariable,2505.0,2505.0
0910,9202,22105,,Vestuario y uniformes,100000.0,100000.0
0910,9202,22638,,Plan formacion empleados mples.,120000.0,120000.0
0910,9202,22740,,Congreso sumas,2000.0,2000.0
0910,9202,22745,,Programa estrategico de prevención de riesgos laborales,20000.0,20000.0
0910,9202,22759,,Plan estrategico de mejora continua,11222.0,11222.0
0910,9202,22764,,Estudios de organización,1000.0,1000.0
0910,9202,23000,,Dietas,55000.0,55000.0
0910,9202,23001,,Gastos de locomocion,35875.0,35875.0
0910,9202,23900,,Gastos procesos selectivos,70000.0,70000.0
0910,9202,48001,,Subvencion al comite,2957.38,2957.38
0910,9202,48002,,Becas y bolsas de estudio al personal,25774.9,25774.9
0910,9202,48003,,Subvencion a seccion sindical ela,5412.93,5412.93
0910,9202,48004,,Subvencion a seccion sindical ccoo,2483.98,2483.98
0910,9202,48005,,Subvencion a seccion sindical lab,1605.3,1605.3
0910,9202,48006,,Subvencion a seccion sindical esk,1605.3,1605.3
0910,9202,48007,,Subvencion a seccion sindical sipla,1019.51,1019.51
0910,9202,48008,,Subvencion a seccion sindical erne,1019.51,1019.51
0910,9203,62957,,Adquisición de equipos rr.hh.,12000.0,12000.0
0911,9202,12000,,Retribuciones basicas de funcionarios,294346.0,294346.0
0911,9202,12100,,Retribuciones complementarias funcionarios,380690.0,380690.0
0911,9202,14100,,Otro personal,114093.0,114093.0
0911,9202,16000,,Seguridad social a cargo del ayuntamiento,228273.0,228273.0
0911,9202,16500,,Cuotas elkarkidetza a cargo ayuntamiento,13937.0,13937.0
0912,9202,12000,,Retribuciones basicas de funcionarios,142974.0,142974.0
0912,9202,12100,,Retribuciones complementarias funcionarios,178100.0,178100.0
0912,9202,14100,,Otro personal,45935.0,45935.0
0912,9202,16000,,Seguridad social a cargo del ayuntamiento,87208.0,87208.0
0912,9202,16500,,Cuotas elkarkidetza a cargo ayuntamiento,6574.0,6574.0
0915,9202,12000,,Retribuciones basicas de funcionarios,138628.0,138628.0
0915,9202,12100,,Retribuciones complementarias funcionarios,166513.0,166513.0
0915,9202,14100,,Otro personal,57478.0,57478.0
0915,9202,16000,,Seguridad social a cargo del ayuntamiento,94528.0,94528.0
0915,9202,16500,,Cuotas elkarkidetza a cargo ayuntamiento,7275.0,7275.0
0919,9203,12000,,Retribuciones basicas de funcionarios,198422.0,198422.0
0919,9203,12100,,Retribuciones complementarias funcionarios,243512.0,243512.0
0919,9203,16000,,Seguridad social a cargo del ayuntamiento,110227.0,110227.0
0919,9203,16500,,Cuotas elkarkidetza a cargo ayuntamiento,10229.0,10229.0
0919,9203,22108,,Productos farmaceuticos y hemoderivados,65000.0,65000.0
0919,9203,22141,,Mantenimiento especifico equipos servicios medicos,820.0,820.0
1010,9204,12000,,Retribuciones basicas de funcionarios,81690.71,81690.71
1010,9204,12100,,Retribuciones complementarias funcionarios,138363.0,138363.0
1010,9204,16000,,Seguridad social a cargo del ayuntamiento,39474.0,39474.0
1010,9204,16500,,Cuotas elkarkidetza a cargo ayuntamiento,4330.0,4330.0
1010,9204,22730,,Definición procesos y supervision lopd,30000.0,30000.0
1011,9204,12000,,Retribuciones basicas de funcionarios,622526.0,622526.0
1011,9204,12100,,Retribuciones complementarias funcionarios,727392.0,727392.0
1011,9204,14100,,Otro personal,156499.0,156499.0
1011,9204,16000,,Seguridad social a cargo del ayuntamiento,413322.0,413322.0
1011,9204,16500,,Cuotas elkarkidetza a cargo ayuntamiento,31537.0,31537.0
1011,9204,21501,,Mantenimiento de aplicaciones informaticas,600000.0,600000.0
1011,9204,22720,,Soporte a mantenimiento de aplicativos,1519631.0,1519631.0
1011,9204,62623,,Plan director e-administracion,277000.0,277000.0
1011,9204,62624,,Plan contra el fraude fiscal,200000.0,200000.0
1011,9204,62626,,Sistema informatico policia local,180000.0,180000.0
1012,9204,12000,,Retribuciones basicas de funcionarios,357146.0,357146.0
1012,9204,12100,,Retribuciones complementarias funcionarios,448983.0,448983.0
1012,9204,14100,,Otro personal,233655.0,233655.0
1012,9204,16000,,Seguridad social a cargo del ayuntamiento,286479.0,286479.0
1012,9204,16500,,Cuotas elkarkidetza a cargo ayuntamiento,18687.0,18687.0
1012,9204,21500,,Mantenimiento equipos informaticos,285637.88,285637.88
1012,9204,22728,,Soporte ordenadores centrales,320000.0,320000.0
1012,9204,22729,,Soporte mantenimiento equipos usuarios,350000.0,350000.0
1012,9204,62600,,Adquisicion equipos informaticos,250000.0,250000.0
1012,9204,62604,,Adquisicion software base,335285.0,335285.0
1012,9204,62620,,Acciones plan de seguridad,50000.0,50000.0
1012,9204,62627,,Renovacion equipos y servicios,120000.0,120000.0
1012,9271,22200,,Facturacion telefonica,326421.27,326421.27
1012,9271,22202,,Correspondencia y notificaciones,1429939.0,1429939.0
1012,9271,22644,,Anuncios en boletines oficiales,10000.0,10000.0
1017,9204,12000,,Retribuciones basicas de funcionarios,280980.0,280980.0
1017,9204,12100,,Retribuciones complementarias funcionarios,332465.0,332465.0
1017,9204,14100,,Otro personal,70704.0,70704.0
1017,9204,16000,,Seguridad social a cargo del ayuntamiento,196768.0,196768.0
1017,9204,16500,,Cuotas elkarkidetza a cargo ayuntamiento,15233.0,15233.0
1018,9204,12000,,Retribuciones basicas de funcionarios,30819.0,30819.0
1018,9204,12100,,Retribuciones complementarias funcionarios,44315.0,44315.0
1018,9204,16000,,Seguridad social a cargo del ayuntamiento,13341.0,13341.0
1018,9204,16500,,Cuotas elkarkidetza a cargo ayuntamiento,1622.0,1622.0
1019,9204,12000,,Retribuciones basicas de funcionarios,19514.0,19514.0
1019,9204,12100,,Retribuciones complementarias funcionarios,21233.0,21233.0
1019,9204,16000,,Seguridad social a cargo del ayuntamiento,13341.0,13341.0
1019,9204,16500,,Cuotas elkarkidetza a cargo ayuntamiento,1622.0,1622.0
1020,9204,12000,,Retribuciones basicas de funcionarios,29711.0,29711.0
1020,9204,12100,,Retribuciones complementarias funcionarios,44625.0,44625.0
1020,9204,16000,,Seguridad social a cargo del ayuntamiento,13341.0,13341.0
1110,2301,11000,,Retribuciones personal eventual gabinete,84333.58,84333.58
1110,2301,12000,,Retribuciones basicas de funcionarios,93435.0,93435.0
1110,2301,12100,,Retribuciones complementarias funcionarios,118512.0,118512.0
1110,2301,14100,,Otro personal,105897.0,105897.0
1110,2301,16000,,Seguridad social a cargo del ayuntamiento,101347.0,101347.0
1110,2301,16500,,Cuotas elkarkidetza a cargo ayuntamiento,5892.0,5892.0
1111,2301,12000,,Retribuciones basicas de funcionarios,786203.0,786203.0
1111,2301,12100,,Retribuciones complementarias funcionarios,925440.0,925440.0
1111,2301,13000,,Retribuciones personal laboral fijo,14640.0,14640.0
1111,2301,14100,,Otro personal,374825.0,374825.0
1111,2301,16000,,Seguridad social a cargo del ayuntamiento,626611.0,626611.0
1111,2301,16500,,Cuotas elkarkidetza a cargo ayuntamiento,27283.0,27283.0
1111,2301,22103,,Gas,32892.4,32892.4
1111,2301,22145,,Gastos sanitarios coronavirus,60000.0,60000.0
1111,2301,22618,,Otros gastos funcionamiento,90000.0,90000.0
1111,2301,22699,,Plan de emergencias,5000.0,5000.0
1111,2301,48045,,Subvenciones,125000.0,125000.0
1111,2301,48190,,Convenio colegio trabajo social,10000.0,10000.0
1111,2301,48931,,Convenio asoc. goiener,15000.0,15000.0
1111,2301,48968,,Convenio asociación vivir con voz propia,15000.0,15000.0
1111,2301,62205,,Inversiones en viviendas sociales,250000.0,250000.0
1111,2301,62207,,Bizan judimendi,1.0,1.0
1111,2301,62303,,Adquisicion maquinaria,100000.0,100000.0
1111,2301,62501,,Mobiliario,100000.0,100000.0
1111,2381,22711,,Plan para la igualdad,1.0,1.0
1115,2323,22745,,Programa educacion calle para sin techo,116000.0,116000.0
1115,2323,48003,,Atenciones sociales,40000.0,40000.0
1115,2324,22002,,"Prensa,revistas y otras publicaciones",1500.0,1500.0
1115,2324,22105,,Vestuario y uniformes,800.0,800.0
1115,2324,22111,,Menaje,4320.0,4320.0
1115,2324,22115,,Material tecnico especifico,4080.0,4080.0
1115,2324,22759,,Monitores talleres,32752.0,32752.0
1115,2324,22784,,Contratros servicios de urgencias,550000.0,550000.0
1115,2324,22786,,Transporte de comidas,10692.43,10692.43
1115,2324,48003,,Atenciones sociales,34000.0,34000.0
1115,2325,22111,,Menaje,8640.0,8640.0
1115,2325,22115,,Material tecnico especifico,25000.0,25000.0
1115,2325,22614,,Talleres gizarteratu,880000.0,880000.0
1115,2325,22666,,Vigilancia nocturna villasuso,119222.81,119222.81
1115,2325,22731,,Comedor público - gestión,22500.0,22500.0
1115,2325,22747,,Gestión pisos tutelados,1038700.0,1038700.0
1115,2325,22787,,Gestion aterpe,610000.0,610000.0
1115,2325,22788,,Servicio atención diurna estrada,539005.0,539005.0
1115,2325,48003,,Atenciones sociales,150000.0,150000.0
1115,2325,48145,,Convenio caritas-taller ocupacional,54000.0,54000.0
1115,2325,48169,,Convenio gao lacho drom,38748.0,38748.0
1115,2325,48170,,Convenio irse programa apoyo a la insercion,30000.0,30000.0
1115,2325,48940,,Casa iniciativas abetxuko,92360.0,92360.0
1115,2327,12000,,Retribuciones basicas de funcionarios,528102.0,528102.0
1115,2327,12100,,Retribuciones complementarias funcionarios,684680.0,684680.0
1115,2327,14100,,Otro personal,461262.0,461262.0
1115,2327,16000,,Seguridad social a cargo del ayuntamiento,556785.0,556785.0
1115,2327,16500,,Cuotas elkarkidetza a cargo ayuntamiento,11823.0,11823.0
1120,2311,12000,,Retribuciones basicas de funcionarios,339372.0,339372.0
1120,2311,12100,,Retribuciones complementarias funcionarios,404571.0,404571.0
1120,2311,14100,,Otro personal,277579.0,277579.0
1120,2311,16000,,Seguridad social a cargo del ayuntamiento,281644.0,281644.0
1120,2311,16500,,Cuotas elkarkidetza a cargo ayuntamiento,11582.0,11582.0
1120,2311,22111,,Menaje,2400.0,2400.0
1120,2311,22115,,Material tecnico especifico,1360.0,1360.0
1120,2311,22678,,Programa participación infantil,145000.0,145000.0
1120,2311,22679,,Programa prevención prologo,30000.0,30000.0
1120,2311,22680,,Taleres emociones,210000.0,210000.0
1120,2311,22697,,Programa salud mental infancia y adolescencia,150000.0,150000.0
1120,2311,22698,,Lucha contra las violencias machistas,546296.6,546296.6
1120,2311,22726,,Programa parentalidad positiva (senidegune),112000.0,112000.0
1120,2311,22745,,Programa ada,522545.4,522545.4
1120,2311,22746,,Egokitzen-coparentalidad positiva divorcios,69900.0,69900.0
1120,2311,22748,,Terapias,175000.0,175000.0
1120,2311,22749,,Programa descubre tu potencial,29000.0,29000.0
1120,2311,22763,,Progr. intervención precoz violencia filioparental,87400.0,87400.0
1120,2311,22775,,Programa gestion bidatu,224667.3,224667.3
1120,2311,22789,,Resiliencia - pausoka,330639.48,330639.48
1120,2311,22791,,Plan local de infancia,186500.0,186500.0
1120,2311,22792,,Valoracion casos abusos sexuales,22000.0,22000.0
1120,2311,22794,,Centros socioeducativos,1441651.73,1441651.73
1120,2311,48003,,Atenciones sociales,4000.0,4000.0
1120,2311,48036,,Convenio avaim,11780.0,11780.0
1120,2311,48187,,Convenio garenok,11780.0,11780.0
1120,2311,48956,,Convenio contra la intolerancia,11780.0,11780.0
1120,2311,48991,,Convenio unicef,11780.0,11780.0
1120,2311,48992,,Convenio con amapase,15000.0,15000.0
1133,2312,22002,,"Prensa,revistas y otras publicaciones",12000.0,12000.0
1133,2312,22105,,Vestuario y uniformes,9268.68,9268.68
1133,2312,22106,,Productos alimenticios,2115948.12,2115948.12
1133,2312,22111,,Menaje,55000.0,55000.0
1133,2312,22115,,Material tecnico especifico,48960.0,48960.0
1133,2312,22606,,Servicios de peluqueria,13268.0,13268.0
1133,2312,22618,,Otros gastos funcionamiento,15000.0,15000.0
1133,2312,22652,,Animacion residencias tercera edad,320430.0,320430.0
1133,2312,22667,,Servicios religiosos san prudencio,6900.0,6900.0
1133,2312,22702,,Servicio de cafeteria,15500.0,15500.0
1133,2312,22708,,Traslado de personas mayores,177477.76,177477.76
1133,2312,48023,,Convenio afa-araba,22959.7,22959.7
1133,2312,48119,,Convenio aspace paralisis cerebral,13372.0,13372.0
1133,2312,48150,,Prog voluntariado acompañamiento personas mayores,6142.74,6142.74
1133,2312,48151,,Campo trabajo personas privadas de libertad,11180.86,11180.86
1133,2312,48194,,Convenio colegio de abogados,10000.0,10000.0
1133,2312,48959,,Convenio ascundean-3ªedad,70397.57,70397.57
1133,2313,22111,,Menaje,10800.0,10800.0
1133,2313,22623,,Programa apoyo a familias cuidadoras,112446.0,112446.0
1133,2313,22624,,Oficina de personas mayores,195000.0,195000.0
1133,2313,22709,,Plan de cuidados y vínculos,250000.0,250000.0
1133,2313,22754,,Gestion centros socioculturales de mayores,3333882.8,3333882.8
1133,2313,22786,,Transporte de comidas,51965.95,51965.95
1133,2313,48958,,Convenio upv acercando generaciones,1750.0,1750.0
1133,2313,48961,,Convenio parroquia los angeles,9000.0,9000.0
1133,2314,22002,,"Prensa,revistas y otras publicaciones",1300.0,1300.0
1133,2314,22111,,Menaje,8568.0,8568.0
1133,2314,22115,,Material tecnico especifico,612.0,612.0
1133,2314,22609,,Trabajadores familiares apartamentos mayores,569911.88,569911.88
1133,2314,22618,,Otros gastos funcionamiento,12640.0,12640.0
1133,2314,22628,,Animacion santa mª olarizu,68090.0,68090.0
1133,2314,22705,,Gestion serv.atencion diurna bto.t.zumarraga,543920.0,543920.0
1133,2314,22708,,Traslado de personas mayores,521055.0,521055.0
1133,2314,22714,,Gestión servicio atención diurna renacimiento,427440.0,427440.0
1133,2314,22718,,Gestion servicio atención diurna blas de otero,818480.0,818480.0
1133,2314,22786,,Transporte de comidas,47769.73,47769.73
1133,2317,12000,,Retribuciones basicas de funcionarios,3266261.0,3266261.0
1133,2317,12100,,Retribuciones complementarias funcionarios,4335161.0,4335161.0
1133,2317,14100,,Otro personal,3805576.0,3805576.0
1133,2317,16000,,Seguridad social a cargo del ayuntamiento,3713294.0,3713294.0
1133,2317,16500,,Cuotas elkarkidetza a cargo ayuntamiento,130924.0,130924.0
1145,2315,48138,,Convenio banco de alimentos,24000.0,24000.0
1145,2315,48157,,Federacion asoc.vicente abreu,34674.72,34674.72
1145,2321,22786,,Transporte de comidas,155039.71,155039.71
1145,2321,22797,,Servicio de ayuda a domicilio,15803144.0,15803144.0
1145,2321,48000,,Ayudas a emergencia social,6055000.0,6055000.0
1145,2321,48003,,Atenciones sociales,4393525.9,4393525.9
1145,2321,48004,,Fondos de emergencia habitacional - deshaucios,100000.0,100000.0
1145,2321,48067,,Ayudas a gasto energético,40000.0,40000.0
1145,2321,48154,,Cruz roja-acompañamiento personas mayores,77500.0,77500.0
1145,2321,48977,,Convenio save the children,11724.0,11724.0
1145,2322,22115,,Material tecnico especifico,37570.0,37570.0
1145,2322,22619,,Educacion calle,1098000.35,1098000.35
1145,2322,22746,,Vigilancia servicios sociales de base,482758.26,482758.26
1145,2322,22759,,Monitores talleres,301000.0,301000.0
1145,2328,12000,,Retribuciones basicas de funcionarios,1263389.0,1263389.0
1145,2328,12100,,Retribuciones complementarias funcionarios,1415792.0,1415792.0
1145,2328,14100,,Otro personal,1635028.0,1635028.0
1145,2328,16000,,Seguridad social a cargo del ayuntamiento,1274593.0,1274593.0
1145,2328,16500,,Cuotas elkarkidetza a cargo ayuntamiento,49972.0,49972.0
1150,2391,12000,,Retribuciones basicas de funcionarios,77133.0,77133.0
1150,2391,12100,,Retribuciones complementarias funcionarios,86926.0,86926.0
1150,2391,16000,,Seguridad social a cargo del ayuntamiento,49280.0,49280.0
1150,2391,16500,,Cuotas elkarkidetza a cargo ayuntamiento,1324.0,1324.0
1150,2391,22696,,Cuota euskal fondoa,11237.4,11237.4
1150,2391,22699,,Otros gastos diversos,4000.0,4000.0
1150,2391,22707,,Estudios y trabajos tecnicos,56870.0,56870.0
1150,2391,22799,,Programas de sensibilización y comunicación,104762.87,104762.87
1150,2391,23002,,Gastos de desplazamiento,9000.0,9000.0
1150,2391,48200,,Subvenciones de cooperación al desarrollo,1857435.0,1857435.0
1150,2391,48205,,Convenio fondo alavés de emergencia,135000.0,135000.0
1150,2391,48206,,Convenio asoc.amigos/as del rasd,320000.0,320000.0
1150,2391,48207,,Convenio euskal fondoa,207000.0,207000.0
1150,2391,48211,,Convenio coordinadora ongds,24000.0,24000.0
1150,2391,48212,,Convenio afanis-vacaciones en paz,17000.0,17000.0
1150,2391,48213,,Convenio comercio justo,90000.0,90000.0
1150,2391,48215,,Convenio afrika,20000.0,20000.0
1310,9313,12000,,Retribuciones basicas de funcionarios,179442.46,179442.46
1310,9313,12100,,Retribuciones complementarias funcionarios,232762.0,232762.0
1310,9313,14100,,Otro personal,2132.0,2132.0
1310,9313,16000,,Seguridad social a cargo del ayuntamiento,89725.0,89725.0
1310,9313,16500,,Cuotas elkarkidetza a cargo ayuntamiento,6564.0,6564.0
1510,1701,11000,,Retribuciones personal eventual gabinete,89867.78,89867.78
1510,1701,14100,,Otro personal,25599.0,25599.0
1510,1701,16000,,Seguridad social a cargo del ayuntamiento,22004.0,22004.0
1510,1701,16500,,Cuotas elkarkidetza a cargo ayuntamiento,1622.0,1622.0
1510,1701,22004,,Edicion y reproduccion de cartografia y proyectos,1000.0,1000.0
1510,1701,22205,,"Reuniones,conferencias y congresos",2000.0,2000.0
1510,1701,22206,,Acciones exteriores y colaboraciones internacionales,3000.0,3000.0
1510,1701,22603,,"Comunicación, traducción, publicidad",25000.0,25000.0
1510,1701,48102,,Autoridad de movilidad de álava,100000.0,100000.0
1510,1701,62630,,Licencias software,50000.0,50000.0
