#Organico,Funcional,Economico,Denominación Aplicación,Crédito Inicial,Crédito Definitivo,Obligado
0910,9202,16220,Indemnizaciones por daños,1500.0,1500.0,512.63
0910,9202,16500,Cuotas Elkarkidetza a cargo ayuntamiento,4090.0,4090.0,5959.35
0910,9202,22001,Ordinario no inventariable,3870.0,3870.0,813.33
0910,9202,22105,Vestuario y uniformes,85000.0,85000.0,82789.96
0910,9202,22638,Plan formación empleados municipales,100000.0,100000.0,96822.95
0910,9202,22745,Programa estratégico de prevención de riesgos laborales,5000.0,5000.0,11624.55
0910,9202,22759,Plan estratégico de mejora continua,8000.0,8000.0,8000.0
0910,9202,22760,Acciones para la igualdad de genero,15000.0,15000.0,3375.35
0910,9202,22764,Estudios de organización,1000.0,1000.0,0.0
0910,9202,23000,Dietas,20720.0,20720.0,38973.74
0910,9202,23001,Gastos de locomoción,35000.0,35000.0,26190.63
0910,9202,23900,Gastos procesos selectivos,10000.0,10000.0,4441.45
0911,9202,12000,Retribuciones básicas de personal funcionario,227518.0,227518.0,238058.92
0911,9202,12100,Retribuciones complementarias de personal funcionario,290423.0,290423.0,306607.08
0911,9202,14100,Otro personal,204323.0,204323.0,207039.0
0911,9202,16000,Seguridad social a cargo del ayuntamiento,200334.0,200334.0,201283.23
0911,9202,16500,Cuotas Elkarkidetza a cargo ayuntamiento,14662.0,14662.0,14547.85
0912,9202,12000,Retribuciones básicas de personal funcionario,148103.0,148103.0,157151.71
0912,9202,12100,Retribuciones complementarias de personal funcionario,206008.0,206008.0,207414.44
0912,9202,16000,Seguridad social a cargo del ayuntamiento,74962.0,74962.0,78088.33
0912,9202,16500,Cuotas Elkarkidetza a cargo ayuntamiento,6371.0,6371.0,8095.76
0915,9202,12000,Retribuciones básicas de personal funcionario,47185.0,47185.0,40177.69
0915,9202,12100,Retribuciones complementarias de personal funcionario,53332.0,53332.0,51462.92
0915,9202,16000,Seguridad social a cargo del ayuntamiento,18538.0,18538.0,21393.49
0915,9202,16500,Cuotas Elkarkidetza a cargo ayuntamiento,1468.0,1468.0,1463.7
0919,9203,12000,Retribuciones básicas de personal funcionario,135563.0,135563.0,129303.76
0919,9203,12100,Retribuciones complementarias de personal funcionario,169724.0,169724.0,158773.93
0919,9203,14100,Otro personal,43414.0,43414.0,43414.16
0919,9203,16000,Seguridad social a cargo del ayuntamiento,87406.0,87406.0,86054.36
0919,9203,16500,Cuotas Elkarkidetza a cargo ayuntamiento,7290.0,7290.0,7354.23
0919,9203,22108,Productos farmacéuticos y hemoderivados,70000.0,67300.0,54574.75
0919,9203,22141,Mantenimiento especifico equipos servicios médicos,1500.0,800.0,529.98
1010,9204,11000,Retribuciones personal eventual gabinete,4361.0,4361.0,0.0
1010,9204,12000,Retribuciones básicas de personal funcionario,53782.0,53782.0,53753.88
1010,9204,12100,Retribuciones complementarias de personal funcionario,98370.0,98370.0,98481.74
1010,9204,14100,Otro personal,33903.0,33903.0,46267.23
1010,9204,16000,Seguridad social a cargo del ayuntamiento,36412.0,36412.0,36179.86
1010,9204,16500,Cuotas Elkarkidetza a cargo ayuntamiento,2667.0,2667.0,2658.88
1010,9204,22730,Definición procesos y supervisión LOPD,60000.0,60000.0,32910.79
1010,9204,22732,Contratos de prestación,50000.0,50000.0,40041.53
1011,9204,12000,Retribuciones básicas de personal funcionario,371989.0,371989.0,352330.86
1011,9204,12100,Retribuciones complementarias de personal funcionario,441864.0,441864.0,427629.14
1011,9204,13000,Retribuciones personal laboral fijo,46149.0,46149.0,46042.7
1011,9204,14100,Otro personal,192874.0,192874.0,239814.99
1011,9204,16000,Seguridad social a cargo del ayuntamiento,284003.0,284003.0,289094.78
1011,9204,16500,Cuotas Elkarkidetza a cargo ayuntamiento,21820.0,21820.0,20598.7
1011,9204,21501,Mantenimiento de aplicaciones informáticas,450000.0,450000.0,336485.8
1011,9204,22720,Soporte a mantenimiento de aplicativos,1285000.0,1285000.0,1224552.14
1012,9204,12000,Retribuciones básicas de personal funcionario,301598.0,301598.0,297721.99
1012,9204,12100,Retribuciones complementarias de personal funcionario,399418.0,399418.0,400585.18
1012,9204,14100,Otro personal,207756.0,207756.0,212642.99
1012,9204,16000,Seguridad social a cargo del ayuntamiento,235458.0,235458.0,237201.25
1012,9204,16500,Cuotas Elkarkidetza a cargo ayuntamiento,12836.0,12836.0,13214.88
1012,9204,21500,Mantenimiento equipos informáticos,400000.0,300000.0,225542.81
1012,9204,22728,Soporte ordenadores centrales,300000.0,300000.0,206262.7
1012,9204,22729,Soporte mantenimiento equipos usuarios,30000.0,30000.0,0.0
1012,9204,22750,Administratel,64800.0,64800.0,0.0
1012,9204,22755,Plan nuevas tecnologias aplicaciones uso ciudadanos,1.0,1.0,0.0
1012,9271,22200,Facturación telefónica,380000.0,380000.0,337709.61
1012,9271,22202,Correspondencia y notificaciones,1060000.0,1410000.0,1470837.57
1012,9271,22644,Anuncios en boletines oficiales,50000.0,50000.0,65148.97
1017,9204,12000,Retribuciones básicas de personal funcionario,154276.0,154276.0,147469.19
1017,9204,12100,Retribuciones complementarias de personal funcionario,202792.0,202792.0,190801.54
1017,9204,14100,Otro personal,74828.0,74828.0,75361.35
1017,9204,16000,Seguridad social a cargo del ayuntamiento,107469.0,107469.0,106050.9
1017,9204,16500,Cuotas Elkarkidetza a cargo ayuntamiento,8769.0,8769.0,8809.92
1018,9204,12000,Retribuciones básicas de personal funcionario,26372.0,26372.0,26632.98
1018,9204,12100,Retribuciones complementarias de personal funcionario,39679.0,39679.0,39725.55
1018,9204,16000,Seguridad social a cargo del ayuntamiento,11123.0,11123.0,11343.6
1018,9204,16500,Cuotas Elkarkidetza a cargo ayuntamiento,1468.0,1468.0,1463.7
1019,9204,12000,Retribuciones básicas de personal funcionario,25732.0,25732.0,24135.36
1019,9204,12100,Retribuciones complementarias de personal funcionario,39439.0,39439.0,37766.36
1019,9204,16000,Seguridad social a cargo del ayuntamiento,11124.0,11124.0,11342.7
1019,9204,16500,Cuotas Elkarkidetza a cargo ayuntamiento,1468.0,1468.0,1463.7
1020,9204,12000,Retribuciones básicas de personal funcionario,25114.0,25114.0,24945.55
1020,9204,12100,Retribuciones complementarias de personal funcionario,39310.0,39310.0,39297.61
1020,9204,16000,Seguridad social a cargo del ayuntamiento,11123.0,11123.0,11339.94
1110,2301,12000,Retribuciones básicas de personal funcionario,104438.0,104438.0,94650.35
1110,2301,12100,Retribuciones complementarias de personal funcionario,136853.0,136853.0,129285.52
1110,2301,14100,Otro personal,112900.0,112900.0,127918.48
1110,2301,16000,Seguridad social a cargo del ayuntamiento,90281.0,90281.0,84280.24
1110,2301,16500,Cuotas Elkarkidetza a cargo ayuntamiento,2247.0,2247.0,2658.88
1111,2301,12000,Retribuciones básicas de personal funcionario,605100.0,605100.0,641648.31
1111,2301,12100,Retribuciones complementarias de personal funcionario,754490.0,754490.0,801340.62
1111,2301,13000,Retribuciones personal laboral fijo,37496.0,37496.0,37356.02
1111,2301,14100,Otro personal,382615.0,382615.0,416474.38
1111,2301,16000,Seguridad social a cargo del ayuntamiento,504876.0,504876.0,541866.97
1111,2301,16500,Cuotas Elkarkidetza a cargo ayuntamiento,28254.0,28254.0,30297.16
1111,2301,22103,Gas,23000.0,23000.0,22785.2
1111,2301,22618,Otros gastos funcionamiento,50000.0,50000.0,12742.9
1111,2325,22614,Talleres Gizarteratu,0.0,0.0,0.0
1115,2323,22745,Programa educación calle para sin techo,91183.47,91183.47,91183.22
1115,2323,22784,Contratos servicios de urgencias,0.0,0.0,496841.65
1115,2324,21003,Proyecto social de barrio,0.0,0.0,0.0
1115,2324,22002,"Prensa, revistas y otras publicaciones",2050.0,2050.0,1212.7
1115,2324,22105,Vestuario y uniformes,1500.0,1500.0,0.0
1115,2324,22106,Productos alimenticios,20000.0,20000.0,16860.81
1115,2324,22111,Menaje,7500.0,7500.0,3252.35
1115,2324,22115,Material técnico especifico,6000.0,6000.0,2290.94
1115,2324,22759,Monitores talleres,113474.0,84474.0,73565.06
1115,2324,22786,Transporte de comidas,11889.87,11889.87,9436.08
1115,2325,22111,Menaje,14000.0,14000.0,10008.2
1115,2325,22115,Material técnico especifico,29500.0,29500.0,31918.49
1115,2325,22614,Talleres Gizarteratu,882198.0,860198.0,817617.91
1115,2325,22666,Vigilancia nocturna Villasuso,70857.45,70857.45,88426.16
1115,2325,22761,Programa acompañamiento pisos acogida,104042.76,104042.76,104042.76
1115,2325,22786,Transporte de comidas Casa abierta,11889.87,11889.87,9436.08
1115,2325,22788,Dispositivo atención invernal,80000.0,80000.0,57913.94
1115,2327,12000,Retribuciones básicas de personal funcionario,359081.0,359081.0,324351.44
1115,2327,12100,Retribuciones complementarias de personal funcionario,493790.0,493790.0,447556.46
1115,2327,14100,Otro personal,734611.0,734611.0,688192.39
1115,2327,16000,Seguridad social a cargo del ayuntamiento,492610.0,492610.0,468598.8
1115,2327,16500,Cuotas Elkarkidetza a cargo ayuntamiento,17486.0,17486.0,14215.64
1120,2311,12000,Retribuciones básicas de personal funcionario,251389.0,251389.0,236868.09
1120,2311,12100,Retribuciones complementarias de personal funcionario,296295.0,296295.0,276881.99
1120,2311,14100,Otro personal,418531.0,418531.0,405683.88
1120,2311,16000,Seguridad social a cargo del ayuntamiento,281177.0,281177.0,264133.65
1120,2311,16500,Cuotas Elkarkidetza a cargo ayuntamiento,5588.0,5588.0,5049.24
1120,2311,22111,Menaje,2000.0,2000.0,1132.93
1120,2311,22115,Material técnico especifico,2000.0,2000.0,557.3
1120,2311,22626,Familias sustitutas,0.0,35059.92,35059.42
1120,2311,22678,Programación participación infantil,100000.0,100000.0,102984.94
1120,2311,22679,Programa prevención prólogo,30000.0,30000.0,13938.76
1120,2311,22680,Talleres emociones,190000.0,190000.0,189864.18
1120,2311,22726,Programa parentalidad positiva (Senidegune),112000.0,112000.0,90705.9
1120,2311,22745,Programa ADA,500000.63,500000.63,498998.4
1120,2311,22748,Terapias,150000.0,150000.0,122878.15
1120,2311,22775,Programa gestión Bidatu,196902.83,196902.83,199045.0
1120,2311,22789,Resilencia,185000.0,185000.0,185813.16
1120,2311,22791,Plan local de infancia,136724.0,136724.0,142996.78
1120,2311,22792,Valoración casos abusos sexuales,39000.0,39000.0,35600.0
1120,2311,22794,Centros socioeducativos,1119422.68,1119422.68,1101345.85
1120,2311,22796,Programa Valeo,40000.0,40000.0,11720.0
1133,2312,22002,"Prensa, revistas y otras publicaciones",10589.27,10589.27,13528.13
1133,2312,22105,Vestuario y uniformes,5500.0,5500.0,3929.7
1133,2312,22106,Productos alimenticios,1599985.02,1599985.02,1885967.32
1133,2312,22111,Menaje,55908.52,55908.52,44924.84
1133,2312,22115,Material técnico especifico,72014.6,72014.6,55389.21
1133,2312,22606,Servicios de peluquería,14916.08,14916.08,14442.72
1133,2312,22618,Otros gastos funcionamiento,10944.52,10944.52,22479.78
1133,2312,22623,Programa de apoyo a familias cuidadoras,150000.0,100000.0,58178.24
1133,2312,22652,Animación residencias tercera edad,275181.3,275181.3,275180.52
1133,2312,22666,Vigilancia nocturna Rª San Prudencio,67731.63,67731.63,67731.63
1133,2312,22667,Servicios religiosos San Prudencio,6961.64,6961.64,6900.0
1133,2312,22702,Servicio de cafetería,13780.92,13780.92,13780.92
1133,2312,22708,Traslado de ancianos,167000.0,167000.0,162955.78
1133,2313,22111,Menaje,12000.0,12000.0,8518.43
1133,2313,22713,Servicio de podología,0.0,0.0,0.0
1133,2313,22754,Gestión centros socioculturales de mayores,2901510.0,2901510.0,2865144.0
1133,2313,22786,Transporte de comidas,54460.0,54460.0,37665.64
1133,2314,22002,"Prensa, revistas y otras publicaciones",906.22,906.22,1262.79
1133,2314,22111,Menaje,12363.64,12363.64,998.68
1133,2314,22115,Material técnico especifico,816.05,816.05,297.72
1133,2314,22609,Trabajadores familiares apartamentos mayores,361366.32,361366.32,324815.39
1133,2314,22618,Otros gastos funcionamiento,5444.63,5444.63,3232.35
1133,2314,22628,Animación Santa Mª Olarizu,48050.0,48050.0,38346.0
1133,2314,22705,Gestión servicio atención diurna Bto. T. Zumarraga,424077.0,424077.0,415219.32
1133,2314,22708,Traslado de ancianos,308739.84,308739.84,300519.22
1133,2314,22718,Gestión servicio atención diurna Blas de Otero,702017.0,702017.0,647493.2
1133,2314,22786,Transporte de comidas,35669.71,35669.71,28308.3
1133,2317,12000,Retribuciones básicas de personal funcionario,2355042.0,2355042.0,2326782.72
1133,2317,12100,Retribuciones complementarias de personal funcionario,3098570.0,3098570.0,3132366.22
1133,2317,14100,Otro personal,3489584.0,4425947.0,4617871.06
1133,2317,16000,Seguridad social a cargo del ayuntamiento,2751291.0,3050927.0,3101323.15
1133,2317,16500,Cuotas Elkarkidetza a cargo ayuntamiento,117426.0,117426.0,119724.22
1133,2317,22630,Campaña sensibilización proyecto personas mayores,0.0,0.0,0.0
1145,2321,22731,Comidas desamparadas,370377.0,370377.0,370377.0
1145,2321,22786,Transporte de comidas,162000.0,162000.0,84171.73
1145,2321,22797,Servicio de ayuda a domicilio,10500000.0,10487318.06,8762213.36
1145,2322,22115,Material técnico especifico,44200.0,44200.0,16770.25
1145,2322,22619,Educación calle,975918.71,975918.71,961713.8
1145,2322,22746,Vigilancia servicios sociales de base,301621.21,301621.21,311321.02
1145,2322,22759,Monitores talleres,303671.75,303671.75,235066.31
1145,2328,12000,Retribuciones básicas de personal funcionario,813315.0,813315.0,863646.7
1145,2328,12100,Retribuciones complementarias de personal funcionario,945836.0,945836.0,1004226.57
1145,2328,14100,Otro personal,220311.0,220311.0,1413947.13
1145,2328,16000,Seguridad social a cargo del ayuntamiento,563590.0,563590.0,959991.17
1145,2328,16500,Cuotas Elkarkidetza a cargo ayuntamiento,22463.0,22463.0,26563.23
118001,3112,12000,Retribuciones básicas de personal funcionario,219068.0,219068.0,201504.32
118001,3112,12100,Retribuciones complementarias de personal funcionario,280151.0,280151.0,267947.91
118001,3112,13000,Retribuciones personal laboral fijo,57.0,57.0,0.0
118001,3112,14100,Otro personal,26806.0,26806.0,86187.81
118001,3112,16000,Seguridad social a cargo del ayuntamiento,138987.0,138987.0,156044.04
118001,3112,16500,Cuotas Elkarkidetza a cargo ayuntamiento,10951.0,10951.0,10957.93
118001,3112,22107,Alimentación para animales,15000.0,15000.0,8094.79
118001,3112,22108,Suministro farmacia animales,15000.0,15000.0,15871.86
118001,3112,22112,Materiales para sanidad animal,8000.0,8000.0,8619.48
118001,3112,22113,Materiales de higiene alimentaria,4000.0,4000.0,4594.73
118001,3112,22699,Otros gastos diversos,5000.0,5000.0,5926.39
118001,3112,22718,Programas de sanidad animal,12000.0,12000.0,13410.27
118001,3112,22719,Programa de higiene alimentaria,10000.0,10000.0,3000.0
118001,3112,22720,Programas parque D.D.D.,125000.0,125000.0,96242.58
118001,3112,22722,Programa asistencia animal,12000.0,12000.0,14055.46
118001,3112,22766,Ejecuciones subsidiarias D.D.D.,4000.0,4000.0,2854.16
118002,3111,12000,Retribuciones básicas de personal funcionario,13843.0,13843.0,44432.86
118002,3111,12100,Retribuciones complementarias de personal funcionario,13097.0,13097.0,45815.58
118002,3111,16000,Seguridad social a cargo del ayuntamiento,11410.0,11410.0,35576.91
118002,3111,21210,Mantenimiento desfibriladores,18000.0,18000.0,16378.56
118002,3111,22198,Materiales para educación para la salud,35000.0,35000.0,20644.22
118002,3111,22199,Materiales prevención drogodependencias,3000.0,3000.0,3327.96
118002,3111,22702,Plan de salud-ciudades saludables,15000.0,15000.0,8199.19
118002,3111,22708,Junta arbitral información en consumo,6000.0,6000.0,6176.12
118002,3111,22717,Prestación servicios promoción salud,110000.0,110000.0,88556.09
118002,3111,22718,Programa prevención drogodependencias,100000.0,100000.0,63474.98
118002,3111,22721,Programa reinserción drogodependencias,83000.0,83000.0,83000.0
118003,3113,12000,Retribuciones básicas de personal funcionario,195667.0,195667.0,193364.52
118003,3113,12100,Retribuciones complementarias de personal funcionario,324423.0,324423.0,311513.92
118003,3113,14100,Otro personal,69061.0,69061.0,131632.36
118003,3113,16000,Seguridad social a cargo del ayuntamiento,150227.0,150227.0,170920.16
118003,3113,16500,Cuotas Elkarkidetza a cargo ayuntamiento,4756.0,4756.0,4741.24
118003,3113,21200,Mantenimiento maquinaria e instalaciones,22000.0,22000.0,19583.72
118003,3113,22115,Material técnico especifico,70000.0,70000.0,76737.35
118003,3113,22716,Contratación auditorias de calidad,18243.0,18243.0,18521.34
118004,3113,14100,Otro personal,45749.0,45749.0,52550.21
118004,3113,16000,Seguridad social a cargo del ayuntamiento,11293.0,11293.0,13915.09
118004,3113,16500,Cuotas Elkarkidetza a cargo ayuntamiento,1258.0,1258.0,1672.8
1310,9313,12000,Retribuciones básicas de personal funcionario,140390.0,140390.0,136105.65
1310,9313,12100,Retribuciones complementarias de personal funcionario,191074.0,191074.0,180166.17
1310,9313,16000,Seguridad social a cargo del ayuntamiento,69461.0,69461.0,77610.26
1310,9313,16500,Cuotas Elkarkidetza a cargo ayuntamiento,5247.0,5247.0,5371.52
1510,1701,11000,Retribuciones personal eventual gabinete,77403.0,77403.0,77201.06
1510,1701,16000,Seguridad social a cargo del ayuntamiento,11123.0,11123.0,11343.6
1510,1701,16500,Cuotas Elkarkidetza a cargo ayuntamiento,1468.0,1468.0,1463.7
1510,1701,22004,Edición y reproducción de cartografía y proyectos,1000.0,1000.0,2730.67
1510,1701,22605,"Reuniones, conferencias y congresos",0.0,0.0,0.0
151101,1721,21040,Mantenimiento de equipos y control y diagnóstico,130000.0,130000.0,87080.91
151101,1721,22115,Repuestos y fungibles,5000.0,5000.0,1409.0
151101,1722,12000,Retribuciones básicas de personal funcionario,99773.0,99773.0,78493.42
151101,1722,12100,Retribuciones complementarias de personal funcionario,150629.0,150629.0,111497.05
151101,1722,14100,Otro personal,114826.0,114826.0,141682.19
151101,1722,16000,Seguridad social a cargo del ayuntamiento,101921.0,101921.0,100241.04
151101,1722,16500,Cuotas Elkarkidetza a cargo ayuntamiento,6331.0,6331.0,5585.73
151102,1722,12000,Retribuciones básicas de personal funcionario,47808.0,47808.0,46489.72
151102,1722,12100,Retribuciones complementarias de personal funcionario,74163.0,74163.0,63559.16
151102,1722,16000,Seguridad social a cargo del ayuntamiento,23871.0,23871.0,24116.07
151102,1722,16500,Cuotas Elkarkidetza a cargo ayuntamiento,1468.0,1468.0,1463.7
151103,1621,22700,Contrato servicio de limpieza-recogida y transporte residuos,7974694.41,8173993.45,8174993.44
151103,1621,22703,Contrato recogida neumática,1840000.0,1840000.0,1832645.84
151103,1621,22715,Recogidas selectivas de residuos,310000.0,310000.0,214080.1
151103,1621,22724,Contrato explotación de Garbigunes,377396.17,377396.17,377396.16
151103,1622,21204,Mantenimiento de las instalaciones del vertedero,10000.0,10000.0,60714.76
151103,1622,22723,Contrato explotación del vertedero,1008507.5,1008507.5,1008507.48
151103,1623,22702,Contrato explotación planta RSU Jundiz,7930000.0,7930000.0,7929489.84
151103,1631,22700,Contrato del servicio de limpieza-limpieza viaria,14844604.32,15215545.74,15215545.74
151103,1691,12000,Retribuciones básicas de personal funcionario,138184.0,138184.0,137270.96
151103,1691,12100,Retribuciones complementarias de personal funcionario,185757.0,185757.0,186769.12
151103,1691,13000,Retribuciones personal laboral fijo,51633.0,51633.0,49657.38
151103,1691,14100,Otro personal,2264.0,2264.0,0.0
151103,1691,16000,Seguridad social a cargo del ayuntamiento,102856.0,102856.0,102909.66
151103,1691,16500,Cuotas Elkarkidetza a cargo ayuntamiento,5688.0,5688.0,5957.22
1514,1701,12000,Retribuciones básicas de personal funcionario,197691.0,197691.0,175290.93
1514,1701,12100,Retribuciones complementarias de personal funcionario,264017.0,264017.0,221773.45
1514,1701,14100,Otro personal,213521.0,213521.0,165942.35
1514,1701,16000,Seguridad social a cargo del ayuntamiento,189836.0,189836.0,147520.88
1514,1701,16500,Cuotas Elkarkidetza a cargo ayuntamiento,9988.0,9988.0,7969.56
152002,1512,21106,Estudio oficina de turismo goia,0.0,0.0,0.0
152002,1534,12000,Retribuciones básicas de personal funcionario,1011064.0,1011064.0,1024615.39
152002,1534,12100,Retribuciones complementarias de personal funcionario,1520392.0,1520392.0,1430442.63
152002,1534,14100,Otro personal,298650.0,298650.0,678497.47
152002,1534,16000,Seguridad social a cargo del ayuntamiento,860145.0,860145.0,979210.11
152002,1534,16500,Cuotas Elkarkidetza a cargo ayuntamiento,43369.0,43369.0,46472.44
152002,1534,20200,Arrendamiento de maquinaria e instalaciones,48000.0,33000.0,26301.42
152002,1534,21008,BAI juegos infantiles,170000.0,170000.0,162186.65
152002,1534,21060,Conservación de vías publicas y firmes,825000.0,825000.0,782037.73
152002,1534,21701,Conservación mobiliario urbano,70000.0,70000.0,25109.51
152002,1534,21703,Contrato mantenimiento de rampas,100877.0,61877.0,61553.59
152002,1534,22111,Menaje,28000.0,28000.0,23418.5
152002,1534,22722,Contratos mantenimiento w.c. públicos,55000.0,55000.0,48281.06
152002,1641,22111,Menaje,10000.0,10000.0,7553.19
152002,1641,22140,Gastos específicos cementerios,80000.0,80000.0,71461.7
152002,1641,22715,Recogidas selectivas de residuos,12000.0,12000.0,8974.21
152002,1651,21006,Brigadas acción inmediata para alumbrado,416000.0,344000.0,374812.87
152002,1651,22101,Suministro energía eléctrica Espacio público y medio natural,3990000.0,3800000.0,4007471.37
152002,1651,22130,Conservación general del alumbrado público,370000.0,518000.0,527099.38
152007,1711,12000,Retribuciones básicas de personal funcionario,829735.0,829735.0,834993.2
152007,1711,12100,Retribuciones complementarias de personal funcionario,1176920.0,1176920.0,1164570.69
152007,1711,14100,Otro personal,499930.0,499930.0,415793.04
152007,1711,16000,Seguridad social a cargo del ayuntamiento,835365.0,835365.0,797679.86
152007,1711,16500,Cuotas Elkarkidetza a cargo ayuntamiento,39492.0,39492.0,37562.78
152007,1711,20200,Arrendamiento de maquinaria e instalaciones,100000.0,220000.0,198894.1
152007,1711,21040,Mantenimiento de transmisores,3000.0,3000.0,854.13
152007,1711,21071,Conservación municipal de zonas verdes públicas,260000.0,260000.0,182919.28
152007,1711,21072,Conservación de jardineras,10000.0,10000.0,2970.55
152007,1711,21073,Conservación arboreto,18568.16,18568.16,1279.94
152007,1711,21074,Trabajos de conservación anillo verde exterior,325000.0,325000.0,335587.16
152007,1711,21075,Mantenimiento parques estacional,0.0,0.0,0.0
152007,1711,21200,Mantenimiento maquinaria e instalaciones,60000.0,60000.0,38000.43
152007,1711,22111,Menaje,45000.0,45000.0,40884.4
152007,1711,22711,Conservación zonas verdes,3601896.68,3301696.68,2906146.4
152007,1711,22712,Conservación fachada Europa,30000.0,30000.0,7063.16
152009,1711,12000,Retribuciones básicas de personal funcionario,25778.0,25778.0,25839.88
152009,1711,12100,Retribuciones complementarias de personal funcionario,36113.0,36113.0,36118.87
152009,1711,13000,Retribuciones personal laboral fijo,84684.0,84684.0,68047.68
152009,1711,14100,Otro personal,53164.0,53164.0,72241.88
152009,1711,16000,Seguridad social a cargo del ayuntamiento,54939.0,54939.0,57089.53
152009,1711,16500,Cuotas Elkarkidetza a cargo ayuntamiento,3865.0,3865.0,3854.06
1620,3422,22148,Contrato mantenimiento piscinas,1246619.21,1191619.21,1185958.5
1620,9212,21100,Conservación edificios municipales,1242600.53,1157600.53,1185520.17
1620,9212,21207,Mantenimiento y reparación de equipos,70000.0,90000.0,87809.51
1620,9212,22109,Productos de limpieza y aseo,300000.0,300000.0,316514.92
1620,9212,22111,Menaje,30000.0,30000.0,45074.5
1620,9212,22147,Contratos de baja tensión,10000.0,10000.0,20227.15
1620,9212,22722,Contratos mantenimiento w.c. públicos,30000.0,30000.0,28004.88
1620,9212,22734,Contratos prestación servicios Iradier Arena-fiestas,30000.0,0.0,0.0
1620,9213,22101,Energía eléctrica en edificios municipales,4075000.0,4275000.0,4193375.67
1620,9214,22146,Contrato contenedores higiénicos,15000.0,15000.0,13001.11
1620,9214,22783,Contratos Unidad de limpieza,4489682.0,4371514.89,4292957.53
1620,9215,21200,Mantenimiento maquinaria e instalaciones,1451000.0,1451000.0,1490356.83
1620,9215,22103,Contrato para la eficiencia energética,4548496.7,4063496.7,3961740.11
1620,9215,22149,Gas resto edificios municipales,90000.0,90000.0,105547.31
1620,9219,12000,Retribuciones básicas de personal funcionario,89603.0,89603.0,93243.45
1620,9219,12100,Retribuciones complementarias de personal funcionario,111773.0,111773.0,115966.86
1620,9219,14100,Otro personal,63978.0,63978.0,61213.03
1620,9219,16000,Seguridad social a cargo del ayuntamiento,77670.0,77670.0,78513.51
1620,9219,16500,Cuotas Elkarkidetza a cargo ayuntamiento,1160.0,1160.0,2175.6
1630,9219,12000,Retribuciones básicas de personal funcionario,1722801.0,1722801.0,1664260.47
1630,9219,12100,Retribuciones complementarias de personal funcionario,2192017.0,2192017.0,2180225.73
1630,9219,13000,Retribuciones personal laboral fijo,46726.0,46726.0,43947.2
1630,9219,14100,Otro personal,4048535.0,4562717.0,4429233.41
1630,9219,16000,Seguridad social a cargo del ayuntamiento,2703778.0,2869596.0,2810884.49
1630,9219,16500,Cuotas Elkarkidetza a cargo ayuntamiento,125069.0,125069.0,132095.26
1641,9219,12000,Retribuciones básicas de personal funcionario,55318.0,55318.0,55452.85
1641,9219,12100,Retribuciones complementarias de personal funcionario,64113.0,64113.0,64424.86
1641,9219,14100,Otro personal,70661.0,70661.0,83149.24
1641,9219,16000,Seguridad social a cargo del ayuntamiento,57903.0,57903.0,61591.58
1641,9219,16500,Cuotas Elkarkidetza a cargo ayuntamiento,1199.0,1199.0,1451.29
1642,9219,12000,Retribuciones básicas de personal funcionario,59766.0,59766.0,55251.52
1642,9219,12100,Retribuciones complementarias de personal funcionario,74367.0,74367.0,65923.18
1642,9219,16000,Seguridad social a cargo del ayuntamiento,36917.0,36917.0,47574.01
1642,9219,16500,Cuotas Elkarkidetza a cargo ayuntamiento,1199.0,1199.0,1195.18
1643,9219,12000,Retribuciones básicas de personal funcionario,22355.0,22355.0,22202.54
1643,9219,12100,Retribuciones complementarias de personal funcionario,31338.0,31338.0,31403.3
1643,9219,16000,Seguridad social a cargo del ayuntamiento,11410.0,11410.0,11636.16
1644,9219,12000,Retribuciones básicas de personal funcionario,905763.0,905763.0,886576.68
1644,9219,12100,Retribuciones complementarias de personal funcionario,1235507.0,1235507.0,1222420.39
1644,9219,13000,Retribuciones personal laboral fijo,112539.0,112539.0,103892.43
1644,9219,14100,Otro personal,309907.0,309907.0,316617.11
1644,9219,16000,Seguridad social a cargo del ayuntamiento,873146.0,873146.0,867023.77
1644,9219,16500,Cuotas Elkarkidetza a cargo ayuntamiento,38513.0,38513.0,44765.07
1810,3401,11000,Retribuciones personal eventual gabinete,78191.0,78191.0,78327.66
1810,3401,16000,Seguridad social a cargo del ayuntamiento,11119.0,11119.0,11343.74
1810,3401,16500,Cuotas Elkarkidetza a cargo ayuntamiento,1468.0,1468.0,1463.7
1814,9251,22201,"Sistema información ciudadana ""010""",0.0,0.0,0.0
1815,3401,12000,Retribuciones básicas de personal funcionario,86504.0,86504.0,84664.33
1815,3401,12100,Retribuciones complementarias de personal funcionario,106082.0,106082.0,101431.63
1815,3401,14100,Otro personal,268181.0,268181.0,282203.15
1815,3401,16000,Seguridad social a cargo del ayuntamiento,132722.0,132722.0,137043.21
1815,3401,16500,Cuotas Elkarkidetza a cargo ayuntamiento,7481.0,7481.0,7353.2
1816,9208,12000,Retribuciones básicas de personal funcionario,1647058.0,1647058.0,1644936.04
1816,9208,12100,Retribuciones complementarias de personal funcionario,2261808.0,2261808.0,2271763.23
1816,9208,14100,Otro personal,1651307.0,1651307.0,2119395.74
1816,9208,16000,Seguridad social a cargo del ayuntamiento,1685514.0,1685514.0,1845751.84
1816,9208,16500,Cuotas Elkarkidetza a cargo ayuntamiento,60223.0,60223.0,70772.41
