#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2020ko Hasierako kreditua,g,h
0340,1361,21900,,Ekipoak berritzea eta erostea,75000.0,75000.0,4421.68
0340,1361,22105,,Jantziak eta uniformeak,90000.0,90000.0,9860.47
0340,1361,22111,,Tresna eta lanabesak ,40000.0,40000.0,4536.23
0340,1361,22199,,Bestelako hornikuntzak,30000.0,30000.0,5519.52
0340,1361,22699,,Bestelako hainbat gastu,10000.0,10000.0,519.36
0340,1361,62400,,Ibilgailuak,63693.96,63693.96,0.0
0340,1361,62400,A,Ibilgailuak,0.0,50079.0,0.0
0340,1361,62400,R,Ibilgailuak,0.0,116535.58,0.0
0340,1361,62401,A,Altuerako ibilgailua —autoeskailera— erostea,0.0,700000.0,0.0
0340,1361,62901,,Tresneria erostea,5000.0,5000.0,0.0
0350,1321,12000,,Funtzionarioen oinarrizko ordainsariak,5810882.0,5810882.0,1026623.64
0350,1321,12100,,Funtzionarioen ordainsari osagarriak,12762973.0,12762973.0,3041771.32
0350,1321,14100,,Bestelako langileak,9915.0,9915.0,8231.98
0350,1321,16000,,"Gizarte Segurantza, enpresaren kontura",1783839.0,1504443.39,1639390.01
0350,1321,16500,,"Elkarkidetzako kuotak, Udalaren kontura",5054675.0,5334070.61,63578.15
0350,1321,20501,,TETRA irratikomunikazio sistemaren rentinga,9000.0,9000.0,1426.84
0350,1321,21001,,Andre Maria Zuriaren jaietako segurtasuna,2997.0,2997.0,0.0
0350,1321,21300,,Ibilgailuak konpontzea,75000.0,75000.0,4192.7
0350,1321,21900,,Ekipoak berritzea eta erostea,86936.0,86936.0,3767.0
0350,1321,21900,R,Ekipoak berritzea eta erostea,0.0,12586.76,0.0
0350,1321,21905,,Segurtasun scannerra eta USPa onik zaintzea,7500.0,7500.0,0.0
0350,1321,22105,,Jantziak eta uniformeak,250000.0,250000.0,800.17
0350,1321,22105,R,Jantziak eta uniformeak,0.0,59440.0,0.0
0350,1321,22111,,Tresna eta lanabesak ,30000.0,30000.0,5979.7
0350,1321,22199,,Bestelako hornikuntzak,15000.0,15000.0,1081.88
0350,1321,22699,,Bestelako hainbat gastu,25000.0,25000.0,1000.0
0350,1321,62400,,Ibilgailuak,100000.0,100000.0,0.0
0350,1321,62400,R,Ibilgailuak,0.0,26232.8,0.0
0350,1321,62501,,Altzariak,3000.0,3000.0,0.0
0350,1321,62901,,Tresneria erostea,12000.0,12000.0,0.0
0350,1321,62901,R,Tresneria erostea,0.0,10666.15,0.0
0410,0111,32201,,Epe laburreko maileguen interesak,75000.0,75000.0,0.0
0410,0111,33201,,Epe luzeko maileguen interesak,550000.0,549300.0,47338.23
0410,0111,50000,,,828303.68,828303.68,0.0
0410,0111,93300,,Epe luzeko maileguen amortizazioa,10950550.0,10950550.0,1902717.79
0410,1513,73102,,Ingurugiro Gaietarako Ikastegiari,45000.0,45000.0,0.0
0410,1513,73310,,21. Zabalguneari: urrezko auzoetako inbertsioak,1500000.0,1500000.0,0.0
0410,1722,43102,,Ingurugiro Gaietarako Ikastegiari,2790939.79,2790939.79,600000.0
0410,2381,22675,,Genero-ikuspegi aurrekontua - Aholkularitza teknikoa,20000.0,20000.0,0.0
0410,2411,20301,,GEPO - Ibilgailuen rentinga,42350.0,42350.0,5367.26
0410,4411,43300,,"Ekarpena, TUVISAri",14500000.0,14500000.0,7250000.0
0410,4411,73300,,TUVISAri,1100000.0,1100000.0,0.0
0410,9204,62629,,"Sistema informatikoa, udal inbentarioa",200000.0,200000.0,0.0
0410,9205,20301,,Ibilgailuen rentinga,410000.0,410000.0,60951.09
0410,9205,21300,,Ibilgailuak konpontzea,185000.0,185000.0,22093.53
0410,9205,22104,,Erregaiak,300000.0,300000.0,24595.09
0410,9205,22404,,Ibilgailuen aseguruak,138000.0,138000.0,574.88
0410,9205,62400,,Ibilgailuak,140000.0,140000.0,18000.0
0410,9205,62400,R,Ibilgailuak,0.0,34170.24,0.0
0410,9206,21400,,Altzariak konpontzea,4000.0,4000.0,440.44
0410,9206,21500,,Ekipoak mantentzeko kontratuak,200000.0,200000.0,21735.99
0410,9206,22001,,"Ohikoa, inbentariatu ezina",200000.0,200000.0,32003.22
0410,9206,62501,,Altzariak,15000.0,15000.0,8456.7
0410,9206,62505,,Udal sailetako hainbat erosketa,15000.0,15000.0,0.0
0410,9207,20100,,Lokal eta eraikinak alokatzea,3431000.0,3431000.0,869216.97
0410,9207,22110,,Kopiagintza-gastuak,60000.0,60000.0,5845.01
0410,9207,22402,,Erantzukizun zibileko aseguruak,336000.0,336000.0,157565.14
0410,9207,22407,,Bizitza- eta istripu-asegurua,40000.0,40000.0,0.0
0410,9207,22600,,Ondasunen erregistro-gastuak,25000.0,25000.0,1129.47
0410,9207,22732,,Zerbitzuak emateko kontratuak,90000.0,90000.0,6816.92
0410,9207,22783,,La Florida parkeko komun publikoak mantentzeko kontratua,0.0,30000.0,4775.44
0410,9207,62900,,Ezbeharrengatiko berritzeak,1.0,12101.0,5324.24
0410,9211,62298,,"Inbertsioak, San Martin",125000.0,125000.0,0.0
0410,9213,22102,,Ur-hornidura eta hondar-urak araztea,1700000.0,1700000.0,0.0
0410,9213,22103,,Ur hornikuntza zatikatzea - AMVISArekin hitzarmena,1593757.31,1593757.31,0.0
0410,9271,41800,,EUDELi,258925.04,258925.04,0.0
0410,9311,22499,,Ondarearen gaineko erantzukizunarengatiko kalte-ordaina,150000.0,150000.0,15680.28
0410,9312,50001,,Kreditu Globala,208393.66,208393.66,0.0
0410,9319,12000,,Funtzionarioen oinarrizko ordainsariak,53042.0,53042.0,10082.87
0410,9319,12100,,Funtzionarioen ordainsari osagarriak,92125.0,92125.0,25123.71
0410,9319,14100,,Bestelako langileak,1057.0,1057.0,0.0
0410,9319,16000,,"Gizarte Segurantza, enpresaren kontura",29777.0,28226.15,6885.37
0410,9319,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,1550.85,592.23
0410,9321,22776,,Isunen Ataleko zerbitzuak,180500.0,180500.0,15041.66
0410,9331,22401,,Udal eraikin eta lokalen aseguruak,385000.0,385000.0,144475.04
0410,9331,22601,,Auzo-komunitateetako gastuak,506000.0,506000.0,76856.06
0410,9331,22631,,AIREF tasa,3300.0,3300.0,4982.61
0410,9331,22663,,Elorriagako ustiapenak bertan behera geratzea konpentsatzea,52300.0,52300.0,0.0
0410,9331,22760,,Erloju publikoak mantentzea,20000.0,20000.0,3184.0
0410,9331,64900,,Industria jabegoa,1000.0,1000.0,0.0
0410,9341,36100,,"Interesak, zor ez ziren sarrerak itzultzean",100000.0,100000.0,13662.59
0410,9341,36101,,Diru-sarrerei loturiko finantza-gastuak,130000.0,130000.0,49782.02
0410,9341,36102,,Berandutze interesak,368500.0,368500.0,62543.17
0410,9341,36900,,Bestelako finantza-gastuak,5000.0,5000.0,633.9
0411,9321,12000,,Funtzionarioen oinarrizko ordainsariak,73501.0,73501.0,13071.27
0411,9321,12100,,Funtzionarioen ordainsari osagarriak,97197.0,97197.0,23714.43
0411,9321,14100,,Bestelako langileak,9725.0,9725.0,0.0
0411,9321,16000,,"Gizarte Segurantza, enpresaren kontura",55330.0,50677.46,10644.87
0411,9321,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,4652.54,978.03
0412,9314,12000,,Funtzionarioen oinarrizko ordainsariak,27655.0,27655.0,17364.91
0412,9314,12100,,Funtzionarioen ordainsari osagarriak,42259.0,42259.0,36462.49
0412,9314,14100,,Bestelako langileak,0.0,0.0,14773.08
0412,9314,16000,,"Gizarte Segurantza, enpresaren kontura",12809.0,7002.5,16737.64
0412,9314,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,5806.5,1135.58
0414,9312,12000,,Funtzionarioen oinarrizko ordainsariak,99894.0,99894.0,19403.75
0414,9312,12100,,Funtzionarioen ordainsari osagarriak,128829.0,128829.0,34139.88
0414,9312,16000,,"Gizarte Segurantza, enpresaren kontura",56505.0,53403.31,13447.12
0414,9312,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,3101.69,326.01
0415,9323,12000,,Funtzionarioen oinarrizko ordainsariak,106395.0,106395.0,19089.08
0415,9323,12100,,Funtzionarioen ordainsari osagarriak,138432.0,138432.0,36639.81
0415,9323,16000,,"Gizarte Segurantza, enpresaren kontura",54734.0,52428.66,11883.78
0415,9323,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,2305.34,1445.71
0416,9341,12000,,Funtzionarioen oinarrizko ordainsariak,98422.0,98422.0,17081.44
0416,9341,12100,,Funtzionarioen ordainsari osagarriak,133769.0,133769.0,33391.93
0416,9341,16000,,"Gizarte Segurantza, enpresaren kontura",58759.0,52957.87,13131.96
0416,9341,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,5801.13,1196.43
0417,9322,12000,,Funtzionarioen oinarrizko ordainsariak,79211.0,79211.0,14344.62
0417,9322,12100,,Funtzionarioen ordainsari osagarriak,107714.0,107714.0,29357.78
0417,9322,14100,,Bestelako langileak,50838.0,50838.0,11051.4
0417,9322,16000,,"Gizarte Segurantza, enpresaren kontura",57374.0,54272.31,13073.39
0417,9322,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,3101.69,652.02
0418,9319,12000,,Funtzionarioen oinarrizko ordainsariak,935043.0,935043.0,159625.9
0418,9319,12100,,Funtzionarioen ordainsari osagarriak,1155822.0,1155822.0,290165.25
0418,9319,14100,,Bestelako langileak,327294.0,327294.0,74778.19
0418,9319,16000,,"Gizarte Segurantza, enpresaren kontura",717600.0,670801.04,168580.05
0418,9319,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,46798.96,10318.23
0421,9314,12000,,Funtzionarioen oinarrizko ordainsariak,103859.0,103859.0,0.0
0421,9314,12100,,Funtzionarioen ordainsari osagarriak,128317.0,128317.0,0.0
0421,9314,14100,,Bestelako langileak,8047.0,8047.0,0.0
0421,9314,16000,,"Gizarte Segurantza, enpresaren kontura",62594.0,56342.68,0.0
0421,9314,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,6251.32,0.0
0810,4301,11000,,Retribuciones personal eventual gabinete,6710.0,6710.0,18147.18
0810,4301,12000,,Funtzionarioen oinarrizko ordainsariak,43302.0,43302.0,17776.24
0810,4301,12100,,Funtzionarioen ordainsari osagarriak,62882.0,62882.0,25603.81
0810,4301,14100,,Bestelako langileak,32990.0,32990.0,0.0
0810,4301,16000,,"Gizarte Segurantza, enpresaren kontura",36652.0,35101.15,16734.57
0810,4301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,1550.85,652.02
0810,4331,22712,,Film Office bultzatzea,20000.0,20000.0,0.0
0810,4331,22797,,Toki garapenerako bulegoa: Dinamizazio Ekonomikoa,590000.0,560000.0,21417.28
0810,4331,47104,,Toki garapenerako bulegoa: ekitaldiak erakartzeko laguntzak,70000.0,70000.0,0.0
0817,4334,85107,,Parke teknologikoaren kapital-zabalkuntza,52600.0,52600.0,0.0
0819,4301,12000,,Funtzionarioen oinarrizko ordainsariak,178748.0,178748.0,32609.21
0819,4301,12100,,Funtzionarioen ordainsari osagarriak,222883.0,222883.0,56144.49
0819,4301,14100,,Bestelako langileak,54693.0,54693.0,8508.26
0819,4301,16000,,"Gizarte Segurantza, enpresaren kontura",136027.0,126165.08,30786.23
0819,4301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,9861.92,2073.21
0820,4301,12000,,Funtzionarioen oinarrizko ordainsariak,146881.0,146881.0,27636.66
0820,4301,12100,,Funtzionarioen ordainsari osagarriak,160500.0,160500.0,40270.85
0820,4301,14100,,Bestelako langileak,57461.0,57461.0,10880.01
0820,4301,16000,,"Gizarte Segurantza, enpresaren kontura",106954.0,97316.59,23128.44
0820,4301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,9637.41,2282.07
0821,4221,22683,,Jundiz eko-industriala,30000.0,30000.0,0.0
0821,4221,22763,,Ekonomia zirkularra,37000.0,37000.0,734.47
0821,4221,22779,,Festval - Fila 2 babestea,32500.0,32500.0,0.0
0821,4221,43104,,"Transferentzia, CEAri. Industrialdeko mugikortasun-plana",0.0,30000.0,0.0
0821,4221,62952,,Industrialdeak mantentzea,100000.0,100000.0,0.0
0821,4331,12000,,Funtzionarioen oinarrizko ordainsariak,214029.0,214029.0,37157.55
0821,4331,12100,,Funtzionarioen ordainsari osagarriak,235691.0,235691.0,55267.32
0821,4331,14100,,Bestelako langileak,53679.0,53679.0,11020.07
0821,4331,16000,,"Gizarte Segurantza, enpresaren kontura",153496.0,144634.02,32588.5
0821,4331,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,8861.98,1738.72
0821,4331,22677,,Ekintzaileentzako laguntza,63000.0,63000.0,1362.83
0821,4331,22677,R,Ekintzaileentzako laguntza,0.0,13162.38,0.0
0821,4331,22712,,Enpresa-mintegien kudeaketa,19500.0,19500.0,1217.12
0821,4331,22713,,Interreg Phydsudoe2,1.0,1.0,0.0
0821,4331,22769,,Laguntza berezien zerbitzua,190000.0,190000.0,0.0
0821,4331,22770,,F2pcampus Katoid Techno babestea ,25000.0,25000.0,0.0
0821,4331,41900,,Ekintzailetzari laguntzeko EHU-rekiko hitzarmena,5000.0,5000.0,0.0
0821,4331,47002,,Ekarpena BIC,100000.0,100000.0,0.0
0821,4331,47102,,Sorkuntzarekin lotutako industrientzako enplegu-laguntzak,100000.0,100000.0,0.0
0821,4331,47107,,Hitzarmena: AJEBASK- Prestakuntza eta mintegia,15000.0,15000.0,0.0
0821,4331,47131,,Hitzarmena: Euskal Irudigileak,13000.0,13000.0,0.0
0821,4331,47132,,Araba Garapen Agentzia hitzarmena,10000.0,10000.0,0.0
0821,4331,48175,,"Hitzarmena VIA-rekin, pasaiari-jarduera bultzatzeko",300000.0,300000.0,0.0
0821,4331,48180,,VIArentzako transferentziak,60000.0,60000.0,0.0
0821,4331,48905,,"Hitzarmena: Prestaturik, berrerabili",23000.0,23000.0,0.0
0821,4331,48943,,Enpresen Gizarte Erantzukizunari buruzko Foroa,4000.0,4000.0,0.0
0821,4331,48949,,Ekintzaileentzako bekak,85000.0,85000.0,0.0
0821,4331,48967,,Enpresak sortzeko eta sendotzeko laguntzak,126700.0,126700.0,0.0
0821,4331,48985,,Itun Berdea sariak,10000.0,10000.0,0.0
0821,4331,48986,,"Hitzarmena, Merkataritza Ganberarekin - enpresa txikiei laguntzea",32000.0,32000.0,0.0
0821,4331,48996,,Hitzarmena: Arco n1,9200.0,9200.0,0.0
0821,4331,60902,,Mintegiko inbertsioak - Basaldea proiektua,75000.0,75000.0,0.0
0821,4331,62601,,Mintegietako berrikuntza eta ekipamenduak,60000.0,60000.0,0.0
0821,4333,48172,,Hitzarmena: Santa Maria Katedrala fundazioa,32000.0,32000.0,0.0
0822,4312,61406,,Azoketako obrak ,45000.0,45000.0,0.0
0822,4314,12000,,Funtzionarioen oinarrizko ordainsariak,58196.0,58196.0,13392.43
0822,4314,12100,,Funtzionarioen ordainsari osagarriak,63002.0,63002.0,22732.84
0822,4314,14100,,Bestelako langileak,88351.0,88351.0,18791.1
0822,4314,16000,,"Gizarte Segurantza, enpresaren kontura",62186.0,60635.15,16364.29
0822,4314,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,1550.85,326.01
0822,4314,20200,,Makineria eta instalazioak alokatzea,94000.0,94000.0,387.2
0822,4314,22700,,Eguberrietako argiztapena,76000.0,76000.0,0.0
0822,4314,22765,,Tokiko merkataritzaren zabalkunde kanpaina ,25000.0,25000.0,0.0
0822,4314,22771,,“Urban Commerce” jardunaldia,25000.0,25000.0,0.0
0822,4314,22773,,Azokak,40000.0,40000.0,3833.32
0822,4314,22798,,Merkataritza dinamizatzea,86000.0,86000.0,0.0
0822,4314,22799,,Vitoria-Gasteiz Veg Friendly,10000.0,10000.0,0.0
0822,4314,42301,,"Arabako Merkataritza Ganberarekiko hitzarmena, erakusleihoak",8000.0,8000.0,0.0
0822,4314,48904,,Convenio City Wine,20000.0,20000.0,0.0
0822,4314,48926,,Hitzarmena: Gasteiz On elkartea,250800.0,250800.0,0.0
0822,4314,48963,,Hitzarmena: Erdi Aroko hiriguneko Merkatarien Elkartea,98000.0,98000.0,0.0
0822,4314,48964,,Denda txikientzako laguntzak,332000.0,332000.0,0.0
0822,4314,48965,,Hitzarmena: Merkataritza Enpresaburuen Elkartea,45100.0,45100.0,0.0
0822,4314,48966,,Hitzarmena: Gorbeia kaleko Merkatarien Elkartea,16000.0,16000.0,0.0
0823,2381,22279,,GPS: Orientabide profesionala berdintasunean,20000.0,20000.0,0.0
0823,2411,12000,,Funtzionarioen oinarrizko ordainsariak,493764.0,493764.0,87768.29
0823,2411,12100,,Funtzionarioen ordainsari osagarriak,590310.0,590310.0,154004.23
0823,2411,13000,,Lan-kontratudun langile finkoen ordainsariak,0.0,0.0,953754.54
0823,2411,14100,,Bestelako langileak,45606.0,45606.0,13592.08
0823,2411,16000,,"Gizarte Segurantza, enpresaren kontura",342926.0,322318.06,468271.29
0823,2411,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,20607.94,4453.1
0823,2411,20100,,Lokal eta eraikinak alokatzea,116500.0,116500.0,18404.1
0823,2411,22774,,"Gazteentzako enplegu plana 2020, Udalaren Ekarpena (2.KAP)",188008.0,171008.0,3212.83
0823,2411,22781,,"Gazteentzako enplegu plana 2020, Udalaren Ekarpena (1.KAP)",384105.56,384105.56,0.0
0823,2411,22785,,Eskualdeko plan - Lanbideren ekarpena,2450517.47,2450517.47,0.0
0823,2411,22790,,"Gazteentzako enplegu plana 2020, Lanbideren ekarpena",1119235.0,1119235.0,0.0
0823,2411,22791,,Lehentasunezko kolektiboen enplegua bultzatzea,57600.0,57600.0,13922.95
0823,2411,22791,R,Lehentasunezko kolektiboen enplegua bultzatzea,0.0,3491.39,0.0
0823,2411,22793,,Orientazio- eta enplegu-ekintzak,30000.0,30000.0,3056.5
0823,2411,22793,R,Orientazio- eta enplegu-ekintzak,0.0,2250.0,0.0
0823,2411,22795,,Prestakuntza,595000.0,585000.0,50980.48
0823,2411,22795,R,Prestakuntza,0.0,6417.23,0.0
0823,2411,22797,,Gasteiz enplegu plana,115000.0,115000.0,15022.74
0823,2411,47128,,"Hitzarmena: SEA, enplegua",72400.0,72400.0,0.0
0823,2411,48015,,Eskualdeko plan - Lanbideren ekarpena,1446678.29,1446678.29,0.0
0823,2411,48015,R,Eskualdeko plan - Lanbideren ekarpena,0.0,1446678.29,0.0
0823,2411,48020,,Eskualdeko plana - Udalaren ekarpena kontrataziorako,50000.0,50000.0,0.0
0823,2411,48020,R,Eskualdeko plana - Udalaren ekarpena kontrataziorako,0.0,5321.71,0.0
0823,2411,48171,,Hitzarmena: Secretariado Gitano fundazioa,42000.0,42000.0,0.0
0823,2411,48966,,Hitzarmena: Saregune proiektua,60000.0,60000.0,0.0
0823,2411,48967,,Kontratatzeko laguntzak - enplegu-egonkortasuna,400000.0,400000.0,0.0
0823,2411,62299,,Enplegu eta prestakuntza instalazioak,20000.0,20000.0,0.0
0823,2411,62519,,Prestakuntza ekipoak erostea,20000.0,20000.0,3680.82
0823,2411,62600,,Enplegu eta prestakuntza instalazioetarako informatika ekipoak erostea,20000.0,20000.0,4975.62
0823,4331,48043,,Arabako Ganberarekiko hitzarmena: salmenta-eskola,0.0,10000.0,0.0
0823,4331,48994,,"Hitzarmena: ADSIS, Cáritas, Egibide - Hazia proiektua",100000.0,100000.0,0.0
0824,4321,12000,,Funtzionarioen oinarrizko ordainsariak,140697.0,140697.0,29490.56
0824,4321,12100,,Funtzionarioen ordainsari osagarriak,190496.0,190496.0,52229.06
0824,4321,14100,,Bestelako langileak,133964.0,133964.0,12919.29
0824,4321,16000,,"Gizarte Segurantza, enpresaren kontura",137573.0,128653.83,29437.38
0824,4321,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,8919.17,1974.37
0824,4321,22776,,"Kudeaketa: Europa jauregia, Goiuri eta Turismoa",500000.0,500000.0,60292.91
0824,4321,22776,R,"Kudeaketa: Europa jauregia, Goiuri eta Turismoa",0.0,10869.33,0.0
0824,4321,62513,,Jauregi eta biltzarretako altzariak,25000.0,25000.0,4038.98
0824,4321,62609,,Europa eta Goiuri jauregietako ekipo teknikoak,20000.0,20000.0,1606.88
0824,4321,62609,R,Equipos técnicos palacio Europa y Villasuso,0.0,14521.88,0.0
0825,4221,22779,R,Industriari eta enpresei laguntzea,0.0,3997.84,0.0
0825,4221,62952,R,Industrialdeak mantentzea,0.0,273766.01,0.0
0826,3411,22603,,"Publizitate babesa, Saski Baskonia SADri",157300.0,157300.0,0.0
0826,3411,22611,,Gasteizko triatloia babestea,100000.0,100000.0,0.0
0826,4321,12000,,Funtzionarioen oinarrizko ordainsariak,5403.0,5403.0,0.0
0826,4321,12100,,Funtzionarioen ordainsari osagarriak,7987.0,7987.0,0.0
0826,4321,16000,,"Gizarte Segurantza, enpresaren kontura",3471.0,3471.0,0.0
0826,4321,22733,,Sektoreko lehiakortasun-ekintzak,5000.0,5000.0,0.0
0826,4321,22772,,Arabako pintxoaren astea babestea,12000.0,12000.0,0.0
0826,4321,22774,,Miniature-pintxos Congress babestea,15000.0,15000.0,0.0
0826,4321,22777,,Turismoa dinamizatzea,195000.0,195000.0,7982.78
0826,4321,22778,,Turismo gertaldi bereziak,5000.0,5000.0,1210.0
0826,4321,22779,,Hiriaren turismo sustapena,166800.0,166800.0,3213.23
0826,4321,22779,R,Hiriaren turismo sustapena,0.0,11193.57,0.0
0826,4321,22780,,Turismo Bulegoaren merchandising-gastuak,30300.0,30300.0,0.0
0910,2210,22734,,Gizarte Segurantzaren erregularizazioa,200000.0,200000.0,0.0
0910,2381,22760,,Genero-berdintasunerako ekintzak,15375.0,15375.0,0.0
0910,9202,12000,,Funtzionarioen oinarrizko ordainsariak,169551.0,169551.0,27338.5
0910,9202,12100,,Funtzionarioen ordainsari osagarriak,229757.0,229757.0,53530.85
0910,9202,12104,,Berariazko osagarria funtzionalen analisia,100000.0,100000.0,0.0
0910,9202,14100,,Bestelako langileak,13815.0,13815.0,0.0
0910,9202,16000,,"Gizarte Segurantza, enpresaren kontura",100778.0,93356.09,19875.78
0910,9202,16007,,Funtzionarioen berariazko osagarrirako ekarpena,276723.0,276723.0,0.0
0910,9202,16102,,Aldez aurreko erretiroen kalte-ordainak,2150232.0,2150232.0,2975633.92
0910,9202,16104,,Epaiaren ondoriozko ordainsariak,15000.0,15000.0,10849.18
0910,9202,16204,,Bizi-asegurua - Auto-asegurua,125000.0,125000.0,48600.0
0910,9202,16205,,Bizi-asegurua - langileen istripuak,950000.0,950000.0,0.0
0910,9202,16206,,Aseguru korporatiboak,11500.0,11500.0,0.0
0910,9202,16220,,Kalte-ordainak,1500.0,1500.0,585.25
0910,9202,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,7421.91,1304.04
0910,9202,22001,,"Ohikoa, inbentariatu ezina",2505.5,2505.5,0.0
0910,9202,22105,,Jantziak eta uniformeak,86000.0,86000.0,0.0
0910,9202,22105,A,Jantziak eta uniformeak,0.0,20433.27,0.0
0910,9202,22633,,Pobrezia energetikoa - prestakuntza,20000.0,20000.0,0.0
0910,9202,22638,,Udal langileen prestakuntza-plana,120000.0,120000.0,60126.94
0910,9202,22740,,SUMAS Biltzarra,1.0,1.0,0.0
0910,9202,22745,,Laneko arriskuen prebentziorako programa estrategikoa,20000.0,20000.0,2173.89
0910,9202,22759,,Etengabeko hobekuntzarako plan estrategikoa,11222.0,11222.0,1600.0
0910,9202,22764,,Antolakuntza-azterlanak,1.0,1.0,0.0
0910,9202,23000,,Dietak,50071.6,50071.6,6563.66
0910,9202,23001,,Lokomozio-gastuak,35875.0,35875.0,4925.51
0910,9202,23900,,Hautatze prozesuetako gastuak,90000.0,90000.0,294.95
0910,9202,48001,,"Diru-laguntza, Langile Batzordeari",15559.31,15559.31,0.0
0910,9202,48002,,Langileentzako ikasketa beka eta poltsak,24903.31,24903.31,0.0
0910,9203,62924,,"Ekipoak erostea, presentzia-informazioa",5000.0,5000.0,0.0
0911,9202,12000,,Funtzionarioen oinarrizko ordainsariak,266496.0,266496.0,41770.11
0911,9202,12100,,Funtzionarioen ordainsari osagarriak,334804.0,334804.0,77956.39
0911,9202,14100,,Bestelako langileak,177636.0,177636.0,42960.78
0911,9202,16000,,"Gizarte Segurantza, enpresaren kontura",233096.0,215677.2,59484.71
0911,9202,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,17418.8,3661.8
0912,9202,12000,,Funtzionarioen oinarrizko ordainsariak,145797.0,145797.0,23453.84
0912,9202,12100,,Funtzionarioen ordainsari osagarriak,189618.0,189618.0,41128.07
0912,9202,16000,,"Gizarte Segurantza, enpresaren kontura",81227.0,75008.65,15059.14
0912,9202,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,6218.35,1161.62
0915,9202,12000,,Funtzionarioen oinarrizko ordainsariak,43482.0,43482.0,10407.41
0915,9202,12100,,Funtzionarioen ordainsari osagarriak,59373.0,59373.0,20009.13
0915,9202,16000,,"Gizarte Segurantza, enpresaren kontura",23309.0,21758.15,7289.8
0915,9202,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,1550.85,652.02
0919,9203,12000,,Funtzionarioen oinarrizko ordainsariak,162223.0,162223.0,24651.27
0919,9203,12100,,Funtzionarioen ordainsari osagarriak,199866.0,199866.0,41759.87
0919,9203,16000,,"Gizarte Segurantza, enpresaren kontura",102023.0,94472.2,20072.28
0919,9203,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,7550.8,1657.11
0919,9203,22108,,Botikak eta hemoderibatuak,67118.11,67118.11,6604.86
0919,9203,22108,R,Botikak eta hemoderibatuak,0.0,4293.0,0.0
0919,9203,22141,,Zerbitzu medikoen tresneriaren berariazko mantenimendua,820.0,820.0,0.0
1010,9204,12000,,Funtzionarioen oinarrizko ordainsariak,56939.0,56939.0,9326.07
1010,9204,12100,,Funtzionarioen ordainsari osagarriak,114464.0,114464.0,25518.81
1010,9204,14100,,Bestelako langileak,3599.0,3599.0,0.0
1010,9204,16000,,"Gizarte Segurantza, enpresaren kontura",47218.0,44277.53,6294.39
1010,9204,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,2940.47,652.02
1010,9204,22730,,LOPD-ko prozesuak definitu eta ikuskatzea.,20000.0,20000.0,0.0
1010,9204,22732,,Zerbitzuak emateko kontratuak,10000.0,10000.0,0.0
1010,9221,22690,,Hauteskunde gastuak,0.0,60000.0,910.7
1011,9204,12000,,Funtzionarioen oinarrizko ordainsariak,491283.0,491283.0,88469.87
1011,9204,12100,,Funtzionarioen ordainsari osagarriak,573965.0,573965.0,146495.86
1011,9204,14100,,Bestelako langileak,92341.0,92341.0,23391.64
1011,9204,16000,,"Gizarte Segurantza, enpresaren kontura",331718.0,310955.18,80173.93
1011,9204,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,20762.82,5156.37
1011,9204,21501,,Informatika-aplikazioak mantentzea,440000.0,440000.0,209219.36
1011,9204,22720,,Aplikatiboak onik zaintzeko euskarria,1400000.0,1400000.0,44620.75
1011,9204,22724,,Iruzur fiskalaren kontrako planeko softwarea mantentzea,1.0,1.0,0.0
1011,9204,62623,,e-administrazioa plan zuzentzailea,250000.0,250000.0,0.0
1011,9204,62624,,Iruzur fiskalaren kontrako plana,200000.0,200000.0,0.0
1011,9204,62624,R,Iruzur fiskalaren kontrako plana,0.0,20469.64,0.0
1011,9204,62625,,Diru-laguntzen kudeaketa zentralizatua,100000.0,100000.0,0.0
1011,9204,62625,R,Diru-laguntzen kudeaketa zentralizatua,0.0,10000.0,0.0
