#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2020ko Hasierako kreditua
0822,4314,20200,,Makineria eta instalazioak alokatzea,94000.0
0822,4314,22700,,Eguberrietako argiztapena,76000.0
0822,4314,22765,,Tokiko merkataritzaren zabalkunde kanpaina ,25000.0
0822,4314,22771,,“Urban Commerce” jardunaldia,25000.0
0822,4314,22773,,Azokak,40000.0
0822,4314,22798,,Merkataritza dinamizatzea,86000.0
0822,4314,22799,,Vitoria-Gasteiz Veg Friendly,10000.0
0822,4314,42301,,"Arabako Merkataritza Ganberarekiko hitzarmena, erakusleihoak",8000.0
0822,4314,48904,,Convenio City Wine,20000.0
0822,4314,48926,,Hitzarmena: Gasteiz On elkartea,250800.0
0822,4314,48963,,Hitzarmena: Erdi Aroko hiriguneko Merkatarien Elkartea,98000.0
0822,4314,48964,,Denda txikientzako laguntzak,332000.0
0822,4314,48965,,Hitzarmena: Merkataritza Enpresaburuen Elkartea,45100.0
0822,4314,48966,,Hitzarmena: Gorbeia kaleko Merkatarien Elkartea,16000.0
0823,2381,22279,,GPS: Orientabide profesionala berdintasunean,20000.0
0823,2411,12000,,Funtzionarioen oinarrizko ordainsariak,493764.0
0823,2411,12100,,Funtzionarioen ordainsari osagarriak,590310.0
0823,2411,14100,,Bestelako langileak,45606.0
0823,2411,16000,,"Gizarte Segurantza, enpresaren kontura",342926.0
0823,2411,20100,,Lokal eta eraikinak alokatzea,116500.0
0823,2411,22774,,"Gazteentzako enplegu plana 2020, Udalaren Ekarpena (2.KAP)",188008.0
0823,2411,22781,,"Gazteentzako enplegu plana 2020, Udalaren Ekarpena (1.KAP)",384105.56
0823,2411,22785,,Eskualdeko plan - Lanbideren ekarpena,2450517.47
0823,2411,22790,,"Gazteentzako enplegu plana 2020, Lanbideren ekarpena",1119235.0
0823,2411,22791,,Lehentasunezko kolektiboen enplegua bultzatzea,57600.0
0823,2411,22793,,Orientazio- eta enplegu-ekintzak,30000.0
0823,2411,22795,,Prestakuntza,595000.0
0823,2411,22797,,Gasteiz enplegu plana,115000.0
0823,2411,47128,,"Hitzarmena: SEA, enplegua",72400.0
0823,2411,48015,,Eskualdeko plan - Lanbideren ekarpena,1446678.29
0823,2411,48020,,Eskualdeko plana - Udalaren ekarpena kontrataziorako,50000.0
0823,2411,48171,,Hitzarmena: Secretariado Gitano fundazioa,42000.0
0823,2411,48966,,Hitzarmena: Saregune proiektua,60000.0
0823,2411,48967,,Kontratatzeko laguntzak - enplegu-egonkortasuna,400000.0
0823,2411,62299,,Enplegu eta prestakuntza instalazioak,20000.0
0823,2411,62519,,Prestakuntza ekipoak erostea,20000.0
0823,2411,62600,,Enplegu eta prestakuntza instalazioetarako informatika ekipoak erostea,20000.0
0823,4331,48994,,"Hitzarmena: ADSIS, Cáritas, Egibide - Hazia proiektua",100000.0
0824,4321,12000,,Funtzionarioen oinarrizko ordainsariak,140697.0
0824,4321,12100,,Funtzionarioen ordainsari osagarriak,190496.0
0824,4321,14100,,Bestelako langileak,133964.0
0824,4321,16000,,"Gizarte Segurantza, enpresaren kontura",137573.0
0824,4321,22776,,"Kudeaketa: Europa jauregia, Goiuri eta Turismoa",500000.0
0824,4321,62513,,Jauregi eta biltzarretako altzariak,25000.0
0824,4321,62609,,Europa eta Goiuri jauregietako ekipo teknikoak,20000.0
0826,3411,22603,,"Publizitate babesa, Saski Baskonia SADri",157300.0
0826,3411,22611,,Gasteizko triatloia babestea,100000.0
0826,4321,12000,,Funtzionarioen oinarrizko ordainsariak,5403.0
0826,4321,12100,,Funtzionarioen ordainsari osagarriak,7987.0
0826,4321,16000,,"Gizarte Segurantza, enpresaren kontura",3471.0
0826,4321,22733,,Sektoreko lehiakortasun-ekintzak,5000.0
0826,4321,22772,,Arabako pintxoaren astea babestea,12000.0
0826,4321,22774,,Miniature-pintxos Congress babestea,15000.0
0826,4321,22777,,Turismoa dinamizatzea,195000.0
0826,4321,22778,,Turismo gertaldi bereziak,5000.0
0826,4321,22779,,Hiriaren turismo sustapena,166800.0
0826,4321,22780,,Turismo Bulegoaren merchandising-gastuak,30300.0
0910,2210,22734,,Gizarte Segurantzaren erregularizazioa,200000.0
0910,2381,22760,,Genero-berdintasunerako ekintzak,15375.0
0910,9202,12000,,Funtzionarioen oinarrizko ordainsariak,169551.0
0910,9202,12100,,Funtzionarioen ordainsari osagarriak,229757.0
0910,9202,12104,,Berariazko osagarria funtzionalen analisia,100000.0
0910,9202,14100,,Bestelako langileak,13815.0
0910,9202,16000,,"Gizarte Segurantza, enpresaren kontura",100778.0
0910,9202,16007,,Funtzionarioen berariazko osagarrirako ekarpena,276723.0
0910,9202,16102,,Aldez aurreko erretiroen kalte-ordainak,2150232.0
0910,9202,16104,,Epaiaren ondoriozko ordainsariak,15000.0
0910,9202,16204,,Bizi-asegurua - Auto-asegurua,125000.0
0910,9202,16205,,Bizi-asegurua - langileen istripuak,950000.0
0910,9202,16206,,Aseguru korporatiboak,11500.0
0910,9202,16220,,Kalte-ordainak,1500.0
0910,9202,22001,,"Ohikoa, inbentariatu ezina",2505.5
0910,9202,22105,,Jantziak eta uniformeak,86000.0
0910,9202,22633,,Pobrezia energetikoa - prestakuntza,20000.0
0910,9202,22638,,Udal langileen prestakuntza-plana,120000.0
0910,9202,22740,,SUMAS Biltzarra,1.0
0910,9202,22745,,Laneko arriskuen prebentziorako programa estrategikoa,20000.0
0910,9202,22759,,Etengabeko hobekuntzarako plan estrategikoa,11222.0
0910,9202,22764,,Antolakuntza-azterlanak,1.0
0910,9202,23000,,Dietak,50071.6
0910,9202,23001,,Lokomozio-gastuak,35875.0
0910,9202,23900,,Hautatze prozesuetako gastuak,90000.0
0910,9202,48001,,"Diru-laguntza, Langile Batzordeari",15559.31
0910,9202,48002,,Langileentzako ikasketa beka eta poltsak,24903.31
0910,9203,62924,,"Ekipoak erostea, presentzia-informazioa",5000.0
0911,9202,12000,,Funtzionarioen oinarrizko ordainsariak,266496.0
0911,9202,12100,,Funtzionarioen ordainsari osagarriak,334804.0
0911,9202,14100,,Bestelako langileak,177636.0
0911,9202,16000,,"Gizarte Segurantza, enpresaren kontura",233096.0
0912,9202,12000,,Funtzionarioen oinarrizko ordainsariak,145797.0
0912,9202,12100,,Funtzionarioen ordainsari osagarriak,189618.0
0912,9202,16000,,"Gizarte Segurantza, enpresaren kontura",81227.0
0915,9202,12000,,Funtzionarioen oinarrizko ordainsariak,43482.0
0915,9202,12100,,Funtzionarioen ordainsari osagarriak,59373.0
0915,9202,16000,,"Gizarte Segurantza, enpresaren kontura",23309.0
0919,9203,12000,,Funtzionarioen oinarrizko ordainsariak,162223.0
0919,9203,12100,,Funtzionarioen ordainsari osagarriak,199866.0
0919,9203,16000,,"Gizarte Segurantza, enpresaren kontura",102023.0
0919,9203,22108,,Botikak eta hemoderibatuak,67118.11
0919,9203,22141,,Zerbitzu medikoen tresneriaren berariazko mantenimendua,820.0
1010,9204,12000,,Funtzionarioen oinarrizko ordainsariak,56939.0
1010,9204,12100,,Funtzionarioen ordainsari osagarriak,114464.0
1010,9204,14100,,Bestelako langileak,3599.0
1010,9204,16000,,"Gizarte Segurantza, enpresaren kontura",47218.0
1010,9204,22730,,LOPD-ko prozesuak definitu eta ikuskatzea.,20000.0
1010,9204,22732,,Zerbitzuak emateko kontratuak,10000.0
1011,9204,12000,,Funtzionarioen oinarrizko ordainsariak,491283.0
1011,9204,12100,,Funtzionarioen ordainsari osagarriak,573965.0
1011,9204,14100,,Bestelako langileak,92341.0
1011,9204,16000,,"Gizarte Segurantza, enpresaren kontura",331718.0
1011,9204,21501,,Informatika-aplikazioak mantentzea,440000.0
1011,9204,22720,,Aplikatiboak onik zaintzeko euskarria,1400000.0
1011,9204,22724,,Iruzur fiskalaren kontrako planeko softwarea mantentzea,1.0
1011,9204,62623,,e-administrazioa plan zuzentzailea,250000.0
1011,9204,62624,,Iruzur fiskalaren kontrako plana,200000.0
1011,9204,62625,,Diru-laguntzen kudeaketa zentralizatua,100000.0
1011,9204,62626,,Udaltzaingoaren sistema informatikoa,50000.0
1012,9204,12000,,Funtzionarioen oinarrizko ordainsariak,346995.0
1012,9204,12100,,Funtzionarioen ordainsari osagarriak,451479.0
1012,9204,14100,,Bestelako langileak,124993.0
1012,9204,16000,,"Gizarte Segurantza, enpresaren kontura",265401.0
1012,9204,21500,,Informatika ekipoak onik zaintzea,330000.0
1012,9204,22728,,Ordenagailu zentralen euskarria,300000.0
1012,9204,22729,,Erabiltzaileen ekipoak mantentzeko euskarria,30000.0
1012,9204,22755,,Herritarrek erabiltzeko aplikazioetako teknologia berrien plana,1.0
1012,9204,62600,,Informatika ekipoak erostea,250000.0
1012,9204,62604,,Oinarrizko softwarea erostea,160000.0
1012,9204,62620,,Segurtasun planeko ekintzak,100000.0
1012,9204,62627,,Tresna eta zerbitzuak berritzea,550000.0
1012,9271,22200,,Telefono-fakturazioa,432600.0
1012,9271,22202,,Posta eta jakinarazpenak,1879300.0
1012,9271,22644,,Aldizkari ofizialetako iragarkiak,10081.0
1017,9204,12000,,Funtzionarioen oinarrizko ordainsariak,195559.0
1017,9204,12100,,Funtzionarioen ordainsari osagarriak,269966.0
1017,9204,14100,,Bestelako langileak,60930.0
1017,9204,16000,,"Gizarte Segurantza, enpresaren kontura",145501.0
1018,9204,12000,,Funtzionarioen oinarrizko ordainsariak,28648.0
1018,9204,12100,,Funtzionarioen ordainsari osagarriak,42568.0
1018,9204,16000,,"Gizarte Segurantza, enpresaren kontura",14360.0
1019,9204,12000,,Funtzionarioen oinarrizko ordainsariak,28228.0
1019,9204,12100,,Funtzionarioen ordainsari osagarriak,42660.0
1019,9204,16000,,"Gizarte Segurantza, enpresaren kontura",14360.0
1020,9204,12000,,Funtzionarioen oinarrizko ordainsariak,27342.0
1020,9204,12100,,Funtzionarioen ordainsari osagarriak,42180.0
1020,9204,16000,,"Gizarte Segurantza, enpresaren kontura",12809.0
1110,2301,12000,,Funtzionarioen oinarrizko ordainsariak,102194.0
1110,2301,12100,,Funtzionarioen ordainsari osagarriak,151579.0
1110,2301,14100,,Bestelako langileak,125950.0
1110,2301,16000,,"Gizarte Segurantza, enpresaren kontura",100153.0
1111,2301,12000,,Funtzionarioen oinarrizko ordainsariak,761544.0
1111,2301,12100,,Funtzionarioen ordainsari osagarriak,956784.0
1111,2301,13000,,Lan-kontratudun langile finkoen ordainsariak,40612.0
1111,2301,14100,,Bestelako langileak,335348.0
1111,2301,16000,,"Gizarte Segurantza, enpresaren kontura",684818.0
1111,2301,22103,,Gasa,23000.0
1111,2301,22618,,Bestelako funtzionamendu gastuak,50000.0
1111,2301,48045,,Diru-laguntzak,200000.0
1111,2301,48190,,Gizarte-Laneko Elkargoarekiko hitzarmena,10000.0
1111,2301,48968,,"Hitzarmena: ""Vivir con voz propia"" elkartea",15000.0
1111,2301,62204,,Zentro eta lokaletako inbertsioak,175000.0
1111,2301,62303,,Makinak erostea,255000.0
1111,2301,62501,,Altzariak,80000.0
1115,2323,22745,,Aterperik gabekoentzako kaleko heziketako programa,94550.0
1115,2323,48003,,Gizarte laguntzak,45000.0
1115,2324,22002,,"Prentsa, aldizkariak eta bestelako argitalpenak",1500.0
1115,2324,22105,,Jantziak eta uniformeak,1000.0
1115,2324,22106,,Elikagaiak,20000.0
1115,2324,22111,,Tresnak,7500.0
1115,2324,22115,,Berariazko material teknikoa,6000.0
1115,2324,22759,,Lantegietako irakasleak,32752.58
1115,2324,22784,,Larrialdi zerbitzuen kontratuak,481000.01
1115,2324,22786,,Janari-garraioa,9436.08
1115,2324,48003,,Gizarte laguntzak,38000.0
1115,2325,22111,,Tresnak,12000.0
1115,2325,22115,,Berariazko material teknikoa,29500.0
1115,2325,22614,,Gizarteratu lantegiak,810000.0
1115,2325,22666,,Goiuriko gaueko zaintza,102153.48
1115,2325,22747,,Zainpeko etxebizitzen kudeaketa,70000.0
1115,2325,22761,,Larrialdietarako etxebizitzetan laguntzeko programa,105000.0
1115,2325,22786,,"Janari-garraioa, etxe irekira",9436.08
1115,2325,48003,,Gizarte laguntzak,50000.0
1115,2325,48121,,"Hitzarmena: HIESaren aurkako batzordea, Etxe irekia",340860.0
1115,2325,48137,,"Hitzarmena: HIESaren aurkako batzordea, zainpeko etxebizitzak",297600.0
1115,2325,48140,,"Hitzarmena: HIESaren aurkako batzordea, Estrada etxea",465900.0
1115,2325,48145,,Hitzarmena Caritasekin - lanerako prestakuntzako lantegia,72000.0
1115,2325,48148,,"Hitzarmena: Afroamericana, zainpeko etxebizitzak",522200.0
1115,2325,48169,,Hitzarmena: Gao Lacho Drom,60756.0
1115,2325,48170,,"Hitzarmena, IRSE: laneratzeko programa",30000.0
1115,2325,48190,,Gazteei laguntzeko etxebizitza erdi zaindua,58250.0
1115,2325,48197,,Hitzarmena: Sendotu,20000.0
1115,2325,48901,,"Hitzarmena: HIESaren aurkako batzordea, Aterpe",470550.0
1115,2325,48940,,Abetxukuko ekimen-etxea,77000.0
1115,2327,12000,,Funtzionarioen oinarrizko ordainsariak,489710.0
1115,2327,12100,,Funtzionarioen ordainsari osagarriak,667433.0
1115,2327,14100,,Bestelako langileak,536696.0
1115,2327,16000,,"Gizarte Segurantza, enpresaren kontura",632083.0
1115,2381,48184,,Clara Campoamor elkartearekiko hitzarmena - Indarkeriaren biktima diren emakumeak hartzeko etxebizitzak,300379.0
1120,2311,12000,,Funtzionarioen oinarrizko ordainsariak,329501.0
1120,2311,12100,,Funtzionarioen ordainsari osagarriak,396447.0
1120,2311,14100,,Bestelako langileak,224941.0
1120,2311,16000,,"Gizarte Segurantza, enpresaren kontura",279918.0
1120,2311,22111,,Tresnak,3500.0
1120,2311,22115,,Berariazko material teknikoa,2000.0
1120,2311,22678,,Haurrentzako partaidetza-programa,100000.0
1120,2311,22679,, ‘Prólogo’ prebentzio-programa,30000.0
1120,2311,22680,,Emozioei buruzko lantegiak,186088.01
1120,2311,22726,,Gurasotasun positiborako programa (Senidegune),112000.0
1120,2311,22745,,Laguntza eta garapen egokiturako programa (LGE),500590.6
1120,2311,22746,,"Egokitzen, gurasokidetasun positiboa dibortzioetan",64500.0
1120,2311,22748,,Terapiak,150000.0
1120,2311,22763,,Gurasoen aurkako indarkeria-egoeretan garaiz esku hartzeko programa,84992.0
1120,2311,22775,,Bidatu kudeatzeko programa,226319.0
1120,2311,22789,,Erresilientzia,286184.19
1120,2311,22791,,Haurrentzako tokiko plana,150000.0
1120,2311,22792,,Sexu-abusuak baloratzea,42105.0
1120,2311,22794,,Gizarte- eta hezkuntza-zentroak,1271928.43
1120,2311,48003,,Gizarte laguntzak,4000.0
1120,2311,48036,,Hitzarmena: AVAIM,11780.0
1120,2311,48187,,Hitzarmena: Garenok,11780.0
1120,2311,48956,,Hitzarmena: intolerantziaren aurka,11780.0
1120,2311,48991,,Hitzarmena: UNICEF,11780.0
1120,2311,48992,,Hitzarmena: AMAPASE,15000.0
1133,2312,22002,,"Prentsa, aldizkariak eta bestelako argitalpenak",11000.0
1133,2312,22105,,Jantziak eta uniformeak,3000.0
1133,2312,22106,,Elikagaiak,2053912.02
1133,2312,22111,,Tresnak,55908.52
1133,2312,22115,,Berariazko material teknikoa,72000.0
1133,2312,22606,,Ile-apaindegiko zerbitzuak,15910.0
1133,2312,22618,,Bestelako funtzionamendu gastuak,12000.0
1133,2312,22623,,Familia zaintzaileei laguntzeko programa,96999.65
1133,2312,22652,,Hirugarren adinekoen egoitzetako animazioa,293700.0
1133,2312,22666,,Gaueko zaintza - San Prudentzio egoitza,76451.0
1133,2312,22667,,San Prudentzioko erlijio zerbitzuak,6900.0
1133,2312,22702,,Kafetegi-zerbitzua,13408.92
1133,2312,22708,,Zaharrak lekualdatzea,151769.02
1133,2312,22709,,Zaintza- eta loturen-lanen plana,100000.0
1133,2312,48018,,Adinekoak hartzeko emakume boluntarioen elkartea,1400.0
1133,2312,48023,,Hitzarmena: AFA,3959.7
1133,2312,48150,,Adinekoei laguntzeko boluntarioen programa,6142.74
1133,2312,48151,,Askatasunik gabeko pertsonen auzolanak,11180.86
1133,2312,48194,,Arabako Abokatuen Elkargoa,10000.0
1133,2312,48959,,Hitzarmena: Ascundean - 3. adina,70397.57
1133,2313,22111,,Tresnak,12000.0
1133,2313,22754,,Adinekoentzako zentro soziokulturalen kudeaketa,3097986.0
1133,2313,22786,,Janari-garraioa,103544.0
1133,2313,48960,,Hitzarmena: San Mateo parrokia,10335.0
1133,2313,48961,,Hitzarmena: Aingeruen Andre Mariaren parrokia,10335.0
1133,2313,48962,,Hitzarmena: San Petri parrokia,10335.0
1133,2314,22002,,"Prentsa, aldizkariak eta bestelako argitalpenak",1500.0
1133,2314,22111,,Tresnak,28863.0
1133,2314,22115,,Berariazko material teknikoa,900.0
1133,2314,22609,,Adinekoentzako apartamentuetako familia-langileak,405000.0
1133,2314,22618,,Bestelako funtzionamendu gastuak,5444.63
1133,2314,22628,,Santa María de Olarizuko animazioa,68174.0
1133,2314,22705,,Tomas Zumarraga Dohatsuaren kaleko Eguneko Arreta Zerbitzua kudeatzea,552107.0
1133,2314,22708,,Zaharrak lekualdatzea,335137.11
1133,2314,22714,,Renacimiento kaleko Eguneko Arreta Zerbitzua kudeatzea,146000.0
1133,2314,22718,,Blas de Otero kaleko Eguneko Arreta Zerbitzua kudeatzea,737000.0
1133,2314,22786,,Janari-garraioa,35375.3
1133,2317,12000,,Funtzionarioen oinarrizko ordainsariak,2766903.0
1133,2317,12100,,Funtzionarioen ordainsari osagarriak,3826448.0
1133,2317,14100,,Bestelako langileak,4924711.0
1133,2317,16000,,"Gizarte Segurantza, enpresaren kontura",4124617.0
1145,2315,48138,,Hitzarmena: Elikagaien Bankua,12000.0
1145,2315,48157,,Vicente Abreu elkarte federazioa,32712.0
1145,2321,22731,,Babesgabetuetako otorduak,300000.0
1145,2321,22786,,Janari-garraioa,141764.91
1145,2321,22797,,Etxez etxeko laguntza zerbitzua,12276837.0
1145,2321,22798,,Etxean laguntzeko zerbitzuaren analisia,30000.0
1145,2321,48000,,Gizarte-larrialdiko laguntzak,4673000.0
1145,2321,48003,,Gizarte laguntzak,4000000.0
1145,2321,48005,,"Pobrezia energetikoaren kontrako plana, Gasteizen",60000.0
1145,2321,48154,,Gurutze Gorria - Adinekoei laguntzea,77500.0
1145,2321,48957,,Hitzarmena: AGLE,60000.0
1145,2321,48977,,Hitzarmena: Save the Children,11724.0
1145,2322,22115,,Berariazko material teknikoa,44200.0
1145,2322,22619,,Kaleko heziketa,1048260.0
1145,2322,22746,,Oinarrizko Gizarte Zerbitzuak zaintzea,365537.5
1145,2322,22759,,Lantegietako irakasleak,303671.0
1145,2328,12000,,Funtzionarioen oinarrizko ordainsariak,1178147.0
1145,2328,12100,,Funtzionarioen ordainsari osagarriak,1367466.0
1145,2328,14100,,Bestelako langileak,1056283.0
1145,2328,16000,,"Gizarte Segurantza, enpresaren kontura",1150990.0
1150,2391,12000,,Funtzionarioen oinarrizko ordainsariak,89946.0
1150,2391,12100,,Funtzionarioen ordainsari osagarriak,113140.0
1150,2391,14100,,Bestelako langileak,7480.0
1150,2391,16000,,"Gizarte Segurantza, enpresaren kontura",60298.0
1150,2391,22696,,Euskal Fondoaren kuota,11237.4
1150,2391,22699,,Bestelako hainbat gastu,3000.0
1150,2391,22707,,Azterlanak eta lan teknikoak,115000.0
1150,2391,22799,,Kanpoko beste zenbait lan,30000.0
1150,2391,48200,,Lankidetzarako diru-laguntzak,1418834.0
1150,2391,48205,,Hitzarmena: Larrialdietarako Arabako Funtsa,132000.0
1150,2391,48206,,Hitzarmena: RASD-ren lagunen elkartea,320000.0
1150,2391,48207,,Hitzarmena: Euskal Fondoa,207000.0
1150,2391,48211,,Hitzarmena: GGKEen koordinakundea,24000.0
1150,2391,48212,,Hitzarmena: AFINIS - oporrak bakean,17000.0
1150,2391,48213,,Hitzarmena: bidezko merkataritza,70000.0
1310,9313,12000,,Funtzionarioen oinarrizko ordainsariak,135303.0
1310,9313,12100,,Funtzionarioen ordainsari osagarriak,177979.0
1310,9313,14100,,Bestelako langileak,9368.0
1310,9313,16000,,"Gizarte Segurantza, enpresaren kontura",87564.0
1510,1701,11000,,Kabineteko behin-behineko langileen ordainsariak,81775.0
1510,1701,16000,,"Gizarte Segurantza, enpresaren kontura",18505.0
1510,1701,22004,,Kartografia eta proiektuak editatu eta erreproduzitzea,1000.0
1510,1701,22205,,"Bilerak, hitzaldiak eta biltzarrak",5000.0
1510,1701,22206,,Kanpo-ekintzak eta nazioarteko lankidetzak,10000.0
1514,1701,12000,,Funtzionarioen oinarrizko ordainsariak,232409.0
1514,1701,12100,,Funtzionarioen ordainsari osagarriak,284307.0
1514,1701,14100,,Bestelako langileak,116572.0
1514,1701,16000,,"Gizarte Segurantza, enpresaren kontura",197591.0
152002,1331,60195,,Trafiko-segurtasuneko elementuak hobetzea,100000.0
152002,1513,60921,,Koroatzeko proiektua,200000.0
152002,1533,60002,,Desjabetzeak,267846.2
152002,1533,60102,,Irisgarritasuna hobetzea,60000.0
152002,1533,60116,,Eraberritze eta asfaltatze integralak,1000000.0
152002,1533,60129,,Txirrindularien sare nagusia,100000.0
152002,1533,60171,,Bizikletak aparkatzekoak eta bizikletentzako lonjak,105000.0
152002,1533,60189,,BJTen inbertsioak,1500000.0
152002,1533,60198,,Espazio publikoko inbertsioen gida-plana,2500000.0
152002,1533,60201,,Erdi Aroko etxarteak berritu eta birgaitzea,75000.0
152002,1533,60506,,Ariznabarrako aparkalekua,350000.0
152002,1533,60508,,Lakua-Arriagako aparkalekuaren erreforma,150000.0
152002,1533,60922,,Bizikleta-gordailua,50000.0
152002,1533,60924,,Bidegorrien sarea handitzea,125000.0
152002,1533,61121,,"Oroimenezko zentroaren ingurunea, bigarren fasea",35001.0
152002,1533,64304,,"Ordainsariak, azterlanak eta proiektuak",40000.0
152002,1533,64517,,Hirigunea biziberritzeko Bost Enparantza plana,800000.0
152002,1534,12000,,Funtzionarioen oinarrizko ordainsariak,1098018.0
152002,1534,12100,,Funtzionarioen ordainsari osagarriak,1565953.0
152002,1534,14100,,Bestelako langileak,376628.0
152002,1534,16000,,"Gizarte Segurantza, enpresaren kontura",1053745.0
152002,1534,20200,,Makineria eta instalazioak alokatzea,108000.0
152002,1534,21008,,Berehala jarduteko taldeak (haur jolasak),170000.0
152002,1534,21009,,Zaharkitutako haurrentzako jolasak berritzea,170000.0
152002,1534,21012,,Espazio publikoko betearazte subsidiarioak,20000.0
152002,1534,21060,,Bide publikoak eta zoladura zaintzea,500000.0
152002,1534,21062,,Zoladura eta aglomeratuak mantentzea,200000.0
152002,1534,21097,,Su artifizialen zelaia,3500.0
152002,1534,21701,,Hiri-altzariak onik zaintzea,70000.0
152002,1534,21703,,Arrapalak mantentzeko kontratuak,120000.0
152002,1534,21706,,Iturriak onik zaintzea,20000.0
152002,1534,22111,,Tresnak,30000.0
152002,1534,22722,,Komun publikoak mantentzeko kontratua,55000.0
152002,1641,22111,,Tresnak,10000.0
152002,1641,22140,,Hilerrietako berariazko gastuak,50000.0
152002,1641,22715,,Hondakinen gaikako bilketa,10000.0
152002,1641,60105,,Hobiak eta panteoiak egitea,100000.0
152002,1651,21006,,Brigadas acción inmediata para alumbrado,416000.0
152002,1651,22101,,Berehala jarduteko taldeak (argiteria),4200000.0
152002,1651,60115,,Espazio publikorako eta ingurune naturalerako energia elektrikoa hornitzea,100000.0
152002,1711,64520,,Salburuko super-etxadia,50000.0
152002,2381,60607,,Genero-ikuspegia kaleko argiterian,75000.0
152002,4411,21705,,Autobus elektrikoak mantentzea ,181500.0
152002,4411,47122,,"AFA eta Parke teknologikoarekiko hitzarmena, bidaiarien garraiorako",20000.0
152002,4411,69200,,BRT ezartzea,878964.0
152002,4411,71003,,"Hitzarmena: Eusko Jaurlaritza, AFA, Udala - tranbia hegoalderantz luzatzea",1554877.22
152002,4411,71007,,Salburua-Zabalgana tranbia,1347500.0
152002,4412,77000,,Taxi elektrikoak erosteko diru-laguntza,60000.0
152005,1651,22130,,Argiteria publikoaren mantentze orokorra,400000.0
152007,1711,12000,,Funtzionarioen oinarrizko ordainsariak,913080.0
152007,1711,12100,,Funtzionarioen ordainsari osagarriak,1261874.0
152007,1711,14100,,Bestelako langileak,413085.0
152007,1711,16000,,"Gizarte Segurantza, enpresaren kontura",905672.0
152007,1711,20200,,Makineria eta instalazioak alokatzea,135000.0
152007,1711,21014,,Txorkoak,275000.0
152007,1711,21015,,Haztegia lekuz aldatzea (behin-behinekoa),20000.0
152007,1711,21040,,Transmisoreak mantentzea,3000.0
152007,1711,21071,,Berdegune publikoak onik zaintzea,260000.0
152007,1711,21072,,Jardinerak onik zaintzea,4000.0
152007,1711,21200,,Makinak eta instalazioak onik zaintzea,60000.0
152007,1711,21704,,Udal instalazioak ireki eta ixteko kontratua,23904.0
152007,1711,22111,,Tresnak,45000.0
152007,1711,22711,,Berdeguneak onik zaintzea,3323881.38
152007,1711,22712,,Europa jauregiaren fatxadaren kontserbazioa,30000.0
152007,1711,22715,,Paisaiarako ekintza-plana,50000.0
152007,1711,22716,,Zuhaiztiaren Kudeaketa Plana,50000.0
152007,1711,22740,,Erdi Aroko etxarteak onik zaintzea,13000.0
152007,1711,60196,,"Zuhaitzak kudeatzeko plana, auzoak",100000.0
152007,1711,60197,,Auzoko azpiegitura berdea,150000.0
152007,1711,60312,,Urmaelak kloratze sistemak jartzea,50000.0
152007,1711,60610,,Udal haztegi berriaren urbanizazioa,1.0
152007,1711,64304,,"Ordainsariak, azterlanak eta proiektuak",50000.0
152007,1711,69900,,Landareak erostea,46000.0
152007,2381,60609,,Auzoko azpiegitura berdea genero-ikuspegiarekin,100000.0
1521,1331,12000,,Funtzionarioen oinarrizko ordainsariak,233730.0
1521,1331,12100,,Funtzionarioen ordainsari osagarriak,293782.0
1521,1331,14100,,Bestelako langileak,114908.0
1521,1331,16000,,"Gizarte Segurantza, enpresaren kontura",227060.0
1521,1331,20200,,Aparkalekuak mantendu eta arautzea,233651.98
1521,1331,21050,,Seinaleztapena onik zaintzea,170000.0
1521,1331,21910,,Trafikoa kontrolatzeko sistema mantentzea,1254255.65
1521,1331,22105,,TAO agenteen aldagela,15000.0
1521,1331,60107,,Zirkulazioa kontrolatzeko sistema,15000.0
1521,1331,60143,,Bide segurtasuna hiriaren zabalpenetan,100000.0
1521,1331,62901,,Tresneria erostea,15000.0
1521,1331,64521,,Salburuko super-etxadian trafikoa lasaitzea,150000.0
1521,4413,62701,,BEArako kotxetegiak,600000.0
1522,4413,12000,,Funtzionarioen oinarrizko ordainsariak,185499.0
1522,4413,12100,,Funtzionarioen ordainsari osagarriak,274664.0
1522,4413,14100,,Bestelako langileak,142691.0
1522,4413,16000,,"Gizarte Segurantza, enpresaren kontura",209102.0
1522,4413,21105,,Autobus-geltokia onik zaindu eta mantentzea,90200.0
1522,4413,22101,,"Energia elektrikoaren hornikuntza, autobus-geltokia",77520.0
1522,4413,22102,,"Ur-hornidura eta hondar-urak araztea, autobus-geltokia",19800.0
1522,4413,22104,,Autobus geltokiaren energia-eraginkortasuna,101184.0
1522,4413,22734,,Autobus-geltokiko segurtasuna,54342.68
1522,4413,22783,,"Garbiketa-zerbitzuaren kontratua, autobus-geltokia",157473.6
1522,4413,62953,,Autobus geltokiko ekipoetarakko inbertsioak,42780.0
1620,3421,62296,,Kirol zelaietako inbertsioak,800000.0
1620,3422,22148,,Igerilekuak mantentzeko kontratua,1265500.0
1620,3422,62926,,Igerilekuetako kontratuetako inbertsioak,353500.0
1620,9211,62204,,"Inbertsioak, handizkako azokan",530000.0
1620,9211,62205,,Zentro eta lokaletako inbertsioak,500000.0
1620,9211,62293,,Udal eraikinetako inbertsioak,700000.0
