#Orgánico,Funcional,Económico,R,Denominación Aplicación,Crédito Inicial 2022,Crédito Definitivo 2022,Obligado,i,j
0340,1361,12000,,Retribuciones basicas de funcionarios,1856953.91,1856953.91,1204501.63,,
0340,1361,12100,,Retribuciones complementarias funcionarios,3693330,3693330,2688668.58,,
0340,1361,14100,,Otro personal,518280,518280,543814.86,,
0340,1361,16000,,Seguridad social a cargo del ayuntamiento,2540662,2540662,1886474.75,,
0340,1361,16500,,Cuotas elkarkidetza a cargo ayuntamiento,73509,73509,52796.87,,
0340,1361,21900,,Renovación y reposición de equipos,75000,75000,18932.7,,
0340,1361,22105,,Vestuario y uniformes,150000,150000,38385.33,,
0340,1361,22105,R,Vestuario y uniformes,0,77957.88,77957.88,,
0340,1361,22106,,Vestuario descontaminacion post-intervencion,0,184760,0,,
0340,1361,22111,,"Menaje, utiles y herramientas",25000,25000,9203.21,,
0340,1361,22199,,Otros suministros,20000,20000,24388.35,,
0340,1361,22699,,Otros gastos diversos,20000,20000,4234.03,,
0340,1361,62400,,Vehiculos,107500,107500,0,,
0340,1361,62901,,Adquisicion equipos,45000,45000,8020.54,,
0340,1361,62901,R,Adquisicion equipos,0,36381.75,36381.75,,
0340,1361,62902,,Adquisición equipos descontaminacion post-intervencion,0,115240,0,,
0350,1321,12000,,Retribuciones basicas de funcionarios,6497454.53,6497454.53,4594526.55,,
0350,1321,12100,,Retribuciones complementarias funcionarios,13918974,13918974,10692764.83,,
0350,1321,16000,,Seguridad social a cargo del ayuntamiento,7831152,7831152,6036533.64,,
0350,1321,16500,,Cuotas elkarkidetza a cargo ayuntamiento,337474,337474,253339.66,,
0350,1321,20501,,Renting sist.radiocomunicaciones tetra,10000,10000,6204.31,,
0350,1321,21001,,Seguridad en fiestas virgen blanca,10000,10000,13193.44,,
0350,1321,21300,,Reparacion vehiculos,70000,70000,37252.79,,
0350,1321,21900,,Renovación y reposición de equipos,190000,190000,10436.92,,
0350,1321,21900,A,Renovación y reposición de equipos,0,18211.73,0,,
0350,1321,21900,R,Renovación y reposición de equipos,0,9480.35,9480.35,,
0350,1321,21905,,Manten.scanner seguridad y usp,7500,7500,1295.66,,
0350,1321,22105,,Vestuario y uniformes,220000,220000,11976.35,,
0350,1321,22111,,"Menaje, utiles y herramientas",20000,20000,7525.55,,
0350,1321,22122,,Detección de drogas y alcohol,63000,63000,0,,
0350,1321,22199,,Otros suministros,0,0,11248.15,,
0350,1321,22624,,Servicio nocturno de grúa,90000,90000,21315.76,,
0350,1321,22624,R,Servicio nocturno de grua,0,8466,7018,,
0350,1321,22699,,Otros suministros y gastos diversos,70000,70000,39384.1,,
0350,1321,22699,A,Otros suministros y gastos diversos,0,12261.4,0,,
0350,1321,22699,R,Otros suministros y gastos diversos,0,82943.55,14311.29,,
0350,1321,62400,,Vehiculos,130000,130000,9680,,
0350,1321,62400,R,Vehiculos,0,115230.88,59750,,
0350,1321,62501,,Mobiliario,42000,42000,0,,
0350,1321,62901,,Adquisicion equipos e instalaciones,20000,70000,3269.37,,
0350,1321,62901,A,Adquisición equipos e instalaciones,0,241751.02,134146.65,,
0360,1331,12000,,Retribuciones basicas de funcionarios,283981.33,283981.33,205241.48,,
0360,1331,12100,,Retribuciones complementarias funcionarios,353152,353152,307244.58,,
0360,1331,14100,,Otro personal,164812,164812,183537.81,,
0360,1331,16000,,Seguridad social a cargo del ayuntamiento,295566,295566,249836.6,,
0360,1331,16500,,Cuotas elkarkidetza a cargo ayuntamiento,16912,16912,13434.05,,
0360,1331,20200,,Mantenimiento y regulación del estacionamiento,240000,240000,159331.02,,
0360,1331,21005,,Vestuario agentes ota,10000,10000,10093.85,,
0360,1331,21050,,Conservacion de señalizacion,125000,125000,25866.6,,
0360,1331,21050,A,Conservacion de señalizacion,0,509.18,0,,
0360,1331,21050,R,Conservacion de señalizacion,0,83629.03,83485.17,,
0360,1331,21910,,Mantenimiento sistema control de trafico,1532000,1532000,955251.78,,
0360,1331,60101,A,Eu-ampliación mejora zona ota,0,2164.69,1957.78,,
0360,1331,60107,,Sistema de control de circulacion,150000,150000,0,,
0360,1331,60107,A,Sistema de control de circulacion,0,2194.14,0,,
0360,1331,60107,R,Sistema de control de circulacion,0,149435,0,,
0360,1331,60108,,Zona de bajas emisiones (zbe),60000,60000,0,,
0360,1331,60109,,Apoyos al estudio del tráfico,15000,15000,14520,,
0360,1331,60143,,Mejora seguridad vial y calmados de tráfico,95000,95000,0,,
0360,1331,60143,A,Mejora seguridad vial y calmados de tráfico,0,193.73,0,,
0360,1331,61108,,Eu-inversiones en gestión tráfico y aparcamientos municipales,0,736329.48,0,,
0360,1331,61108,R,Eu-inversiones en gestión tráfico y aparcamientos municipales,0,67927.59,0,,
0360,1331,62703,A,Eu - zona de bajas emisiones,0,741351.27,13913.79,,
0360,1331,62901,,Adquisicion equipos,15000,15000,6106.89,,
0360,4412,77000,,Subvención adquisición taxis electricos,40000,40000,0,,
0360,4413,62701,A,Cocheras bei,0,11192.45,0,,
0410,0111,33201,,Intereses de prestamos a largo plazo,2239652.36,2239652.36,1718029.06,,
0410,0111,93300,,Amortizacion de prestamos a l/p,12930475.07,12930475.07,8867268.48,,
0410,1513,73102,,Al centro de estudios ambientales,150000,150000,0,,
0410,1513,73310,,A ensanche 21,1550000,1550000,277584.67,,
0410,1513,73310,A,A ensanche 21,0,480000,480000,,
0410,1513,73310,R,A ensanche 21,0,374000,200000,,
0410,1515,43308,R,Piie - a ensanche 21 oficina de proximidad zaramaga,0,914500,0,,
0410,1515,73312,,Piie - a ensanche 21 ayudas eco-rehab. zaramaga,1500000,1500000,593170.52,,
0410,1515,73312,R,Piie - a ensanche 21 ayudas eco-rehab. zaramaga,0,14979632.13,1381134.74,,
0410,1515,73313,,Piie - a ensanche monitorización de edificios residenciales zaramaga,559765.37,156421.43,0,,
0410,1515,73313,R,Piie - a ensanche monitorización de edificios residenciales zaramaga,0,150000,0,,
0410,1515,73314,,Piie a ensanche21 comunidades energéticas zaramaga,162312.5,1,0,,
0410,1621,22502,,Impuesto residuos vertedero 7/2022,100000,100000,36491.82,,
0410,1722,22601,,Proyecto reserva de la biosfera v-g y araba central,50000,50000,0,,
0410,1722,22700,,Gastos eco-distrito emprendedor,0,580000,580000,,
0410,1722,43102,,Al centro de estudios ambientales,2900000,2900000,2900000,,
0410,1722,61100,,Inversiones eco-distrito emprendedor,0,30000,30000,,
0410,2381,22675,,Asistencia técnica ppto perspectiva genero,20000,20000,0,,
0410,4411,43300,,Aportacion a tuvisa,18296551.33,18296551.33,18296551.33,,
0410,4411,43301,,Aportación tuvisa compensación transporte estado,2110346.01,2110346.01,0,,
0410,4411,43302,,Aportación tuvisa compensación transporte gova,703448.67,703448.67,0,,
0410,4411,43303,,Aportación tuvisa compensación transporte ayto. v.-g.,703448.67,703448.67,0,,
0410,4411,73300,,A tuvisa,886000,886000,0,,
0410,4411,73309,,A tuvisa para adquisición de autobuses,4000000,4000000,0,,
0410,9202,16205,,Seguro vida-accidentes empleados,864000,864000,763290.36,,
0410,9202,16206,,Seguros corporativos,6000,6000,1691.01,,
0410,9204,62629,,Sistema informático inventario municipal,20000,20000,0,,
0410,9205,20301,,Renting de vehiculos,380000,380000,224022.53,,
0410,9205,21300,,Reparacion vehiculos,220000,220000,157566.16,,
0410,9205,22104,,Combustibles y carburantes,390000,390000,237811.41,,
0410,9205,22404,,Seguros de vehiculos,110957.81,110957.81,81662.83,,
0410,9205,62400,,Vehiculos,100000,100000,69078.21,,
0410,9206,21400,,Reparacion mobiliario,2000,2000,0,,
0410,9206,21500,,Contratos mantenimiento de equipos,175000,175000,72615.18,,
0410,9206,21500,R,Contratos mantenimiento equipos,0,1005.52,1005.52,,
0410,9206,22001,,Ordinario no inventariable,211750,211750,121160.15,,
0410,9206,22122,,Reprografía contratos renting,105179.02,105179.02,0,,
0410,9206,62318,,Inversiones reprografía,30000,30000,0,,
0410,9206,62501,,Mobiliario,15000,15000,13192.29,,
0410,9206,62505,,Adquisiciones varias dptos. municipales,12000,12000,8394.38,,
0410,9207,20100,,Arrendamiento locales y edificios,4000000,4028485.25,3073973.87,,
0410,9207,22110,,Gastos de reprografia,35000,35000,29108.61,,
0410,9207,22402,,Seguros de responsabilidad civil,345000,345000,232966.61,,
0410,9207,22407,,Seguro vida y accidentes,40000,40000,36418.53,,
0410,9207,22600,,Gastos de registro de bienes,10000,10000,6026.25,,
0410,9207,22707,R,Inventario ocupación red de suministro,0,18029,0,,
0410,9207,22732,,Contratos de prestacion de servicios,68200,68200,16185.27,,
0410,9207,22733,,Asis.tecn.pptos.alineados objetivos estrategicos,18150,18150,0,,
0410,9207,62900,,Reposiciones por siniestros,1,120001,64503.34,,
0410,9211,62298,,Inversiones san martin,15000,15000,13098.47,,
0410,9211,62299,,Inversiones san martin seguridad cpd,25000,25000,23609.52,,
0410,9211,62299,R,Inversiones san martin seguridad cpd,0,34222.08,34222.08,,
0410,9213,22102,,Suministro agua y depuración de residuales,1500000,1500000,837.49,,
0410,9213,22103,,Fraccionamiento suministro agua convenio amvisa,680000,680000,0,,
0410,9271,41800,,A eudel,318937.55,331452.25,0,,
0410,9311,22499,,Indemnizaciones por responsabilidad patrimonial,100000,100000,138238.74,,
0410,9319,12000,,Retribuciones basicas de funcionarios,77031.7,77031.7,58365.13,,
0410,9319,12100,,Retribuciones complementarias funcionarios,130216,130216,102069.15,,
0410,9319,13000,,Retribuciones personal laboral fijo,62201,62201,43399.48,,
0410,9319,14100,,Otro personal,0,0,12493.66,,
0410,9319,16000,,Seguridad social a cargo del ayuntamiento,66219,66219,53141.78,,
0410,9319,16500,,Cuotas elkarkidetza a cargo ayuntamiento,3020,3020,969.5,,
0410,9321,22776,,Servicios de la unidad de multas,148799.75,148799.75,99199.83,,
0410,9331,22401,,Seguros de edificios y locales municipales,535000,535000,354266.73,,
0410,9331,22601,,Gastos comunidades vecinos,400000,400000,414031.31,,
0410,9331,22631,,Tasa airef,6838.52,6838.52,6886.45,,
0410,9331,22760,,Mantenimiento relojes publicos,20500,20500,13974.14,,
0410,9331,64900,,Propiedad industrial,1000,1000,0,,
0410,9341,36100,,Intereses devolucion ingresos indebidos,30000,246280.1,231652.78,,
0410,9341,36101,,Gastos financieros asociados a ingresos,50000,50000,57681.42,,
0410,9341,36102,,Intereses de demora,60000,60000,4717.58,,
0410,9341,36900,,Otros gastos financieros,60651,60651,21319.66,,
0411,9321,12000,,Retribuciones basicas de funcionarios,54312.76,54312.76,37426.18,,
0411,9321,12100,,Retribuciones complementarias funcionarios,80411,80411,56171.44,,
0411,9321,14100,,Otro personal,52092,52092,36027.03,,
0411,9321,16000,,Seguridad social a cargo del ayuntamiento,49325,49325,35867.46,,
0411,9321,16500,,Cuotas elkarkidetza a cargo ayuntamiento,3325,3325,2374.6,,
0414,9312,12000,,Retribuciones basicas de funcionarios,84247.72,84247.72,36449.34,,
0414,9312,12100,,Retribuciones complementarias funcionarios,112097,112097,44300.32,,
0414,9312,16000,,Seguridad social a cargo del ayuntamiento,49004,49004,24659.52,,
0414,9312,16500,,Cuotas elkarkidetza a cargo ayuntamiento,3325,3325,2374.6,,
0415,9323,12000,,Retribuciones basicas de funcionarios,98817.9,98817.9,59498.62,,
0415,9323,12100,,Retribuciones complementarias funcionarios,160435,160435,114995.81,,
0415,9323,16000,,Seguridad social a cargo del ayuntamiento,55659,55659,37760.62,,
0415,9323,16500,,Cuotas elkarkidetza a cargo ayuntamiento,2500,2500,2004.34,,
0416,9341,12000,,Retribuciones basicas de funcionarios,66974.21,66974.21,54003.32,,
0416,9341,12100,,Retribuciones complementarias funcionarios,94101,94101,88963.17,,
0416,9341,14100,,Otro personal,86449,86449,74936.45,,
0416,9341,16000,,Seguridad social a cargo del ayuntamiento,64377,64377,58084.44,,
0416,9341,16500,,Cuotas elkarkidetza a cargo ayuntamiento,6293,6293,4749.2,,
0417,9322,12000,,Retribuciones basicas de funcionarios,90355.72,90355.72,62008.04,,
0417,9322,12100,,Retribuciones complementarias funcionarios,127915,127915,90653.28,,
0417,9322,14100,,Otro personal,58835,58835,29526.39,,
0417,9322,16000,,Seguridad social a cargo del ayuntamiento,63363,63363,42083.99,,
0417,9322,16500,,Cuotas elkarkidetza a cargo ayuntamiento,3325,3325,2374.6,,
0418,9319,12000,,Retribuciones basicas de funcionarios,1091429.67,1091429.67,685163.78,,
0418,9319,12100,,Retribuciones complementarias funcionarios,1359032,1359032,989853.99,,
0418,9319,14100,,Otro personal,291614,291614,269814.21,,
0418,9319,16000,,Seguridad social a cargo del ayuntamiento,825435,825435,596448.56,,
0418,9319,16500,,Cuotas elkarkidetza a cargo ayuntamiento,58835,58835,42812.88,,
0421,9314,12000,,Retribuciones basicas de funcionarios,112573.43,112573.43,68499.75,,
0421,9314,12100,,Retribuciones complementarias funcionarios,158162,158162,103472.93,,
0421,9314,14100,,Otro personal,57859,57859,84138.76,,
0421,9314,16000,,Seguridad social a cargo del ayuntamiento,81749,81749,70957.67,,
0421,9314,16500,,Cuotas elkarkidetza a cargo ayuntamiento,1358,1358,193.9,,
0810,4301,11000,,Retribuciones personal eventual gabinete,59721.11,59721.11,214.38,,
0810,4301,12000,,Retribuciones basicas de funcionarios,59221,59221,122089.25,,
0810,4301,12100,,Retribuciones complementarias funcionarios,87903,87903,166984.99,,
0810,4301,14100,,Otro personal,510,510,0,,
0810,4301,16000,,Seguridad social a cargo del ayuntamiento,45509,45509,74542.37,,
0810,4301,16500,,Cuotas elkarkidetza a cargo ayuntamiento,4987,4987,7123.8,,
0810,4321,42304,,Convenio de promoción mercados europeos-cámara comercio,0,10000,0,,
0810,4321,42304,A,Convenio de promoción mercados europeos-cámara comercio,0,4000,4000,,
0810,4321,42304,R,Convenio de promoción mercados europeos-cámara comercio,0,2000,0,,
0810,4331,22704,,Patrocinio umbra,19000,19000,0,,
0810,4331,22712,,Impulso film office,5000,5000,4878.5,,
0810,4331,22797,,Oficina desarrollo local: dinamización económica,208000,181980,90070.49,,
0810,4331,22797,R,Oficina desarrollo local: dinzamización económica,0,2433.29,2433.29,,
0810,4331,47104,,Oficina desarrollo local promoción de ciudad,130000,130000,0,,
0810,4331,47104,R,Oficina desarrollo local promoción de ciudad,0,67712.48,0,,
0810,4331,48113,,Convenio turium,0,0,0,,
0810,4331,48113,R,Convenio turium,0,7500,7500,,
0810,4334,85107,,Ampliación de capital del parque tecnológico,0,52600,0,,
0817,4334,85107,,Ampliacion de capital del parque tecnologico,52600,0,0,,
0819,4301,12000,,Retribuciones basicas de funcionarios,234957.46,234957.46,137913.93,,
0819,4301,12100,,Retribuciones complementarias funcionarios,285755,285755,185410.18,,
0819,4301,14100,,Otro personal,77794,77794,152836.26,,
0819,4301,16000,,Seguridad social a cargo del ayuntamiento,181037,181037,147683.82,,
0819,4301,16500,,Cuotas elkarkidetza a cargo ayuntamiento,8982,8982,4693.45,,
0820,4301,12000,,Retribuciones basicas de funcionarios,169004.13,169004.13,135104.02,,
0820,4301,12100,,Retribuciones complementarias funcionarios,193778,193778,165750.43,,
0820,4301,14100,,Otro personal,81355,81355,67438.42,,
0820,4301,16000,,Seguridad social a cargo del ayuntamiento,129665,129665,102415.84,,
0820,4301,16500,,Cuotas elkarkidetza a cargo ayuntamiento,11518,11518,9106.6,,
0820,4301,22603,,Señalética proyectos next generation,0,40000,3271.84,,
0820,4314,22701,R,Eu-acciones de potenciación centros comercialesabiertos y mercados no sedentario,0,18089.5,9074.4,,
0820,4321,22707,R,Eu-estudio viabilidad sistema inteligencia turística,0,14734.59,14099,,
0820,4321,22708,R,Sistema inteligencia turistica fase ii,0,126000,0,,
0820,4321,22750,R,Eu-sistema gestión proyectos,0,18119.75,18119.75,,
0820,4321,22751,R,Eu-sistema de gestión integral oficina de turismo,0,0,0,,
0820,4321,22752,R,Eu-monitorización de los flujos de visitantes,0,62000,60379,,
0820,4321,62610,,Eu - soportes digitales de información,0,79388.16,66492,,
0821,1623,22705,R,Eu-inversiones reducción consumo bolsas y compactar poliestireno,0,233685.15,82715.6,,
0821,1623,22711,R,Eu-soluciones incremento sost mediante recogida de envases ligeros y ase energe,0,0,0,,
0821,4221,22683,,Jundiz eco industrial,0,0,1828.16,,
0821,4221,22683,R,Jundiz eco industrial,0,11516.76,11417.43,,
0821,4221,22714,,Basaldea,0,0,17539.54,,
0821,4221,22716,,Emprendimiento circular,40000,40000,0,,
0821,4221,22763,,Economía circular,45000,45000,6868.64,,
0821,4221,22764,R,Eu-diseño programa capacitación economía circular,0,18148.79,0,,
0821,4221,22779,,Apoyo a industrias y empresas,90000,90000,32503.89,,
0821,4221,22779,A,Apoyo a industrias y empresas,0,928.61,0,,
0821,4221,22779,R,Apoyo a industrias y empresas,0,13269.76,8720.17,,
0821,4221,62952,,Mantenimiento zonas industriales,150000,150000,21115.42,,
0821,4221,62952,A,Mantenimiento zonas industriales,0,292425.52,289825.2,,
0821,4221,62952,R,Mantenimiento zonas industriales,0,12746.48,10643.13,,
0821,4331,12000,,Retribuciones basicas de funcionarios,174501,174501,122939.95,,
0821,4331,12100,,Retribuciones complementarias funcionarios,210557.82,210557.82,149073.65,,
0821,4331,14100,,Otro personal,113654,113654,49691.77,,
0821,4331,16000,,Seguridad social a cargo del ayuntamiento,144910,144910,97398.4,,
0821,4331,16500,,Cuotas elkarkidetza a cargo ayuntamiento,5937,5937,4393.01,,
0821,4331,22677,,Apoyo a personas emprendedoras,213600,162600,59134.22,,
0821,4331,22677,A,Apoyo a personas emprendedoras,0,6322.25,90.75,,
0821,4331,22677,R,Apoyo a personas emprendedoras,0,31942.59,5395.99,,
0821,4331,22678,,Contrato de patrocinio mazoka,0,40000,0,,
0821,4331,22712,,Gestion centros de empresas,25000,25000,17373.46,,
0821,4331,22713,R,Eu-economía circular sensibilización visitantes (pstd fase ii),0,50000,0,,
0821,4331,22714,A,Eu-campaña sensibilización en economía circular,0,22249.67,0,,
0821,4331,22716,,Eu-economía circular y baja en carbono,0,0,10556.54,,
0821,4331,22716,A,Eu-economia circular y baja en carbono,0,34390.01,29693.71,,
0821,4331,22769,,Patrocinio festval - fila 2,190000,190000,142500,,
0821,4331,22770,,Patrocinio f2 campus,5000,5000,0,,
0821,4331,41900,,Convenio ehu-upv apoyo emprendimiento,5000,5000,5000,,
0821,4331,47002,,Aportacion bic,75000,75000,0,,
0821,4331,47102,,Ayudas industrias creativas y audiovisuales,150000,105000,0,,
0821,4331,47102,A,Ayudas industrias creativas y audiovisuales,0,6000,0,,
0821,4331,47102,R,Ayudas industrias creativas y audiovisuales,0,23002,0,,
0821,4331,47107,,Convenio ajebask-formacion y semillero,15000,15000,12000,,
0821,4331,47107,R,Convenio ajebask-formacion y semillero,0,3000,3000,,
0821,4331,47131,,Conv. euskal irudigileak/ilustradores de euskadi,15000,15000,12000,,
0821,4331,47131,R,Conv. euskal irudigileak/ilustradores de euskadi,0,3000,1668.94,,
0821,4331,47135,,Convenio diga asociación de profesionales del diseño gráfico de álava,0,10000,10000,,
0821,4331,47138,,Convenio apika asociación de productores audiovisuales de álava,0,20000,20000,,
0821,4331,47141,,Convenio abycine,0,15000,15000,,
0821,4331,47142,,Convenio hibridalab,0,15000,0,,
0821,4331,48150,,Convenio asoc. seniors españoles para la cooperación técnica  - secot,3000,3600,2400,,
0821,4331,48150,R,Convenio asoc. seniors españoles para la cooperación técnica-secot,0,600,126.35,,
0821,4331,48175,,Convenio via potenciar actividades del pasaje,520000,520000,0,,
0821,4331,48175,A,Convenio via potenciar actividades del paisaje,0,240000,239892.69,,
0821,4331,48175,R,Convenio via potenciar actividades del pasaje,0,300000,0,,
0821,4331,48180,,Transferencias a via,60000,60000,60000,,
0821,4331,48905,,Convenio prestaturik reutiliza,30000,30000,24000,,
0821,4331,48905,R,Convenio prestaturik reutiliza,0,6000,4847.97,,
0821,4331,48943,,Foro responsabilidad social de la empresa,4000,4000,4000,,
0821,4331,48946,,Convenio smye (somos mujeres y empresarias),0,3000,0,,
0821,4331,48947,,Convenio ampea (asociación de mujeres empresarias de álava),0,3000,0,,
0821,4331,48948,,Convenio fstudent,0,10000,10000,,
0821,4331,48949,,Becas al emprendimiento,90000,90000,37775,,
0821,4331,48950,,Cheque autonomos,100000,196000,96000,,
0821,4331,48967,,Ayudas a la creación y consolidación de empresas,190000,190000,1285.99,,
0821,4331,48968,,Ayudas ciudad laboratorio,3000,3000,0,,
0821,4331,48985,,Premios pacto verde,6000,6000,0,,
0821,4331,48986,,Convenio cámara apoyo pequeñas empresas,32000,32000,32000,,
0821,4331,48996,,Convenio arco n1,9200,9200,0,,
0821,4331,48996,R,Convenio arco n1,0,4600,4600,,
0821,4331,60902,,Inversiones semillero proy.basaldea,100000,98788.98,30128.44,,
0821,4331,60902,R,Inversiones semillero proy.basaldea,0,96315.25,96251.01,,
0821,4331,62601,,Reformas y equipamientos en semilleros,120000,120000,4942.85,,
0821,4331,62601,R,Reformas y equipamientos en semilleros,0,57910.55,57910.55,,
0822,4312,61406,,Actuación obras en mercados,60000,60000,0,,
0822,4314,12000,,Retribuciones basicas de funcionarios,65466,65466,46972.05,,
0822,4314,12100,,Retribuciones complementarias funcionarios,81378.68,81378.68,58967.9,,
0822,4314,14100,,Otro personal,86405,86405,101216.23,,
0822,4314,16000,,Seguridad social a cargo del ayuntamiento,66223,66223,71679.69,,
0822,4314,16500,,Cuotas elkarkidetza a cargo ayuntamiento,1781,1781,4155.55,,
0822,4314,20200,,Arrendamiento de maquinaria e instalaciones,94000,94000,27982.81,,
0822,4314,22700,,Iluminación navideña,165000,165000,0,,
0822,4314,22700,R,Iluminación navideña,0,16443.9,16443.9,,
0822,4314,22701,,Plan dinamización locales comerciales,30000,30000,0,,
0822,4314,22702,,Dinamización locales comerciales,300000,100000,0,,
0822,4314,22702,A,Eu-mapa interactivo establec comerciales,0,12463,12463,,
0822,4314,22703,A,Eu-proyecto konpondu campaña de sensibilización,0,7116,7114.8,,
0822,4314,22765,,Campaña promoción comercio local,45000,41428.94,15830.75,,
0822,4314,22770,R,Eu-definición y puesta en marcha think tank especializado sector comercio minori,0,60000,0,,
0822,4314,22771,,Jornada urban commerce,45000,43789.9,32842.43,,
0822,4314,22773,,Mercados,60000,60000,23581.35,,
0822,4314,22773,R,Mercados,0,21642.59,21642.59,,
0822,4314,22798,,Dinamización comercial,170000,169116.7,61552.01,,
0822,4314,22798,R,Dinamización comercial,0,65703,65703,,
0822,4314,22799,,Plan para favorecer el cambio generacional en comercio,200000,200000,0,,
0822,4314,42301,,Conv.camara comercio escaparatismo,8000,8000,8000,,
0822,4314,48904,,Convenio city wine,20000,20000,16000,,
0822,4314,48904,R,Convenio city wine,0,4000,0,,
0822,4314,48926,,Convenio asociación gasteiz on,250800,250800,0,,
0822,4314,48926,R,Convenio asociación gasteiz on,0,60160,0,,
0822,4314,48963,,Convenio asoc.comercios casco medieval,98000,98000,78400,,
0822,4314,48963,R,Convenio asoc. comercios casco medieval,0,19600,19600,,
0822,4314,48964,,Ayudas al comercio y hostelería,560000,563571.06,4771.06,,
0822,4314,48965,,Convenio asoc.empresarios comercio,45000,45000,36000,,
0822,4314,48965,R,Convenio asoc. empresarios comercio,0,9000,9000,,
0822,4314,48966,,Convenio asoc.comerciantes calle gorbea,16000,16000,12800,,
0822,4314,48966,R,Convenio asoc. comerciantes calle gorbea,0,3800,3800,,
0822,4314,48969,,Ayudas a la dinamización de locales,0,200000,0,,
0822,4314,62632,R,Eu herramienta tecnologica pickgeo location,0,27000,13500.01,,
0823,2381,22279,,Gps orientación profesional en igualdad,30000,30000,16644,,
0823,2381,22279,R,Gps orientación profesional en igualdad,0,1911.46,0,,
0823,2411,12000,,Retribuciones basicas de funcionarios,488396.76,488396.76,343264.95,,
0823,2411,12100,,Retribuciones complementarias funcionarios,626542,626542,459707.49,,
0823,2411,13000,,Retribuciones personal laboral fijo,0,0,2592677.95,,
0823,2411,14100,,Otro personal,143201,143201,147488.83,,
0823,2411,16000,,Seguridad social a cargo del ayuntamiento,397611,397611,1230427.9,,
0823,2411,16500,,Cuotas elkarkidetza a cargo ayuntamiento,23913,23913,18216.97,,
0823,2411,20100,,Arrendamiento locales y edificios,125000,125000,79666.08,,
0823,2411,22770,,P.r.zaramaga aportacion lanbide cap 1,288194.38,288194.38,0,,
0823,2411,22771,,P.r.zaramaga aportacion lanbide cap 2,44983,44983,40045.59,,
0823,2411,22772,,P.r.zaramaga aportacion ayto cap 1,98075.31,98075.31,0,,
0823,2411,22773,,P.r.zaramaga aportacion ayto cap 2,40000,40000,16049.03,,
0823,2411,22774,,Otros planes empleo cap 2,70000,70000,0,,
0823,2411,22781,,Plan empleo joven aportac ayto (cap.1),150000,150000,0,,
0823,2411,22782,,Xi plan de empleo comarcal  aportación lanbide 2023-2024,910920.5,910920.5,0,,
0823,2411,22785,,Xii plan de empleo comarcal aportación lanbide 2024-2025,1000000,1000000,0,,
0823,2411,22786,,Plan de empleo comarcal aportación ayto (cap 1),200000,200000,0,,
0823,2411,22788,,Plan de empleo joven 2023-24 apotación lanbide,694985.56,694985.56,0,,
0823,2411,22790,,Plan de empleo joven 2024-25 aportación lanbide,862568.56,862568.56,0,,
0823,2411,22791,,Impulso al empleo colectivos prioritarios,100000,94000,15552.24,,
0823,2411,22791,A,Impulso al empleo colectivos prioritarios,0,15000,15000,,
0823,2411,22792,,Plan de empleo sectores emergentes,350000,77000,0,,
0823,2411,22793,,Acciones de orientación y empleo,30000,30000,7755,,
0823,2411,22794,R,Eu-formación herramientas tecnologicas sector comercial,0,20000,0,,
0823,2411,22795,,Formación,350000,510000,285412.92,,
0823,2411,22795,R,Formación,0,72090.83,40613.24,,
0823,2411,22796,R,Formación logística,0,64698.75,34612.5,,
0823,2411,22797,,Plan de empleo vitoria-gasteiz,230000,230000,77547.45,,
0823,2411,22798,,Proyecto oikos,15000,15000,3253.21,,
0823,2411,47101,,Ayudas a la contratación plan de empleo sectores emergentes,0,273000,0,,
0823,2411,47128,,Convenio sea empleo araba,72400,72400,0,,
0823,2411,47128,R,Convenio sea empleo araba,0,14480,0,,
0823,2411,48015,,Plan comarcal aportación lanbide,1525547,1525547,0,,
0823,2411,48015,R,Plan comarcal aportación lanbide,0,1525547,1525547,,
0823,2411,48020,,Plan comarcal - aportación municipal a la contratación,410000,410000,0,,
0823,2411,48020,R,Plan comarcal - aportación municipal a la contratación,0,410000,400454.81,,
0823,2411,48171,,Convenio fundación secretariado gitano,48000,48000,38400,,
0823,2411,48171,R,Convenio fundación secretariado gitano,0,9600,9593.96,,
0823,2411,48966,,Conv.apoyo al proy.saregune,60000,66000,48000,,
0823,2411,48966,R,Conv. apoyo al proy. saregune,0,12000,12000,,
0823,2411,48967,,Ayudas a la contratación- estabilidad empleo,600000,600000,0,,
0823,2411,48967,R,Ayudas a la contratación estabilidad de empleo,0,7821.97,351,,
0823,2411,62298,,Adecuacion instalaciones logística,200000,200000,6169.33,,
0823,2411,62298,R,Adecuación instalaciones,0,468.82,0,,
0823,2411,62299,,Instalaciones de empleo y formación,10000,10000,2541,,
0823,2411,62519,,Adquisición equipos formativos,10000,10000,3392.84,,
0823,2411,62600,,Adquisición equipos informáticos instalac.empleo y formacion,10000,10000,35.09,,
0823,2411,62631,R,Adquisicion equipos logistica,0,78.25,0,,
0823,4331,47136,,Ayudas proyectos economía circular,90000,90000,72000,,
0823,4331,48043,,Convenio escuela de ventas,10000,10000,8000,,
0823,4331,48043,R,Convenio escuela de ventas,0,2000,2000,,
0823,4331,48994,,Convenio adsis/caritas/egibide proyecto hazia,100000,100000,0,,
0823,4331,48994,R,Convenio adsis/caritas/egibide proyecto hazia,0,20000,0,,
0824,4321,12000,,Retribuciones basicas de funcionarios,172689.37,172689.37,133330.76,,
